AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.51	0.35	0.44	0.44
CASG920101	-0.5	-0.1	1.9	-0.4	-0.1
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.98	0.7	0.7	0.7	0.7
CHOP780202	0.93	0.75	1.19	1.19	1.19
CHOP780203	1.01	1.52	0.96	0.98	1.14
CIDH920105	-0.09	-0.09	0.77	-0.09	-0.77
DAYM780201	56.0	56.0	20.0	56.0	49.0
EISD860102	1.3	0.18	0.17	1.5	1.3
FASG760101	132.12	117.15	121.15	121.15	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.5	1.3	1.0	1.0	0.69
GRAR740102	8.0	8.0	5.5	8.0	8.6
JANJ780101	51.5	33.5	15.5	51.5	45.0
JANJ780102	25.0	52.0	74.0	25.0	30.0
JANJ780103	45.0	20.0	5.0	41.0	32.0
JOND750101	1.64	1.64	1.52	1.52	0.66
JOND920102	72.0	58.0	44.0	58.0	50.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.24	6.09	1.73	5.16	5.16
KRIW790102	0.31	0.28	0.11	0.26	0.26
KYTJ820101	-1.6	-0.4	2.5	-1.3	-0.8
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.2	0.0	2.1	-0.08	0.0
RACS820114	19.78	30.57	30.57	26.36	26.36
RADA880108	0.0	0.0	1.36	0.0	-0.27
Sequence_size	7.0	9.0	1.0	5.0	9.0
TAKK010101	10.5	10.5	3.0	6.9	3.6
VINM940101	1.01	1.03	0.91	1.0	1.0
WARP780101	7.79	7.99	8.89	7.0	7.0
WOLR790101	-0.19	0.55	0.59	-0.02	-0.05
ZIMJ680101	1.48	1.48	1.48	1.48	0.64
