AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.5	0.43	0.35	0.435	0.49
CASG920101	-0.25	-0.025	1.9	0.2	-0.4
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.98	0.825	0.7	0.95	0.845
CHOP780202	0.79	0.9	1.19	0.97	0.79
CHOP780203	0.965	1.08	0.96	1.085	1.22
CIDH920105	-0.785	-0.205	0.77	-0.015000000000000013	-0.25
DAYM780201	73.0	75.5	20.0	45.0	65.0
EISD860102	0.865	0.345	0.17	0.455	0.455
FASG760101	125.145	107.615	121.15	113.12	117.635
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.225	0.675	1.0	1.2	0.875
GRAR740102	9.0	8.225	5.5	7.25	8.4
JANJ780101	34.8	31.3	15.5	27.6	42.0
JANJ780102	43.5	47.25	74.0	55.0	35.0
JANJ780103	24.0	19.25	5.0	15.5	32.0
JOND750101	0.67	0.8200000000000001	1.52	1.135	1.19
JOND920102	68.5	77.5	44.0	54.0	72.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.37	4.795	1.73	4.65	5.37
KRIW790102	0.275	0.275	0.11	0.215	0.28
KYTJ820101	-0.55	0.625	2.5	1.05	-0.7
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.405	2.1	0.845	0.06000000000000001
RACS820114	18.56	22.5	30.57	19.085	24.565
RADA880108	-0.41	-0.115	1.36	0.4	-0.17
Sequence_size	7.0	7.0	1.0	5.0	27.5
TAKK010101	4.4	6.15	3.0	8.8	8.45
VINM940101	1.02	1.0	0.91	0.985	1.02
WARP780101	7.53	8.185	8.89	8.39	7.615
WOLR790101	0.285	0.7000000000000001	0.59	0.63	0.4
ZIMJ680101	0.65	0.78	1.48	1.33	1.155
