AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.51	0.47	0.35	0.44	0.35
CASG920101	-0.7	-0.5	1.9	-0.4	0.5
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.77	1.11	0.7	0.83	0.84
CHOP780202	0.75	0.89	1.19	1.19	1.12
CHOP780203	1.19	0.96	0.96	0.98	0.96
CIDH920105	-0.41	-0.77	0.77	-0.77	0.77
DAYM780201	56.0	56.0	20.0	60.5	53.0
EISD860102	0.73	1.3	0.17	1.5	1.2
FASG760101	121.15	132.12	121.15	121.15	140.67
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	0.69	1.0	0.45	1.0
GRAR740102	9.0	10.5	5.5	8.6	5.95
JANJ780101	42.0	60.1	15.5	45.0	30.65
JANJ780102	35.0	22.0	74.0	30.0	51.5
JANJ780103	32.0	49.0	5.0	32.0	17.5
JOND750101	1.52	0.67	1.52	0.67	1.52
JOND920102	58.0	72.0	44.0	72.0	67.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.09	6.13	1.73	5.16	3.08
KRIW790102	0.28	0.31	0.11	0.26	0.18
KYTJ820101	-0.8	-3.5	2.5	-0.7	1.85
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	-0.42	2.1	-0.08	1.4
RACS820114	18.56	18.19	30.57	21.09	20.11
RADA880108	-0.41	-0.48	1.36	-0.27	0.8
Sequence_size	7.0	7.0	1.0	5.0	8.0
TAKK010101	7.3	3.6	3.0	6.9	8.55
VINM940101	1.03	1.04	0.91	1.0	0.94
WARP780101	7.79	5.63	8.89	7.0	8.44
WOLR790101	0.54	-0.78	0.59	-0.02	0.57
ZIMJ680101	1.48	0.65	1.48	0.65	1.44
