AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.44	0.46	0.4	0.36	0.45
CASG920101	0.0	-0.6	0.45	0.2	-0.1
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.69	0.88	0.96	0.77	0.8
CHOP780202	0.94	0.89	1.04	1.19	0.87
CHOP780203	1.3	1.21	0.85	0.96	0.98
CIDH920105	0.0	-0.77	0.4	0.02	-0.2
DAYM780201	57.0	98.5	45.0	93.0	56.0
EISD860102	1.55	1.4	1.0	0.73	1.0
FASG760101	132.61	126.64	126.16	121.15	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.84	0.5	1.25	0.75	1.0
GRAR740102	8.9	9.85	6.8	8.1	8.55
JANJ780101	55.8	51.3	25.5	34.7	42.0
JANJ780102	24.0	27.0	55.0	49.0	35.0
JANJ780103	43.0	40.5	12.5	17.0	32.0
JOND750101	1.09	0.66	1.58	0.87	1.52
JOND920102	66.5	88.5	52.5	77.0	72.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.24	5.71	4.12	4.32	5.16
KRIW790102	0.28	0.29	0.2	0.26	0.27
KYTJ820101	-2.4	-2.1	1.05	-0.8	-0.8
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.42	-0.28	1.27	0.85	0.2
RACS820114	23.07	20.44	20.69	22.18	19.78
RADA880108	-0.07	-0.49	0.43	-0.06	-0.23
Sequence_size	4.0	6.0	6.0	3.0	13.0
TAKK010101	5.15	4.25	7.45	3.0	5.25
VINM940101	0.99	1.03	0.96	0.98	1.0
WARP780101	6.78	6.59	8.36	8.07	7.08
WOLR790101	-0.17	-0.42	0.86	0.54	-0.04
ZIMJ680101	1.06	0.64	1.54	0.83	1.48
