AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.4	0.435	0.35	0.49	0.41
CASG920101	0.0	-0.15000000000000002	1.9	-0.5	0.4
CHAM830107	0.0	0.5	0.0	0.0	0.0
CHOP780201	0.92	0.99	0.7	0.73	0.965
CHOP780202	1.145	1.04	1.19	0.96	1.2
CHOP780203	0.97	1.08	0.96	1.15	0.95
CIDH920105	-0.255	-0.07	0.77	-0.605	0.46
DAYM780201	52.5	89.0	20.0	74.5	55.0
EISD860102	1.25	1.35	0.17	0.735	0.7949999999999999
FASG760101	126.16	132.85500000000002	121.15	122.88	126.16
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.59	0.8200000000000001	1.0	0.665	1.42
GRAR740102	8.8	8.75	5.5	9.375	6.575
JANJ780101	36.3	43.975	15.5	48.9	26.1
JANJ780102	41.0	39.25	74.0	29.25	58.5
JANJ780103	24.0	32.75	5.0	39.5	15.0
JOND750101	0.485	0.95	1.52	0.63	1.5550000000000002
JOND920102	63.0	81.0	44.0	74.5	60.75
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.41	5.04	1.73	5.88	4.050000000000002
KRIW790102	0.245	0.27	0.11	0.30000000000000004	0.215
KYTJ820101	-0.55	-0.5	2.5	-1.625	1.775
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.07	0.605	2.1	-0.16	1.44
RACS820114	22.18	19.295	30.57	23.19	22.615
RADA880108	0.11	0.24500000000000005	1.36	-0.425	0.745
Sequence_size	7.0	7.5	1.0	5.5	9.0
TAKK010101	5.9	4.25	3.0	4.025	9.425
VINM940101	0.975	0.995	0.91	1.035	0.955
WARP780101	7.495	6.805	8.89	7.03	8.370000000000001
WOLR790101	0.285	-0.12	0.59	-0.075	0.59
ZIMJ680101	0.8200000000000001	0.92	1.48	0.6499999999999999	1.61
