AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.44	0.48	0.35	0.42	0.51
CASG920101	-0.1	-0.4	1.9	0.5	-0.1
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.98	0.77	0.7	0.83	0.83
CHOP780202	1.1	0.93	1.19	1.19	0.93
CHOP780203	0.96	1.07	0.96	0.98	1.01
CIDH920105	-0.41	-0.26	0.77	0.77	-0.42
DAYM780201	49.0	60.5	20.0	41.0	49.0
EISD860102	1.1	0.73	0.17	1.1	0.73
FASG760101	131.17	119.15	121.15	132.12	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.88	1.0	1.0	0.75
GRAR740102	8.6	8.3	5.5	6.2	8.6
JANJ780101	27.6	42.0	15.5	27.6	26.65
JANJ780102	52.0	35.0	74.0	52.0	52.0
JANJ780103	16.0	32.0	5.0	16.0	13.0
JOND750101	0.87	1.19	1.52	1.52	0.85
JOND920102	54.0	70.5	44.0	54.0	58.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.16	5.37	1.73	3.93	5.37
KRIW790102	0.28	0.27	0.11	0.25	0.27
KYTJ820101	-0.4	-0.8	2.5	-0.4	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.2	2.1	1.37	0.2
RACS820114	22.18	20.44	30.57	21.09	20.28
RADA880108	-0.27	-0.14	1.36	0.33	-0.27
Sequence_size	7.0	8.0	1.0	5.0	13.0
TAKK010101	6.9	7.1	3.0	7.3	6.9
VINM940101	1.0	1.01	0.91	0.94	1.01
WARP780101	7.98	7.44	8.89	7.99	7.98
WOLR790101	0.59	-0.04	0.59	0.59	0.59
ZIMJ680101	0.83	0.83	1.48	0.83	0.83
