AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.5	0.39	0.44	0.43	0.42
CASG920101	-0.4	0.7	0.2	0.6	0.1
CHAM830107	0.5	0.0	0.0	0.0	0.0
CHOP780201	0.73	1.06	0.83	0.73	0.88
CHOP780202	0.75	1.37	1.19	0.97	1.04
CHOP780203	1.19	0.74	0.96	1.19	1.07
CIDH920105	-0.89	1.11	0.02	-0.1	0.18
DAYM780201	75.5	56.0	72.5	70.0	56.0
EISD860102	0.45	0.48	0.48	0.45	0.6
FASG760101	113.12	121.15	119.12	113.12	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.0	2.6	0.88	0.5	1.25
GRAR740102	9.1	5.5	8.0	7.35	7.55
JANJ780101	33.25	23.7	27.6	28.75	32.85
JANJ780102	43.5	64.0	52.0	54.5	49.5
JANJ780103	21.0	14.0	15.0	18.5	23.0
JOND750101	0.39	2.67	1.2	0.8	1.58
JOND920102	63.5	58.0	77.0	80.5	72.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.73	2.78	4.32	3.55	4.34
KRIW790102	0.28	0.15	0.26	0.19	0.24
KYTJ820101	-0.6	2.5	1.8	0.85	0.85
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	-0.26	2.1	0.85	0.79	0.81
RACS820114	24.56	21.87	21.09	24.56	20.21
RADA880108	-0.45	1.09	0.0	0.43	0.31
Sequence_size	4.0	5.0	7.0	2.0	6.0
TAKK010101	2.8	15.3	6.9	2.8	7.05
VINM940101	1.04	0.93	0.98	0.98	0.99
WARP780101	7.54	8.72	8.72	7.99	7.98
WOLR790101	0.27	0.59	1.12	0.27	0.27
ZIMJ680101	0.4	1.79	1.16	0.81	1.54
