AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.44	0.44	0.455	0.465	0.42
CASG920101	-0.1	-0.15	-0.1	-0.1	0.3
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.83	0.89	0.91	0.7	0.8
CHOP780202	1.1	1.0	0.93	0.93	1.07
CHOP780203	0.98	0.97	0.98	0.98	0.97
CIDH920105	-0.09	-0.38	-0.09	-0.42	0.26
DAYM780201	74.0	86.25	65.0	49.0	57.25
EISD860102	0.855	1.02	1.0	0.17	1.0
FASG760101	121.15	126.16	126.64	121.15	126.16
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.665	0.75	0.75	0.88
GRAR740102	8.35	8.6	8.3	8.6	7.6
JANJ780101	42.0	43.5	42.0	24.5	33.5
JANJ780102	36.0	34.5	35.0	52.0	51.0
JANJ780103	32.0	32.0	32.0	10.0	18.5
JOND750101	0.87	0.81	0.87	0.85	1.19
JOND920102	86.0	85.5	72.0	50.0	72.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.16	5.16	5.27	5.37	4.65
KRIW790102	0.26	0.27	0.27	0.27	0.25
KYTJ820101	-0.7	-0.7	-0.8	-0.4	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.21	0.07	0.2	0.0	0.825
RACS820114	21.09	20.37	21.09	30.57	21.145
RADA880108	0.0	-0.17	0.0	-0.27	0.44
Sequence_size	5.0	6.0	5.0	3.0	8.0
TAKK010101	7.1	5.35	6.9	3.0	5.775
VINM940101	0.99	1.0	0.99	1.01	0.96
WARP780101	7.49	7.365	7.54	7.99	7.99
WOLR790101	0.18	0.115	-0.02	0.59	0.55
ZIMJ680101	1.08	0.83	0.83	0.83	1.1
