AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.47	0.42	0.35	0.5	0.39
CASG920101	-1.3	0.5	1.9	-1.0	0.4
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	1.16	0.7	0.7	1.21	1.06
CHOP780202	0.74	1.3	1.19	0.55	0.89
CHOP780203	0.96	1.14	0.96	0.95	0.96
CIDH920105	-0.41	1.11	0.77	-0.09	0.26
DAYM780201	56.0	41.0	20.0	56.0	56.0
EISD860102	1.9	1.2	0.17	1.0	1.6
FASG760101	133.1	131.17	121.15	131.17	146.19
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.5	2.6	1.0	1.0	1.5
GRAR740102	11.3	6.2	5.5	8.0	10.4
JANJ780101	60.6	51.5	15.5	51.5	50.7
JANJ780102	19.0	25.0	74.0	25.0	34.0
JANJ780103	50.0	41.0	5.0	45.0	34.0
JOND750101	1.64	2.67	1.52	1.52	1.64
JOND920102	72.0	54.0	44.0	58.0	72.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.04	3.58	1.73	6.17	5.66
KRIW790102	0.33	0.25	0.11	0.37	0.23
KYTJ820101	-3.5	-1.3	2.5	-1.6	-3.2
MITS020101	0.0	0.0	0.0	0.0	1.45
PONP930101	-0.79	1.37	2.1	-0.79	0.22
RACS820114	18.19	26.36	30.57	18.19	19.78
RADA880108	-0.77	0.33	1.36	0.0	0.49
Sequence_size	7.0	7.0	1.0	5.0	11.0
TAKK010101	10.5	17.0	3.0	4.4	10.5
VINM940101	1.07	0.93	0.91	1.05	0.95
WARP780101	5.76	7.79	8.89	7.79	7.49
WOLR790101	-0.8	0.54	0.59	0.54	-0.8
ZIMJ680101	1.6	2.7	1.48	1.48	1.48
