AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.5	0.35	0.43	0.43
CASG920101	-0.1	-0.5	1.9	0.45	0.05
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.73	0.77	0.7	0.73	0.85
CHOP780202	0.89	0.75	1.19	0.97	1.1
CHOP780203	1.31	1.43	0.96	1.19	0.96
CIDH920105	-0.42	-0.8	0.77	-0.02	-0.03
DAYM780201	60.5	65.5	20.0	45.0	56.0
EISD860102	0.73	0.73	0.17	0.45	0.58
FASG760101	121.15	121.15	121.15	113.12	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	0.59	1.0	0.5	1.0
GRAR740102	9.0	9.2	5.5	7.25	8.05
JANJ780101	27.8	46.35	15.5	25.0	36.3
JANJ780102	51.0	34.5	74.0	55.0	47.0
JANJ780103	16.0	33.0	5.0	10.0	24.0
JOND750101	0.85	0.66	1.52	0.81	1.52
JOND920102	77.5	80.0	44.0	50.5	58.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.09	6.04	1.73	3.98	4.99
KRIW790102	0.28	0.28	0.11	0.19	0.27
KYTJ820101	-0.4	-1.6	2.5	1.05	-0.65
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	-0.42	2.1	0.84	0.42
RACS820114	19.78	20.59	30.57	25.09	21.48
RADA880108	-0.41	-0.45	1.36	0.43	0.0
Sequence_size	7.0	9.0	1.0	4.0	12.0
TAKK010101	3.6	3.6	3.0	2.8	7.1
VINM940101	1.03	1.04	0.91	0.97	0.99
WARP780101	7.99	7.29	8.89	7.99	7.99
WOLR790101	0.59	-0.05	0.59	0.63	0.56
ZIMJ680101	0.54	0.64	1.48	0.81	1.29
