AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.44	0.44	0.36	0.43	0.44
CASG920101	-0.25	0.5	0.2	0.6	0.0
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.76	0.7	0.83	0.73	0.88
CHOP780202	1.19	1.19	1.19	0.97	1.06
CHOP780203	0.98	1.14	0.96	1.19	0.98
CIDH920105	-0.77	0.77	0.02	-0.1	0.18
DAYM780201	73.0	56.0	56.0	70.0	53.0
EISD860102	1.5	1.2	0.18	0.45	0.89
FASG760101	120.14	121.15	119.12	113.12	126.64
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.45	1.5	1.0	0.5	0.88
GRAR740102	8.6	6.2	8.0	7.35	7.7
JANJ780101	45.0	24.5	27.8	28.75	41.9
JANJ780102	30.0	52.0	51.0	54.5	43.0
JANJ780103	32.0	13.0	15.0	18.5	31.5
JOND750101	0.39	1.64	1.52	0.8	1.19
JOND920102	63.5	58.0	58.0	80.5	68.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.16	3.58	4.32	3.55	4.65
KRIW790102	0.26	0.25	0.26	0.19	0.26
KYTJ820101	-0.7	-0.4	1.8	0.85	-0.5
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	-0.04	1.37	0.85	0.79	0.81
RACS820114	23.73	26.36	21.09	24.56	19.17
RADA880108	-0.27	0.33	0.0	0.43	0.31
Sequence_size	6.0	5.0	5.0	2.0	8.0
TAKK010101	5.65	10.5	9.8	2.8	4.0
VINM940101	1.0	0.93	0.98	0.98	0.97
WARP780101	7.0	7.99	8.72	7.99	7.26
WOLR790101	-0.02	0.59	0.59	0.27	-0.11
ZIMJ680101	0.59	1.6	1.48	0.81	1.16
