AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.47	0.46	0.35	0.46	0.42
CASG920101	-0.1	-0.1	1.9	-0.1	0.5
CHAM830107	0.0	0.0	0.0	1.0	0.0
CHOP780201	0.7	0.98	0.7	0.67	0.7
CHOP780202	0.83	0.89	1.19	0.89	1.19
CHOP780203	1.19	1.01	0.96	1.46	0.96
CIDH920105	-0.41	-0.09	0.77	-0.77	0.77
DAYM780201	49.0	56.0	20.0	49.0	49.0
EISD860102	0.73	0.99	0.17	0.17	0.48
FASG760101	115.13	131.17	121.15	121.15	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.75	1.0	1.0	0.69	1.0
GRAR740102	9.0	8.0	5.5	9.0	6.2
JANJ780101	25.5	33.5	15.5	24.5	24.5
JANJ780102	52.0	52.0	74.0	52.0	52.0
JANJ780103	13.0	20.0	5.0	10.0	14.0
JOND750101	0.87	1.52	1.52	0.1	1.52
JOND920102	51.0	58.0	44.0	50.0	50.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.37	5.66	1.73	6.09	3.58
KRIW790102	0.28	0.28	0.11	0.28	0.25
KYTJ820101	-0.4	-0.4	2.5	-0.4	0.7
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.0	2.1	0.0	1.37
RACS820114	20.28	22.18	30.57	30.57	26.22
RADA880108	-0.41	0.0	1.36	-0.41	0.33
Sequence_size	7.0	7.0	1.0	5.0	12.0
TAKK010101	3.6	9.8	3.0	3.0	7.3
VINM940101	1.03	1.03	0.91	1.03	0.93
WARP780101	7.99	7.98	8.89	7.99	7.99
WOLR790101	0.59	0.55	0.59	0.59	0.59
ZIMJ680101	0.83	1.4	1.48	0.1	1.48
