AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.43	0.5	0.51	0.44	0.39
CASG920101	0.05	-0.85	-0.7	0.6	0.55
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.73	0.73	0.77	0.84	0.83
CHOP780202	0.93	0.65	0.75	1.06	1.19
CHOP780203	1.19	1.19	1.38	0.98	0.96
CIDH920105	-0.06	-0.09	-0.8	0.18	0.77
DAYM780201	74.0	56.0	97.0	42.5	49.0
EISD860102	0.33	0.45	0.73	5.08	0.48
FASG760101	111.12	118.14	120.14	147.68	121.15
FAUJ880111	0.0	0.0	0.0	0.5	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.655	1.95	0.0	0.88	1.7
GRAR740102	8.1	8.0	9.2	8.0	5.9
JANJ780101	26.15	46.75	42.0	55.1	24.5
JANJ780102	51.5	30.0	35.0	39.5	59.0
JANJ780103	12.5	38.5	32.0	36.0	13.0
JOND750101	0.81	2.22	0.66	1.19	1.87
JOND920102	75.0	58.0	85.5	63.5	54.0
KLEP840101	0.0	0.0	0.0	0.5	0.0
KRIW790101	4.775	5.77	5.37	4.14	3.4450000000000003
KRIW790102	0.28	0.32	0.27	0.23	0.22
KYTJ820101	0.7	-1.2	-0.8	-1.0	2.5
MITS020101	0.0	0.0	0.0	1.23	0.0
PONP930101	0.605	-0.66	-0.04	1.15	1.84
RACS820114	24.56	25.59	19.78	24.2	21.87
RADA880108	-0.06	0.0	-0.5	0.26	1.09
Sequence_size	4.0	8.0	5.0	2.0	11.0
TAKK010101	3.0	13.45	3.0	5.15	15.0
VINM940101	0.995	1.05	1.03	0.96	0.93
WARP780101	8.44	7.79	7.08	7.54	8.72
WOLR790101	0.85	0.54	-0.05	-0.98	1.12
ZIMJ680101	0.79	2.09	0.64	1.16	1.79
