AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.48	0.35	0.48	0.47
CASG920101	-0.4	-0.8	1.9	-0.4	-0.25
CHAM830107	0.0	0.5	0.0	0.0	0.0
CHOP780201	0.98	0.89	0.7	0.885	0.77
CHOP780202	0.91	0.765	1.19	0.93	1.015
CHOP780203	1.12	1.44	0.96	1.01	1.01
CIDH920105	-0.26	-0.87	0.77	-0.415	-0.415
DAYM780201	56.0	106.0	20.0	56.5	61.5
EISD860102	1.2	1.6	0.17	2.4	0.96
FASG760101	132.12	132.61	121.15	160.66	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	0.34	1.0	0.875	0.75
GRAR740102	10.4	10.975	5.5	9.75	8.8
JANJ780101	53.35	60.35	15.5	61.7	42.0
JANJ780102	24.5	20.5	74.0	20.0	35.0
JANJ780103	43.0	49.5	5.0	48.0	32.0
JOND750101	1.52	0.66	1.52	1.185	0.855
JOND920102	72.0	86.0	44.0	63.5	74.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.1750000000000025	6.04	1.73	6.13	5.27
KRIW790102	0.31	0.32	0.11	0.31	0.27
KYTJ820101	-3.2	-3.5	2.5	-2.35	-0.75
MITS020101	0.0	0.0	0.0	1.86	0.0
PONP930101	0.1	-0.5	2.1	0.2	0.1
RACS820114	14.3	19.17	30.57	21.025	19.82
RADA880108	-0.2	-0.62	1.36	-0.59	-0.34
Sequence_size	7.0	6.0	1.0	5.0	10.0
TAKK010101	8.1	4.25	3.0	6.3	5.25
VINM940101	1.02	1.05	0.91	1.01	1.005
WARP780101	7.35	5.97	8.89	6.54	7.08
WOLR790101	-0.78	-0.81	0.59	-0.43	-0.04
ZIMJ680101	1.48	0.64	1.48	0.83	0.83
