AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.47	0.35	0.42	0.43
CASG920101	-0.1	-0.6	1.9	0.2	0.2
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.98	0.88	0.7	0.77	0.83
CHOP780202	0.93	0.81	1.19	0.93	1.15
CHOP780203	0.96	1.19	0.96	0.98	0.97
CIDH920105	-0.09	-0.69	0.77	0.02	0.18
DAYM780201	56.0	76.5	20.0	56.0	53.5
EISD860102	1.0	1.3	0.17	0.73	1.1
FASG760101	131.17	127.12	121.15	121.15	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	0.69	1.0	1.0	1.0
GRAR740102	8.1	9.8	5.5	8.6	8.0
JANJ780101	34.7	51.3	15.5	33.5	38.35
JANJ780102	49.0	27.0	74.0	49.0	41.0
JANJ780103	17.0	41.0	5.0	20.0	24.5
JOND750101	1.52	0.77	1.52	1.52	1.52
JOND920102	58.0	81.5	44.0	58.0	58.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.66	5.85	1.73	5.37	4.54
KRIW790102	0.28	0.3	0.11	0.26	0.25
KYTJ820101	-0.7	-2.15	2.5	-0.55	-0.8
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.2	-0.45	2.1	0.22	0.8
RACS820114	20.61	19.78	30.57	21.87	21.09
RADA880108	0.0	-0.44	1.36	0.0	0.17
Sequence_size	7.0	7.0	1.0	5.0	11.0
TAKK010101	7.3	4.9	3.0	4.9	6.1
VINM940101	1.0	1.04	0.91	0.98	0.97
WARP780101	7.99	7.0	8.89	7.98	7.79
WOLR790101	0.54	-0.42	0.59	0.54	-0.02
ZIMJ680101	1.2799999999999998	0.73	1.48	1.48	1.44
