AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.36	0.4	0.35	0.36	0.46
CASG920101	0.5	0.05	1.9	0.5	0.7
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	1.01	0.92	0.7	1.21	1.01
CHOP780202	1.19	1.19	1.19	1.19	1.19
CHOP780203	0.96	0.97	0.96	0.74	0.96
CIDH920105	0.77	-0.38	0.77	0.77	0.77
DAYM780201	41.0	73.0	20.0	96.0	56.0
EISD860102	1.0	1.0	0.17	1.0	1.0
FASG760101	131.17	120.14	121.15	131.17	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	0.6	1.0	1.0	1.7
GRAR740102	5.5	8.35	5.5	5.5	5.5
JANJ780101	25.5	27.7	15.5	27.6	24.5
JANJ780102	58.0	51.5	74.0	60.0	60.0
JANJ780103	10.0	16.0	5.0	16.0	13.0
JOND750101	1.52	0.77	1.52	1.52	1.87
JOND920102	51.0	70.0	44.0	77.0	58.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	3.93	4.74	1.73	3.93	3.31
KRIW790102	0.16	0.26	0.11	0.16	0.16
KYTJ820101	2.5	0.7	2.5	2.5	2.5
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	1.69	0.42	2.1	1.99	1.99
RACS820114	19.78	20.44	30.57	18.19	20.28
RADA880108	1.21	-0.17	1.36	1.21	1.21
Sequence_size	7.0	8.0	1.0	7.0	11.0
TAKK010101	4.9	6.9	3.0	9.8	15.0
VINM940101	0.94	0.99	0.91	0.94	0.93
WARP780101	7.99	8.39	8.89	8.79	8.72
WOLR790101	1.18	0.85	0.59	1.12	0.67
ZIMJ680101	1.48	0.73	1.48	1.48	1.79
