AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.5	0.36	0.37	0.36
CASG920101	0.5	-1.25	0.35	1.3	0.5
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	1.08	1.01	1.31	0.88	0.7
CHOP780202	1.05	0.74	1.01	1.44	1.19
CHOP780203	0.95	1.31	0.84	0.77	0.96
CIDH920105	0.77	-0.69	0.4	0.95	0.77
DAYM780201	65.0	85.5	70.0	47.0	49.0
EISD860102	1.2	1.9	0.58	0.33	0.99
FASG760101	131.17	133.1	126.16	119.15	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.3	0.38	0.88	1.35	1.0
GRAR740102	5.7	10.9	6.8	5.7	6.2
JANJ780101	33.5	60.6	27.7	19.6	27.6
JANJ780102	52.0	19.0	55.5	69.0	52.0
JANJ780103	20.0	50.0	15.5	9.5	16.0
JOND750101	1.67	0.76	1.2	1.7	1.52
JOND920102	77.0	84.5	65.5	71.0	50.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	3.93	6.04	4.12	2.52	3.93
KRIW790102	0.16	0.33	0.22	0.17	0.23
KYTJ820101	1.9	-3.5	2.15	3.35	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	1.42	-0.81	1.42	2.31	1.37
RACS820114	20.28	19.17	17.57	26.22	26.36
RADA880108	1.21	-0.8	0.57	1.23	0.49
Sequence_size	7.0	6.0	4.0	2.0	7.0
TAKK010101	11.9	4.9	7.1	9.15	4.4
VINM940101	0.95	1.06	0.96	0.92	0.94
WARP780101	8.72	5.76	8.84	8.89	7.99
WOLR790101	0.55	-0.8	0.85	0.86	0.59
ZIMJ680101	1.48	0.73	1.16	1.64	1.48
