AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.51	0.36	0.4	0.39
CASG920101	0.5	-1.05	0.35	1.65	0.5
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	1.08	0.99	1.11	0.89	0.7
CHOP780202	1.05	0.74	1.01	1.4	1.1
CHOP780203	0.96	1.31	0.85	0.71	0.96
CIDH920105	0.77	-0.69	0.4	1.29	0.52
DAYM780201	56.0	86.0	66.5	58.0	49.0
EISD860102	1.2	1.9	0.58	0.68	0.99
FASG760101	131.17	133.1	126.16	126.16	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.5	0.38	0.88	1.98	1.0
GRAR740102	5.7	10.85	6.8	5.35	7.25
JANJ780101	33.5	60.6	27.7	19.15	25.5
JANJ780102	52.0	19.0	55.5	70.0	52.0
JANJ780103	20.0	50.0	15.5	9.0	10.0
JOND750101	1.67	0.76	1.2	2.33	1.52
JOND920102	72.0	85.0	65.5	73.5	51.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	3.93	6.04	4.12	2.02	4.49
KRIW790102	0.16	0.33	0.22	0.11	0.23
KYTJ820101	1.9	-3.5	2.15	3.5	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	1.42	-0.81	1.42	2.62	1.16
RACS820114	20.28	19.17	18.36	25.43	26.36
RADA880108	1.21	-0.8	0.57	1.33	0.49
Sequence_size	7.0	6.0	4.0	2.0	7.0
TAKK010101	11.9	4.9	7.1	10.1	3.6
VINM940101	0.95	1.06	0.96	0.92	0.94
WARP780101	8.72	6.18	8.84	8.8	7.99
WOLR790101	0.55	-0.81	0.85	0.88	0.59
ZIMJ680101	1.6	0.73	1.16	2.27	1.48
