AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.47	0.46	0.35	0.36	0.39
CASG920101	-0.1	0.2	1.9	0.4	0.7
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.77	1.06	0.7	1.0	1.06
CHOP780202	0.75	1.1	1.19	0.87	1.25
CHOP780203	1.19	0.96	0.96	0.95	0.7
CIDH920105	-0.41	0.02	0.77	0.26	0.95
DAYM780201	56.0	56.0	20.0	49.0	49.0
EISD860102	0.17	0.48	0.17	0.17	0.33
FASG760101	105.09	121.15	121.15	121.15	117.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.0	1.7	1.0	0.75	1.35
GRAR740102	9.0	8.0	5.5	8.1	5.9
JANJ780101	27.8	27.8	15.5	27.6	24.1
JANJ780102	51.0	51.0	74.0	52.0	61.0
JANJ780103	15.0	15.0	5.0	15.0	11.5
JOND750101	0.87	1.87	1.52	0.87	1.7
JOND920102	72.0	58.0	44.0	54.0	52.5
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.66	4.32	1.73	4.32	3.31
KRIW790102	0.28	0.28	0.11	0.23	0.22
KYTJ820101	-0.4	-0.4	2.5	1.8	2.65
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.0	0.85	2.1	0.85	1.99
RACS820114	22.63	22.18	30.57	22.63	21.87
RADA880108	-0.41	0.0	1.36	0.49	1.09
Sequence_size	7.0	11.0	1.0	5.0	12.0
TAKK010101	3.0	15.0	3.0	9.8	12.55
VINM940101	1.03	0.98	0.91	0.95	0.93
WARP780101	7.99	7.98	8.89	8.79	8.8
WOLR790101	0.59	0.59	0.59	1.12	1.13
ZIMJ680101	0.83	1.79	1.48	1.1	1.64
