AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.42	0.46	0.35	0.44	0.46
CASG920101	0.4	-0.1	1.9	-0.1	-0.1
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	1.0	0.98	0.7	0.735	0.83
CHOP780202	0.93	0.86	1.19	1.19	1.1
CHOP780203	0.96	0.99	0.96	0.98	0.96
CIDH920105	0.26	-0.25	0.77	-0.09	-0.41
DAYM780201	56.0	76.5	20.0	56.0	65.0
EISD860102	1.0	1.15	0.17	0.48	1.0
FASG760101	131.17	126.16	121.15	121.15	131.17
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	1.0	0.88	1.0	1.0	1.0
GRAR740102	8.0	8.8	5.5	8.0	8.8
JANJ780101	42.0	36.4	15.5	27.8	25.775
JANJ780102	35.0	40.5	74.0	51.0	52.0
JANJ780103	32.0	24.0	5.0	16.0	14.25
JOND750101	1.52	1.19	1.52	1.52	1.52
JOND920102	58.0	84.5	44.0	58.0	67.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	5.66	5.27	1.73	5.16	5.62
KRIW790102	0.25	0.28	0.11	0.26	0.27
KYTJ820101	-0.8	-0.55	2.5	-0.4	-0.4
MITS020101	0.0	0.0	0.0	0.0	0.0
PONP930101	0.22	0.2	2.1	0.0	0.2
RACS820114	22.63	19.7	30.57	21.87	21.09
RADA880108	0.33	-0.17	1.36	0.0	-0.34
Sequence_size	7.0	8.0	1.0	5.0	11.0
TAKK010101	10.5	7.3	3.0	6.1	4.4
VINM940101	0.95	1.0	0.91	1.0	1.01
WARP780101	7.49	7.5	8.89	7.99	7.98
WOLR790101	-0.02	0.28	0.59	0.59	0.59
ZIMJ680101	1.48	1.16	1.48	1.48	1.48
