AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.46	0.44	0.35	0.43	0.35
CASG920101	-0.4	-0.1	1.9	0.05	0.6
CHAM830107	0.0	0.0	0.0	0.0	0.0
CHOP780201	0.83	0.73	0.7	0.73	0.95
CHOP780202	0.89	0.97	1.19	0.79	1.19
CHOP780203	0.98	1.05	0.96	1.19	0.85
CIDH920105	-0.77	-0.26	0.77	-0.39	0.77
DAYM780201	97.0	79.0	20.0	74.5	45.0
EISD860102	1.5	1.8	0.17	0.09	0.33
FASG760101	121.15	139.64	121.15	97.09	119.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.0	0.0	0.0	0.0
GOLD730101	0.45	0.64	1.0	0.38	1.0
GRAR740102	9.0	9.55	5.5	8.55	6.05
JANJ780101	45.0	55.2	15.5	26.15	25.5
JANJ780102	30.0	24.0	74.0	51.5	55.0
JANJ780103	32.0	41.0	5.0	12.5	10.0
JOND750101	0.1	1.09	1.52	0.48	1.52
JOND920102	83.0	74.5	44.0	75.0	51.0
KLEP840101	0.0	0.0	0.0	0.0	0.0
KRIW790101	6.09	5.52	1.73	4.85	3.46
KRIW790102	0.28	0.27	0.11	0.28	0.19
KYTJ820101	-0.7	-2.0	2.5	0.7	2.15
MITS020101	0.0	0.64	0.0	0.0	0.0
PONP930101	-0.08	-0.13	2.1	0.42	1.53
RACS820114	21.09	20.83	30.57	24.56	19.61
RADA880108	-0.41	-0.08	1.36	-0.23	0.71
Sequence_size	7.0	6.0	1.0	4.0	8.0
TAKK010101	4.4	4.65	3.0	2.8	6.4
VINM940101	1.01	1.0	0.91	1.01	0.93
WARP780101	7.0	6.9	8.89	8.44	8.44
WOLR790101	-0.02	-0.44	0.59	0.85	0.67
ZIMJ680101	0.54	1.06	1.48	0.48	1.48
