AAindex	Loop 1	Loop 2	Loop 3	Loop 4	Loop 5
BHAR880101	0.465	0.48	0.5	0.45	0.43
CASG920101	-0.1	-0.475	-0.5	-0.45	-0.025000000000000026
CHAM830107	0.25	0.5	0.25	0.5	0.0
CHOP780201	0.6699999999999999	0.86	0.675	0.7	0.715
CHOP780202	0.93	0.755	0.7849999999999999	1.04	1.02
CHOP780203	1.345	1.015	1.47	1.22	1.0499999999999998
CIDH920105	-0.395	-0.65	-0.48	-0.77	-0.004999999999999978
DAYM780201	73.0	88.25	70.25	101.5	61.5
EISD860102	0.41	1.4500000000000002	0.31	1.3	0.465
FASG760101	107.615	126.62	114.125	126.635	121.15
FAUJ880111	0.0	0.0	0.0	0.0	0.0
FAUJ880112	0.0	0.25	0.0	0.0	0.0
GOLD730101	0.595	0.36	0.6699999999999999	0.69	0.94
GRAR740102	8.025	10.25	8.55	10.1	7.875
JANJ780101	34.55	49.65000000000001	40.0	52.55	43.2
JANJ780102	44.0	30.25	36.75	26.0	34.0
JANJ780103	21.0	38.0	29.75	40.5	32.25
JOND750101	0.45	0.72	0.805	0.375	1.36
JOND920102	77.0	71.75	70.75	95.0	62.5
KLEP840101	0.0	-0.25	0.0	0.0	0.0
KRIW790101	5.035	5.51	5.77	5.6	5.02
KRIW790102	0.26	0.31000000000000005	0.28500000000000003	0.28500000000000003	0.27
KYTJ820101	0.125	-2.05	-0.9	-2.1	-0.4
MITS020101	0.0	0.32	0.0	0.0	0.0
PONP930101	0.28500000000000003	-0.11	-0.38	-0.28	0.555
RACS820114	27.475	20.325000000000006	29.21	20.435	25.315
RADA880108	0.035	-0.5	-0.225	-0.375	-0.065
Sequence_size	4.5	6.0	4.0	3.0	9.5
TAKK010101	2.55	4.050000000000002	3.05	3.6	4.95
VINM940101	1.015	1.035	1.045	1.025	0.995
WARP780101	7.76	6.62	7.665	6.38	7.8900000000000015
WOLR790101	0.575	-0.305	0.405	-0.425	0.405
ZIMJ680101	0.665	0.6950000000000001	0.8	0.5900000000000001	1.3199999999999998
