AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	10	TACA2_TACTR/1-67	7.0
BHAR880101	1	10	TACA2_TACTR/1-67	0.46
CASG920101	1	10	TACA2_TACTR/1-67	-0.1
CHAM830107	1	10	TACA2_TACTR/1-67	0.0
CHOP780201	1	10	TACA2_TACTR/1-67	1.11
CHOP780202	1	10	TACA2_TACTR/1-67	1.1
CHOP780203	1	10	TACA2_TACTR/1-67	0.96
CIDH920105	1	10	TACA2_TACTR/1-67	-0.77
DAYM780201	1	10	TACA2_TACTR/1-67	49.0
EISD860102	1	10	TACA2_TACTR/1-67	1.1
FASG760101	1	10	TACA2_TACTR/1-67	132.12
FAUJ880111	1	10	TACA2_TACTR/1-67	0.0
FAUJ880111	1	10	TACA2_TACTR/1-67	0.0
FAUJ880112	1	10	TACA2_TACTR/1-67	0.0
GOLD730101	1	10	TACA2_TACTR/1-67	0.69
GRAR740102	1	10	TACA2_TACTR/1-67	9.0
JANJ780101	1	10	TACA2_TACTR/1-67	27.6
JANJ780102	1	10	TACA2_TACTR/1-67	52.0
JANJ780103	1	10	TACA2_TACTR/1-67	16.0
JOND750101	1	10	TACA2_TACTR/1-67	0.1
JOND920102	1	10	TACA2_TACTR/1-67	54.0
KLEP840101	1	10	TACA2_TACTR/1-67	0.0
KRIW790101	1	10	TACA2_TACTR/1-67	6.09
KRIW790102	1	10	TACA2_TACTR/1-67	0.28
KYTJ820101	1	10	TACA2_TACTR/1-67	-0.4
MITS020101	1	10	TACA2_TACTR/1-67	0.0
PONP930101	1	10	TACA2_TACTR/1-67	0.0
RACS820114	1	10	TACA2_TACTR/1-67	22.18
RADA880108	1	10	TACA2_TACTR/1-67	-0.41
TAKK010101	1	10	TACA2_TACTR/1-67	3.0
TAKK010101	1	10	TACA2_TACTR/1-67	3.0
VINM940101	1	10	TACA2_TACTR/1-67	1.03
WARP780101	1	10	TACA2_TACTR/1-67	7.98
WOLR790101	1	10	TACA2_TACTR/1-67	0.59
ZIMJ680101	1	10	TACA2_TACTR/1-67	0.1
Sequence_size	1	10	TACA1_TACTR/1-44	7.0
BHAR880101	1	10	TACA1_TACTR/1-44	0.46
CASG920101	1	10	TACA1_TACTR/1-44	-0.1
CHAM830107	1	10	TACA1_TACTR/1-44	0.0
CHOP780201	1	10	TACA1_TACTR/1-44	1.11
CHOP780202	1	10	TACA1_TACTR/1-44	1.1
CHOP780203	1	10	TACA1_TACTR/1-44	0.96
CIDH920105	1	10	TACA1_TACTR/1-44	-0.77
DAYM780201	1	10	TACA1_TACTR/1-44	49.0
EISD860102	1	10	TACA1_TACTR/1-44	1.1
FASG760101	1	10	TACA1_TACTR/1-44	132.12
FAUJ880111	1	10	TACA1_TACTR/1-44	0.0
FAUJ880111	1	10	TACA1_TACTR/1-44	0.0
FAUJ880112	1	10	TACA1_TACTR/1-44	0.0
GOLD730101	1	10	TACA1_TACTR/1-44	0.69
GRAR740102	1	10	TACA1_TACTR/1-44	9.0
JANJ780101	1	10	TACA1_TACTR/1-44	27.6
JANJ780102	1	10	TACA1_TACTR/1-44	52.0
JANJ780103	1	10	TACA1_TACTR/1-44	16.0
JOND750101	1	10	TACA1_TACTR/1-44	0.1
JOND920102	1	10	TACA1_TACTR/1-44	54.0
KLEP840101	1	10	TACA1_TACTR/1-44	0.0
KRIW790101	1	10	TACA1_TACTR/1-44	6.09
KRIW790102	1	10	TACA1_TACTR/1-44	0.28
KYTJ820101	1	10	TACA1_TACTR/1-44	-0.4
MITS020101	1	10	TACA1_TACTR/1-44	0.0
PONP930101	1	10	TACA1_TACTR/1-44	0.0
RACS820114	1	10	TACA1_TACTR/1-44	22.18
RADA880108	1	10	TACA1_TACTR/1-44	-0.41
TAKK010101	1	10	TACA1_TACTR/1-44	3.0
TAKK010101	1	10	TACA1_TACTR/1-44	3.0
VINM940101	1	10	TACA1_TACTR/1-44	1.03
WARP780101	1	10	TACA1_TACTR/1-44	7.98
WOLR790101	1	10	TACA1_TACTR/1-44	0.59
ZIMJ680101	1	10	TACA1_TACTR/1-44	0.1
Sequence_size	1	10	TACB1_TACTR/1-42	7.0
BHAR880101	1	10	TACB1_TACTR/1-42	0.36
CASG920101	1	10	TACB1_TACTR/1-42	0.2
CHAM830107	1	10	TACB1_TACTR/1-42	0.0
CHOP780201	1	10	TACB1_TACTR/1-42	0.98
CHOP780202	1	10	TACB1_TACTR/1-42	0.93
CHOP780203	1	10	TACB1_TACTR/1-42	0.96
CIDH920105	1	10	TACB1_TACTR/1-42	0.02
DAYM780201	1	10	TACB1_TACTR/1-42	49.0
EISD860102	1	10	TACB1_TACTR/1-42	1.0
FASG760101	1	10	TACB1_TACTR/1-42	131.17
FAUJ880111	1	10	TACB1_TACTR/1-42	0.0
FAUJ880111	1	10	TACB1_TACTR/1-42	0.0
FAUJ880112	1	10	TACB1_TACTR/1-42	0.0
GOLD730101	1	10	TACB1_TACTR/1-42	0.75
GRAR740102	1	10	TACB1_TACTR/1-42	8.1
JANJ780101	1	10	TACB1_TACTR/1-42	27.6
JANJ780102	1	10	TACB1_TACTR/1-42	52.0
JANJ780103	1	10	TACB1_TACTR/1-42	15.0
JOND750101	1	10	TACB1_TACTR/1-42	0.87
JOND920102	1	10	TACB1_TACTR/1-42	54.0
KLEP840101	1	10	TACB1_TACTR/1-42	0.0
KRIW790101	1	10	TACB1_TACTR/1-42	4.32
KRIW790102	1	10	TACB1_TACTR/1-42	0.28
KYTJ820101	1	10	TACB1_TACTR/1-42	1.8
MITS020101	1	10	TACB1_TACTR/1-42	0.0
PONP930101	1	10	TACB1_TACTR/1-42	0.85
RACS820114	1	10	TACB1_TACTR/1-42	17.82
RADA880108	1	10	TACB1_TACTR/1-42	-0.06
TAKK010101	1	10	TACB1_TACTR/1-42	7.3
TAKK010101	1	10	TACB1_TACTR/1-42	7.3
VINM940101	1	10	TACB1_TACTR/1-42	0.98
WARP780101	1	10	TACB1_TACTR/1-42	7.99
WOLR790101	1	10	TACB1_TACTR/1-42	0.67
ZIMJ680101	1	10	TACB1_TACTR/1-42	0.83
Sequence_size	1	10	TACB2_TACTR/1-42	7.0
BHAR880101	1	10	TACB2_TACTR/1-42	0.36
CASG920101	1	10	TACB2_TACTR/1-42	0.2
CHAM830107	1	10	TACB2_TACTR/1-42	0.0
CHOP780201	1	10	TACB2_TACTR/1-42	0.98
