AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	17	B6SME3_MAIZE/1-90	6.0
BHAR880101	1	17	B6SME3_MAIZE/1-90	0.44
CASG920101	1	17	B6SME3_MAIZE/1-90	-0.25
CHAM830107	1	17	B6SME3_MAIZE/1-90	0.0
CHOP780201	1	17	B6SME3_MAIZE/1-90	0.76
CHOP780202	1	17	B6SME3_MAIZE/1-90	1.19
CHOP780203	1	17	B6SME3_MAIZE/1-90	0.98
CIDH920105	1	17	B6SME3_MAIZE/1-90	-0.77
DAYM780201	1	17	B6SME3_MAIZE/1-90	73.0
EISD860102	1	17	B6SME3_MAIZE/1-90	1.5
FASG760101	1	17	B6SME3_MAIZE/1-90	120.14
FAUJ880111	1	17	B6SME3_MAIZE/1-90	0.0
FAUJ880111	1	17	B6SME3_MAIZE/1-90	0.0
FAUJ880112	1	17	B6SME3_MAIZE/1-90	0.0
GOLD730101	1	17	B6SME3_MAIZE/1-90	0.45
GRAR740102	1	17	B6SME3_MAIZE/1-90	8.6
JANJ780101	1	17	B6SME3_MAIZE/1-90	45.0
JANJ780102	1	17	B6SME3_MAIZE/1-90	30.0
JANJ780103	1	17	B6SME3_MAIZE/1-90	32.0
JOND750101	1	17	B6SME3_MAIZE/1-90	0.39
JOND920102	1	17	B6SME3_MAIZE/1-90	63.5
KLEP840101	1	17	B6SME3_MAIZE/1-90	0.0
KRIW790101	1	17	B6SME3_MAIZE/1-90	5.16
KRIW790102	1	17	B6SME3_MAIZE/1-90	0.26
KYTJ820101	1	17	B6SME3_MAIZE/1-90	-0.7
MITS020101	1	17	B6SME3_MAIZE/1-90	0.0
PONP930101	1	17	B6SME3_MAIZE/1-90	-0.04
RACS820114	1	17	B6SME3_MAIZE/1-90	23.73
RADA880108	1	17	B6SME3_MAIZE/1-90	-0.27
TAKK010101	1	17	B6SME3_MAIZE/1-90	5.65
TAKK010101	1	17	B6SME3_MAIZE/1-90	5.65
VINM940101	1	17	B6SME3_MAIZE/1-90	1.0
WARP780101	1	17	B6SME3_MAIZE/1-90	7.0
WOLR790101	1	17	B6SME3_MAIZE/1-90	-0.02
ZIMJ680101	1	17	B6SME3_MAIZE/1-90	0.59
Sequence_size	1	17	B6SRH4_MAIZE/1-90	6.0
BHAR880101	1	17	B6SRH4_MAIZE/1-90	0.44
CASG920101	1	17	B6SRH4_MAIZE/1-90	-0.25
CHAM830107	1	17	B6SRH4_MAIZE/1-90	0.0
CHOP780201	1	17	B6SRH4_MAIZE/1-90	0.76
CHOP780202	1	17	B6SRH4_MAIZE/1-90	1.19
CHOP780203	1	17	B6SRH4_MAIZE/1-90	0.98
CIDH920105	1	17	B6SRH4_MAIZE/1-90	-0.77
DAYM780201	1	17	B6SRH4_MAIZE/1-90	73.0
EISD860102	1	17	B6SRH4_MAIZE/1-90	1.5
FASG760101	1	17	B6SRH4_MAIZE/1-90	120.14
FAUJ880111	1	17	B6SRH4_MAIZE/1-90	0.0
FAUJ880111	1	17	B6SRH4_MAIZE/1-90	0.0
FAUJ880112	1	17	B6SRH4_MAIZE/1-90	0.0
GOLD730101	1	17	B6SRH4_MAIZE/1-90	0.45
GRAR740102	1	17	B6SRH4_MAIZE/1-90	8.6
JANJ780101	1	17	B6SRH4_MAIZE/1-90	45.0
JANJ780102	1	17	B6SRH4_MAIZE/1-90	30.0
JANJ780103	1	17	B6SRH4_MAIZE/1-90	32.0
JOND750101	1	17	B6SRH4_MAIZE/1-90	0.39
JOND920102	1	17	B6SRH4_MAIZE/1-90	63.5
KLEP840101	1	17	B6SRH4_MAIZE/1-90	0.0
KRIW790101	1	17	B6SRH4_MAIZE/1-90	5.16
KRIW790102	1	17	B6SRH4_MAIZE/1-90	0.26
KYTJ820101	1	17	B6SRH4_MAIZE/1-90	-0.7
MITS020101	1	17	B6SRH4_MAIZE/1-90	0.0
PONP930101	1	17	B6SRH4_MAIZE/1-90	-0.04
RACS820114	1	17	B6SRH4_MAIZE/1-90	23.73
RADA880108	1	17	B6SRH4_MAIZE/1-90	-0.27
TAKK010101	1	17	B6SRH4_MAIZE/1-90	5.65
TAKK010101	1	17	B6SRH4_MAIZE/1-90	5.65
VINM940101	1	17	B6SRH4_MAIZE/1-90	1.0
WARP780101	1	17	B6SRH4_MAIZE/1-90	7.0
WOLR790101	1	17	B6SRH4_MAIZE/1-90	-0.02
ZIMJ680101	1	17	B6SRH4_MAIZE/1-90	0.59
Sequence_size	1	17	Q4KWL5_MAIZE/1-90	6.0
BHAR880101	1	17	Q4KWL5_MAIZE/1-90	0.44
CASG920101	1	17	Q4KWL5_MAIZE/1-90	-0.25
CHAM830107	1	17	Q4KWL5_MAIZE/1-90	0.0
CHOP780201	1	17	Q4KWL5_MAIZE/1-90	0.76
CHOP780202	1	17	Q4KWL5_MAIZE/1-90	1.19
CHOP780203	1	17	Q4KWL5_MAIZE/1-90	0.98
CIDH920105	1	17	Q4KWL5_MAIZE/1-90	-0.77
DAYM780201	1	17	Q4KWL5_MAIZE/1-90	73.0
EISD860102	1	17	Q4KWL5_MAIZE/1-90	1.5
FASG760101	1	17	Q4KWL5_MAIZE/1-90	120.14
FAUJ880111	1	17	Q4KWL5_MAIZE/1-90	0.0
FAUJ880111	1	17	Q4KWL5_MAIZE/1-90	0.0
FAUJ880112	1	17	Q4KWL5_MAIZE/1-90	0.0
GOLD730101	1	17	Q4KWL5_MAIZE/1-90	0.45
GRAR740102	1	17	Q4KWL5_MAIZE/1-90	8.6
JANJ780101	1	17	Q4KWL5_MAIZE/1-90	45.0
JANJ780102	1	17	Q4KWL5_MAIZE/1-90	30.0
JANJ780103	1	17	Q4KWL5_MAIZE/1-90	32.0
JOND750101	1	17	Q4KWL5_MAIZE/1-90	0.39
JOND920102	1	17	Q4KWL5_MAIZE/1-90	63.5
KLEP840101	1	17	Q4KWL5_MAIZE/1-90	0.0
KRIW790101	1	17	Q4KWL5_MAIZE/1-90	5.16
KRIW790102	1	17	Q4KWL5_MAIZE/1-90	0.26
KYTJ820101	1	17	Q4KWL5_MAIZE/1-90	-0.7
MITS020101	1	17	Q4KWL5_MAIZE/1-90	0.0
PONP930101	1	17	Q4KWL5_MAIZE/1-90	-0.04
RACS820114	1	17	Q4KWL5_MAIZE/1-90	23.73
RADA880108	1	17	Q4KWL5_MAIZE/1-90	-0.27
TAKK010101	1	17	Q4KWL5_MAIZE/1-90	5.65
