AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	3	A0A1N6YRQ9_9FLAO/1-50	6.0
BHAR880101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.46
CASG920101	1	3	A0A1N6YRQ9_9FLAO/1-50	-0.5
CHAM830107	1	3	A0A1N6YRQ9_9FLAO/1-50	1.0
CHOP780201	1	3	A0A1N6YRQ9_9FLAO/1-50	0.85
CHOP780202	1	3	A0A1N6YRQ9_9FLAO/1-50	0.89
CHOP780203	1	3	A0A1N6YRQ9_9FLAO/1-50	1.21
CIDH920105	1	3	A0A1N6YRQ9_9FLAO/1-50	-0.77
DAYM780201	1	3	A0A1N6YRQ9_9FLAO/1-50	104.0
EISD860102	1	3	A0A1N6YRQ9_9FLAO/1-50	1.6
FASG760101	1	3	A0A1N6YRQ9_9FLAO/1-50	132.61
FAUJ880111	1	3	A0A1N6YRQ9_9FLAO/1-50	0.0
FAUJ880111	1	3	A0A1N6YRQ9_9FLAO/1-50	0.0
FAUJ880112	1	3	A0A1N6YRQ9_9FLAO/1-50	0.0
GOLD730101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.69
GRAR740102	1	3	A0A1N6YRQ9_9FLAO/1-50	11.6
JANJ780101	1	3	A0A1N6YRQ9_9FLAO/1-50	60.1
JANJ780102	1	3	A0A1N6YRQ9_9FLAO/1-50	22.0
JANJ780103	1	3	A0A1N6YRQ9_9FLAO/1-50	49.0
JOND750101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.67
JOND920102	1	3	A0A1N6YRQ9_9FLAO/1-50	89.5
KLEP840101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.0
KRIW790101	1	3	A0A1N6YRQ9_9FLAO/1-50	6.11
KRIW790102	1	3	A0A1N6YRQ9_9FLAO/1-50	0.31
KYTJ820101	1	3	A0A1N6YRQ9_9FLAO/1-50	-3.5
MITS020101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.0
PONP930101	1	3	A0A1N6YRQ9_9FLAO/1-50	-0.48
RACS820114	1	3	A0A1N6YRQ9_9FLAO/1-50	18.98
RADA880108	1	3	A0A1N6YRQ9_9FLAO/1-50	-0.48
TAKK010101	1	3	A0A1N6YRQ9_9FLAO/1-50	4.0
TAKK010101	1	3	A0A1N6YRQ9_9FLAO/1-50	4.0
VINM940101	1	3	A0A1N6YRQ9_9FLAO/1-50	1.05
WARP780101	1	3	A0A1N6YRQ9_9FLAO/1-50	5.7
WOLR790101	1	3	A0A1N6YRQ9_9FLAO/1-50	-0.83
ZIMJ680101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.65
Sequence_size	1	3	D7W803_9FLAO/1-49	6.0
BHAR880101	1	3	D7W803_9FLAO/1-49	0.48
CASG920101	1	3	D7W803_9FLAO/1-49	-0.55
CHAM830107	1	3	D7W803_9FLAO/1-49	0.0
CHOP780201	1	3	D7W803_9FLAO/1-49	0.8
CHOP780202	1	3	D7W803_9FLAO/1-49	1.06
CHOP780203	1	3	D7W803_9FLAO/1-49	0.99
CIDH920105	1	3	D7W803_9FLAO/1-49	-0.26
DAYM780201	1	3	D7W803_9FLAO/1-49	80.5
EISD860102	1	3	D7W803_9FLAO/1-49	0.96
FASG760101	1	3	D7W803_9FLAO/1-49	120.14
FAUJ880111	1	3	D7W803_9FLAO/1-49	0.0
FAUJ880111	1	3	D7W803_9FLAO/1-49	0.0
FAUJ880112	1	3	D7W803_9FLAO/1-49	0.0
GOLD730101	1	3	D7W803_9FLAO/1-49	0.88
GRAR740102	1	3	D7W803_9FLAO/1-49	8.3
JANJ780101	1	3	D7W803_9FLAO/1-49	43.5
JANJ780102	1	3	D7W803_9FLAO/1-49	32.5
JANJ780103	1	3	D7W803_9FLAO/1-49	32.0
JOND750101	1	3	D7W803_9FLAO/1-49	1.19
JOND920102	1	3	D7W803_9FLAO/1-49	93.0
KLEP840101	1	3	D7W803_9FLAO/1-49	0.0
KRIW790101	1	3	D7W803_9FLAO/1-49	5.27
KRIW790102	1	3	D7W803_9FLAO/1-49	0.27
