AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	9	TU142_LOPOL/1-88	5.0
BHAR880101	1	9	TU142_LOPOL/1-88	0.46
CASG920101	1	9	TU142_LOPOL/1-88	-0.5
CHAM830107	1	9	TU142_LOPOL/1-88	0.0
CHOP780201	1	9	TU142_LOPOL/1-88	0.7
CHOP780202	1	9	TU142_LOPOL/1-88	0.89
CHOP780203	1	9	TU142_LOPOL/1-88	1.43
CIDH920105	1	9	TU142_LOPOL/1-88	-0.77
DAYM780201	1	9	TU142_LOPOL/1-88	97.0
EISD860102	1	9	TU142_LOPOL/1-88	0.73
FASG760101	1	9	TU142_LOPOL/1-88	119.12
FAUJ880111	1	9	TU142_LOPOL/1-88	0.0
FAUJ880111	1	9	TU142_LOPOL/1-88	0.0
FAUJ880112	1	9	TU142_LOPOL/1-88	0.0
GOLD730101	1	9	TU142_LOPOL/1-88	0.69
GRAR740102	1	9	TU142_LOPOL/1-88	8.6
JANJ780101	1	9	TU142_LOPOL/1-88	45.0
JANJ780102	1	9	TU142_LOPOL/1-88	30.0
JANJ780103	1	9	TU142_LOPOL/1-88	32.0
JOND750101	1	9	TU142_LOPOL/1-88	0.09
JOND920102	1	9	TU142_LOPOL/1-88	104.0
KLEP840101	1	9	TU142_LOPOL/1-88	0.0
KRIW790101	1	9	TU142_LOPOL/1-88	5.37
KRIW790102	1	9	TU142_LOPOL/1-88	0.27
KYTJ820101	1	9	TU142_LOPOL/1-88	-0.8
MITS020101	1	9	TU142_LOPOL/1-88	0.0
PONP930101	1	9	TU142_LOPOL/1-88	-0.48
RACS820114	1	9	TU142_LOPOL/1-88	21.09
RADA880108	1	9	TU142_LOPOL/1-88	-0.27
TAKK010101	1	9	TU142_LOPOL/1-88	3.6
TAKK010101	1	9	TU142_LOPOL/1-88	3.6
VINM940101	1	9	TU142_LOPOL/1-88	1.05
WARP780101	1	9	TU142_LOPOL/1-88	7.08
WOLR790101	1	9	TU142_LOPOL/1-88	-0.02
ZIMJ680101	1	9	TU142_LOPOL/1-88	0.54
Sequence_size	1	9	CP2B_CONBE/1-27	4.0
BHAR880101	1	9	CP2B_CONBE/1-27	0.47
CASG920101	1	9	CP2B_CONBE/1-27	0.3
CHAM830107	1	9	CP2B_CONBE/1-27	0.5
CHOP780201	1	9	CP2B_CONBE/1-27	0.64
CHOP780202	1	9	CP2B_CONBE/1-27	0.97
CHOP780203	1	9	CP2B_CONBE/1-27	1.26
CIDH920105	1	9	CP2B_CONBE/1-27	-0.02
DAYM780201	1	9	CP2B_CONBE/1-27	49.0
EISD860102	1	9	CP2B_CONBE/1-27	0.09
FASG760101	1	9	CP2B_CONBE/1-27	96.11
FAUJ880111	1	9	CP2B_CONBE/1-27	0.0
FAUJ880111	1	9	CP2B_CONBE/1-27	0.0
FAUJ880112	1	9	CP2B_CONBE/1-27	0.0
GOLD730101	1	9	CP2B_CONBE/1-27	0.5
GRAR740102	1	9	CP2B_CONBE/1-27	7.45
JANJ780101	1	9	CP2B_CONBE/1-27	24.1
JANJ780102	1	9	CP2B_CONBE/1-27	58.0
JANJ780103	1	9	CP2B_CONBE/1-27	10.0
JOND750101	1	9	CP2B_CONBE/1-27	0.81
JOND920102	1	9	CP2B_CONBE/1-27	50.0
KLEP840101	1	9	CP2B_CONBE/1-27	0.0
KRIW790101	1	9	CP2B_CONBE/1-27	4.7
KRIW790102	1	9	CP2B_CONBE/1-27	0.25
KYTJ820101	1	9	CP2B_CONBE/1-27	1.05
MITS020101	1	9	CP2B_CONBE/1-27	0.0
PONP930101	1	9	CP2B_CONBE/1-27	1.05
RACS820114	1	9	CP2B_CONBE/1-27	33.86
RADA880108	1	9	CP2B_CONBE/1-27	0.34
TAKK010101	1	9	CP2B_CONBE/1-27	1.5
TAKK010101	1	9	CP2B_CONBE/1-27	1.5
VINM940101	1	9	CP2B_CONBE/1-27	0.98
WARP780101	1	9	CP2B_CONBE/1-27	8.44
WOLR790101	1	9	CP2B_CONBE/1-27	1.17
ZIMJ680101	1	9	CP2B_CONBE/1-27	0.79
Sequence_size	2	9	TU142_LOPOL/1-88	6.0
BHAR880101	2	9	TU142_LOPOL/1-88	0.5
CASG920101	2	9	TU142_LOPOL/1-88	-1.0
CHAM830107	2	9	TU142_LOPOL/1-88	1.0
CHOP780201	2	9	TU142_LOPOL/1-88	0.99
CHOP780202	2	9	TU142_LOPOL/1-88	0.72
CHOP780203	2	9	TU142_LOPOL/1-88	0.98
CIDH920105	2	9	TU142_LOPOL/1-88	-0.91
DAYM780201	2	9	TU142_LOPOL/1-88	102.0
EISD860102	2	9	TU142_LOPOL/1-88	2.45
FASG760101	2	9	TU142_LOPOL/1-88	140.12
FAUJ880111	2	9	TU142_LOPOL/1-88	0.0
FAUJ880111	2	9	TU142_LOPOL/1-88	0.0
FAUJ880112	2	9	TU142_LOPOL/1-88	0.5
GOLD730101	2	9	TU142_LOPOL/1-88	0.34
GRAR740102	2	9	TU142_LOPOL/1-88	11.95
JANJ780101	2	9	TU142_LOPOL/1-88	64.4
JANJ780102	2	9	TU142_LOPOL/1-88	17.5
JANJ780103	2	9	TU142_LOPOL/1-88	52.5
JOND750101	2	9	TU142_LOPOL/1-88	0.67
JOND920102	2	9	TU142_LOPOL/1-88	80.0
KLEP840101	2	9	TU142_LOPOL/1-88	-0.5
KRIW790101	2	9	TU142_LOPOL/1-88	6.17
KRIW790102	2	9	TU142_LOPOL/1-88	0.34
KYTJ820101	2	9	TU142_LOPOL/1-88	-3.5
MITS020101	2	9	TU142_LOPOL/1-88	0.64
PONP930101	2	9	TU142_LOPOL/1-88	-0.64
RACS820114	2	9	TU142_LOPOL/1-88	18.19
RADA880108	2	9	TU142_LOPOL/1-88	-0.77
TAKK010101	2	9	TU142_LOPOL/1-88	4.4
TAKK010101	2	9	TU142_LOPOL/1-88	4.4
VINM940101	2	9	TU142_LOPOL/1-88	1.06
WARP780101	2	9	TU142_LOPOL/1-88	5.7
WOLR790101	2	9	TU142_LOPOL/1-88	-0.88
ZIMJ680101	2	9	TU142_LOPOL/1-88	0.65
Sequence_size	2	9	CP2B_CONBE/1-27	6.0
BHAR880101	2	9	CP2B_CONBE/1-27	0.46
CASG920101	2	9	CP2B_CONBE/1-27	0.05
CHAM830107	2	9	CP2B_CONBE/1-27	0.0
CHOP780201	2	9	CP2B_CONBE/1-27	0.73
CHOP780202	2	9	CP2B_CONBE/1-27	0.79
CHOP780203	2	9	CP2B_CONBE/1-27	1.05
CIDH920105	2	9	CP2B_CONBE/1-27	-0.39
DAYM780201	2	9	CP2B_CONBE/1-27	74.5
EISD860102	2	9	CP2B_CONBE/1-27	0.45
FASG760101	2	9	CP2B_CONBE/1-27	113.12
FAUJ880111	2	9	CP2B_CONBE/1-27	0.0
FAUJ880111	2	9	CP2B_CONBE/1-27	0.0
FAUJ880112	2	9	CP2B_CONBE/1-27	0.0
GOLD730101	2	9	CP2B_CONBE/1-27	0.38
GRAR740102	2	9	CP2B_CONBE/1-27	8.55
JANJ780101	2	9	CP2B_CONBE/1-27	34.9
JANJ780102	2	9	CP2B_CONBE/1-27	43.0
JANJ780103	2	9	CP2B_CONBE/1-27	23.5
JOND750101	2	9	CP2B_CONBE/1-27	0.77
JOND920102	2	9	CP2B_CONBE/1-27	63.5
KLEP840101	2	9	CP2B_CONBE/1-27	0.0
KRIW790101	2	9	CP2B_CONBE/1-27	4.85
KRIW790102	2	9	CP2B_CONBE/1-27	0.28
KYTJ820101	2	9	CP2B_CONBE/1-27	-0.6
MITS020101	2	9	CP2B_CONBE/1-27	0.0
PONP930101	2	9	CP2B_CONBE/1-27	0.42
RACS820114	2	9	CP2B_CONBE/1-27	22.46
RADA880108	2	9	CP2B_CONBE/1-27	-0.23
TAKK010101	2	9	CP2B_CONBE/1-27	3.7
TAKK010101	2	9	CP2B_CONBE/1-27	3.7
VINM940101	2	9	CP2B_CONBE/1-27	1.01
WARP780101	2	9	CP2B_CONBE/1-27	7.54
WOLR790101	2	9	CP2B_CONBE/1-27	0.27
ZIMJ680101	2	9	CP2B_CONBE/1-27	0.74
Sequence_size	3	9	TU142_LOPOL/1-88	4.0
BHAR880101	3	9	TU142_LOPOL/1-88	0.49
CASG920101	3	9	TU142_LOPOL/1-88	-0.3
CHAM830107	3	9	TU142_LOPOL/1-88	0.5
CHOP780201	3	9	TU142_LOPOL/1-88	0.62
CHOP780202	3	9	TU142_LOPOL/1-88	0.82
CHOP780203	3	9	TU142_LOPOL/1-88	1.51
CIDH920105	3	9	TU142_LOPOL/1-88	-0.43
DAYM780201	3	9	TU142_LOPOL/1-88	52.5
EISD860102	3	9	TU142_LOPOL/1-88	0.17
FASG760101	3	9	TU142_LOPOL/1-88	118.14
FAUJ880111	3	9	TU142_LOPOL/1-88	0.0
FAUJ880111	3	9	TU142_LOPOL/1-88	0.0
FAUJ880112	3	9	TU142_LOPOL/1-88	0.0
GOLD730101	3	9	TU142_LOPOL/1-88	0.84
GRAR740102	3	9	TU142_LOPOL/1-88	8.5
JANJ780101	3	9	TU142_LOPOL/1-88	38.0
JANJ780102	3	9	TU142_LOPOL/1-88	38.5
JANJ780103	3	9	TU142_LOPOL/1-88	27.5
JOND750101	3	9	TU142_LOPOL/1-88	0.81
JOND920102	3	9	TU142_LOPOL/1-88	54.0
KLEP840101	3	9	TU142_LOPOL/1-88	0.0
KRIW790101	3	9	TU142_LOPOL/1-88	6.17
KRIW790102	3	9	TU142_LOPOL/1-88	0.3
KYTJ820101	3	9	TU142_LOPOL/1-88	-1.0
MITS020101	3	9	TU142_LOPOL/1-88	0.0
PONP930101	3	9	TU142_LOPOL/1-88	-0.24
RACS820114	3	9	TU142_LOPOL/1-88	33.86
RADA880108	3	9	TU142_LOPOL/1-88	-0.2
TAKK010101	3	9	TU142_LOPOL/1-88	3.3
TAKK010101	3	9	TU142_LOPOL/1-88	3.3
VINM940101	3	9	TU142_LOPOL/1-88	1.04
WARP780101	3	9	TU142_LOPOL/1-88	7.89
WOLR790101	3	9	TU142_LOPOL/1-88	0.56
ZIMJ680101	3	9	TU142_LOPOL/1-88	0.79
Sequence_size	3	9	CP2B_CONBE/1-27	4.0
BHAR880101	3	9	CP2B_CONBE/1-27	0.51
CASG920101	3	9	CP2B_CONBE/1-27	-0.7
CHAM830107	3	9	CP2B_CONBE/1-27	0.0
CHOP780201	3	9	CP2B_CONBE/1-27	0.73
CHOP780202	3	9	CP2B_CONBE/1-27	0.75
CHOP780203	3	9	CP2B_CONBE/1-27	1.43
CIDH920105	3	9	CP2B_CONBE/1-27	-0.53
DAYM780201	3	9	CP2B_CONBE/1-27	88.0
EISD860102	3	9	CP2B_CONBE/1-27	0.45
FASG760101	3	9	CP2B_CONBE/1-27	110.11
FAUJ880111	3	9	CP2B_CONBE/1-27	0.0
FAUJ880111	3	9	CP2B_CONBE/1-27	0.0
FAUJ880112	3	9	CP2B_CONBE/1-27	0.0
GOLD730101	3	9	CP2B_CONBE/1-27	0.5
GRAR740102	3	9	CP2B_CONBE/1-27	8.6
JANJ780101	3	9	CP2B_CONBE/1-27	42.0
JANJ780102	3	9	CP2B_CONBE/1-27	35.0
JANJ780103	3	9	CP2B_CONBE/1-27	32.0
JOND750101	3	9	CP2B_CONBE/1-27	0.8
JOND920102	3	9	CP2B_CONBE/1-27	87.5
KLEP840101	3	9	CP2B_CONBE/1-27	0.0
KRIW790101	3	9	CP2B_CONBE/1-27	5.37
KRIW790102	3	9	CP2B_CONBE/1-27	0.27
KYTJ820101	3	9	CP2B_CONBE/1-27	-0.8
MITS020101	3	9	CP2B_CONBE/1-27	0.0
PONP930101	3	9	CP2B_CONBE/1-27	-0.52
RACS820114	3	9	CP2B_CONBE/1-27	24.56
RADA880108	3	9	CP2B_CONBE/1-27	-0.25
TAKK010101	3	9	CP2B_CONBE/1-27	2.8
TAKK010101	3	9	CP2B_CONBE/1-27	2.8
VINM940101	3	9	CP2B_CONBE/1-27	1.05
WARP780101	3	9	CP2B_CONBE/1-27	7.44
WOLR790101	3	9	CP2B_CONBE/1-27	0.25
ZIMJ680101	3	9	CP2B_CONBE/1-27	0.81
Sequence_size	4	9	TU142_LOPOL/1-88	3.0
BHAR880101	4	9	TU142_LOPOL/1-88	0.46
CASG920101	4	9	TU142_LOPOL/1-88	-0.5
CHAM830107	4	9	TU142_LOPOL/1-88	1.0
CHOP780201	4	9	TU142_LOPOL/1-88	0.7
CHOP780202	4	9	TU142_LOPOL/1-88	0.89
CHOP780203	4	9	TU142_LOPOL/1-88	1.46
CIDH920105	4	9	TU142_LOPOL/1-88	-0.77
DAYM780201	4	9	TU142_LOPOL/1-88	106.0
EISD860102	4	9	TU142_LOPOL/1-88	1.3
FASG760101	4	9	TU142_LOPOL/1-88	132.12
FAUJ880111	4	9	TU142_LOPOL/1-88	0.0
FAUJ880111	4	9	TU142_LOPOL/1-88	0.0
FAUJ880112	4	9	TU142_LOPOL/1-88	0.0
GOLD730101	4	9	TU142_LOPOL/1-88	0.69
GRAR740102	4	9	TU142_LOPOL/1-88	11.6
JANJ780101	4	9	TU142_LOPOL/1-88	60.1
JANJ780102	4	9	TU142_LOPOL/1-88	22.0
JANJ780103	4	9	TU142_LOPOL/1-88	49.0
JOND750101	4	9	TU142_LOPOL/1-88	0.66
JOND920102	4	9	TU142_LOPOL/1-88	86.0
KLEP840101	4	9	TU142_LOPOL/1-88	0.0
KRIW790101	4	9	TU142_LOPOL/1-88	6.04
KRIW790102	4	9	TU142_LOPOL/1-88	0.31
KYTJ820101	4	9	TU142_LOPOL/1-88	-3.5
MITS020101	4	9	TU142_LOPOL/1-88	0.0
PONP930101	4	9	TU142_LOPOL/1-88	-0.48
RACS820114	4	9	TU142_LOPOL/1-88	19.78
RADA880108	4	9	TU142_LOPOL/1-88	-0.48
TAKK010101	4	9	TU142_LOPOL/1-88	3.6
TAKK010101	4	9	TU142_LOPOL/1-88	3.6
VINM940101	4	9	TU142_LOPOL/1-88	1.05
WARP780101	4	9	TU142_LOPOL/1-88	5.76
WOLR790101	4	9	TU142_LOPOL/1-88	-0.83
ZIMJ680101	4	9	TU142_LOPOL/1-88	0.64
Sequence_size	4	9	CP2B_CONBE/1-27	3.0
BHAR880101	4	9	CP2B_CONBE/1-27	0.44
CASG920101	4	9	CP2B_CONBE/1-27	-0.4
CHAM830107	4	9	CP2B_CONBE/1-27	0.0
CHOP780201	4	9	CP2B_CONBE/1-27	0.7
CHOP780202	4	9	CP2B_CONBE/1-27	1.19
CHOP780203	4	9	CP2B_CONBE/1-27	0.98
CIDH920105	4	9	CP2B_CONBE/1-27	-0.77
DAYM780201	4	9	CP2B_CONBE/1-27	97.0
EISD860102	4	9	CP2B_CONBE/1-27	1.3
FASG760101	4	9	CP2B_CONBE/1-27	121.15
FAUJ880111	4	9	CP2B_CONBE/1-27	0.0
FAUJ880111	4	9	CP2B_CONBE/1-27	0.0
FAUJ880112	4	9	CP2B_CONBE/1-27	0.0
GOLD730101	4	9	CP2B_CONBE/1-27	0.69
GRAR740102	4	9	CP2B_CONBE/1-27	8.6
JANJ780101	4	9	CP2B_CONBE/1-27	45.0
JANJ780102	4	9	CP2B_CONBE/1-27	30.0
JANJ780103	4	9	CP2B_CONBE/1-27	32.0
JOND750101	4	9	CP2B_CONBE/1-27	0.09
JOND920102	4	9	CP2B_CONBE/1-27	104.0
KLEP840101	4	9	CP2B_CONBE/1-27	0.0
KRIW790101	4	9	CP2B_CONBE/1-27	5.16
KRIW790102	4	9	CP2B_CONBE/1-27	0.26
KYTJ820101	4	9	CP2B_CONBE/1-27	-0.7
