AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	18	U7DYR9_POPTR/1-80	7.0
BHAR880101	1	18	U7DYR9_POPTR/1-80	0.51
CASG920101	1	18	U7DYR9_POPTR/1-80	-0.1
CHAM830107	1	18	U7DYR9_POPTR/1-80	0.0
CHOP780201	1	18	U7DYR9_POPTR/1-80	0.77
CHOP780202	1	18	U7DYR9_POPTR/1-80	0.75
CHOP780203	1	18	U7DYR9_POPTR/1-80	1.43
CIDH920105	1	18	U7DYR9_POPTR/1-80	-0.8
DAYM780201	1	18	U7DYR9_POPTR/1-80	49.0
EISD860102	1	18	U7DYR9_POPTR/1-80	0.73
FASG760101	1	18	U7DYR9_POPTR/1-80	105.09
FAUJ880111	1	18	U7DYR9_POPTR/1-80	0.0
FAUJ880111	1	18	U7DYR9_POPTR/1-80	0.0
FAUJ880112	1	18	U7DYR9_POPTR/1-80	0.0
GOLD730101	1	18	U7DYR9_POPTR/1-80	0.0
GRAR740102	1	18	U7DYR9_POPTR/1-80	9.0
JANJ780101	1	18	U7DYR9_POPTR/1-80	24.5
JANJ780102	1	18	U7DYR9_POPTR/1-80	52.0
JANJ780103	1	18	U7DYR9_POPTR/1-80	13.0
JOND750101	1	18	U7DYR9_POPTR/1-80	0.1
JOND920102	1	18	U7DYR9_POPTR/1-80	50.0
KLEP840101	1	18	U7DYR9_POPTR/1-80	0.0
KRIW790101	1	18	U7DYR9_POPTR/1-80	5.37
KRIW790102	1	18	U7DYR9_POPTR/1-80	0.27
KYTJ820101	1	18	U7DYR9_POPTR/1-80	-0.4
MITS020101	1	18	U7DYR9_POPTR/1-80	0.0
PONP930101	1	18	U7DYR9_POPTR/1-80	0.0
RACS820114	1	18	U7DYR9_POPTR/1-80	20.28
RADA880108	1	18	U7DYR9_POPTR/1-80	-0.41
TAKK010101	1	18	U7DYR9_POPTR/1-80	2.6
TAKK010101	1	18	U7DYR9_POPTR/1-80	2.6
VINM940101	1	18	U7DYR9_POPTR/1-80	1.03
WARP780101	1	18	U7DYR9_POPTR/1-80	7.99
WOLR790101	1	18	U7DYR9_POPTR/1-80	0.59
ZIMJ680101	1	18	U7DYR9_POPTR/1-80	0.14
Sequence_size	1	18	A0A0D3HJH4_9ORYZ/1-80	7.0
BHAR880101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.36
CASG920101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.2
CHAM830107	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
CHOP780201	1	18	A0A0D3HJH4_9ORYZ/1-80	0.7
CHOP780202	1	18	A0A0D3HJH4_9ORYZ/1-80	0.83
CHOP780203	1	18	A0A0D3HJH4_9ORYZ/1-80	0.96
CIDH920105	1	18	A0A0D3HJH4_9ORYZ/1-80	0.02
DAYM780201	1	18	A0A0D3HJH4_9ORYZ/1-80	49.0
EISD860102	1	18	A0A0D3HJH4_9ORYZ/1-80	0.17
FASG760101	1	18	A0A0D3HJH4_9ORYZ/1-80	115.13
FAUJ880111	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
FAUJ880111	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
FAUJ880112	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
GOLD730101	1	18	A0A0D3HJH4_9ORYZ/1-80	1.0
GRAR740102	1	18	A0A0D3HJH4_9ORYZ/1-80	8.0
JANJ780101	1	18	A0A0D3HJH4_9ORYZ/1-80	25.5
JANJ780102	1	18	A0A0D3HJH4_9ORYZ/1-80	52.0
JANJ780103	1	18	A0A0D3HJH4_9ORYZ/1-80	10.0
JOND750101	1	18	A0A0D3HJH4_9ORYZ/1-80	1.52
JOND920102	1	18	A0A0D3HJH4_9ORYZ/1-80	51.0
KLEP840101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
KRIW790101	1	18	A0A0D3HJH4_9ORYZ/1-80	4.32
KRIW790102	1	18	A0A0D3HJH4_9ORYZ/1-80	0.28
KYTJ820101	1	18	A0A0D3HJH4_9ORYZ/1-80	1.8
MITS020101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
PONP930101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.85
RACS820114	1	18	A0A0D3HJH4_9ORYZ/1-80	30.57
RADA880108	1	18	A0A0D3HJH4_9ORYZ/1-80	0.0
TAKK010101	1	18	A0A0D3HJH4_9ORYZ/1-80	9.8
TAKK010101	1	18	A0A0D3HJH4_9ORYZ/1-80	9.8
VINM940101	1	18	A0A0D3HJH4_9ORYZ/1-80	0.98
WARP780101	1	18	A0A0D3HJH4_9ORYZ/1-80	7.99
WOLR790101	1	18	A0A0D3HJH4_9ORYZ/1-80	1.12
ZIMJ680101	1	18	A0A0D3HJH4_9ORYZ/1-80	1.48
Sequence_size	1	18	A0A0E0BGM4_9ORYZ/1-88	7.0
BHAR880101	1	18	A0A0E0BGM4_9ORYZ/1-88	0.36
CASG920101	1	18	A0A0E0BGM4_9ORYZ/1-88	0.2
CHAM830107	1	18	A0A0E0BGM4_9ORYZ/1-88	0.0
CHOP780201	1	18	A0A0E0BGM4_9ORYZ/1-88	0.7
CHOP780202	1	18	A0A0E0BGM4_9ORYZ/1-88	0.83
CHOP780203	1	18	A0A0E0BGM4_9ORYZ/1-88	0.96
CIDH920105	1	18	A0A0E0BGM4_9ORYZ/1-88	0.02
DAYM780201	1	18	A0A0E0BGM4_9ORYZ/1-88	49.0
EISD860102	1	18	A0A0E0BGM4_9ORYZ/1-88	0.17
FASG760101	1	18	A0A0E0BGM4_9ORYZ/1-88	115.13
FAUJ880111	1	18	A0A0E0BGM4_9ORYZ/1-88	0.0
FAUJ880111	1	18	A0A0E0BGM4_9ORYZ/1-88	0.0
FAUJ880112	1	18	A0A0E0BGM4_9ORYZ/1-88	0.0
GOLD730101	1	18	A0A0E0BGM4_9ORYZ/1-88	1.0
GRAR740102	1	18	A0A0E0BGM4_9ORYZ/1-88	8.0
