AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	6	Q24D94_TETTS/1-74	7.0
BHAR880101	1	6	Q24D94_TETTS/1-74	0.44
CASG920101	1	6	Q24D94_TETTS/1-74	-0.4
CHAM830107	1	6	Q24D94_TETTS/1-74	0.0
CHOP780201	1	6	Q24D94_TETTS/1-74	0.83
CHOP780202	1	6	Q24D94_TETTS/1-74	1.19
CHOP780203	1	6	Q24D94_TETTS/1-74	0.98
CIDH920105	1	6	Q24D94_TETTS/1-74	-0.77
DAYM780201	1	6	Q24D94_TETTS/1-74	56.0
EISD860102	1	6	Q24D94_TETTS/1-74	1.5
FASG760101	1	6	Q24D94_TETTS/1-74	121.15
FAUJ880111	1	6	Q24D94_TETTS/1-74	0.0
FAUJ880111	1	6	Q24D94_TETTS/1-74	0.0
FAUJ880112	1	6	Q24D94_TETTS/1-74	0.0
GOLD730101	1	6	Q24D94_TETTS/1-74	0.59
GRAR740102	1	6	Q24D94_TETTS/1-74	8.6
JANJ780101	1	6	Q24D94_TETTS/1-74	45.0
JANJ780102	1	6	Q24D94_TETTS/1-74	30.0
JANJ780103	1	6	Q24D94_TETTS/1-74	32.0
JOND750101	1	6	Q24D94_TETTS/1-74	0.1
JOND920102	1	6	Q24D94_TETTS/1-74	72.0
KLEP840101	1	6	Q24D94_TETTS/1-74	0.0
KRIW790101	1	6	Q24D94_TETTS/1-74	5.16
KRIW790102	1	6	Q24D94_TETTS/1-74	0.26
KYTJ820101	1	6	Q24D94_TETTS/1-74	-0.7
MITS020101	1	6	Q24D94_TETTS/1-74	0.0
PONP930101	1	6	Q24D94_TETTS/1-74	-0.08
RACS820114	1	6	Q24D94_TETTS/1-74	22.18
RADA880108	1	6	Q24D94_TETTS/1-74	-0.27
TAKK010101	1	6	Q24D94_TETTS/1-74	6.9
TAKK010101	1	6	Q24D94_TETTS/1-74	6.9
VINM940101	1	6	Q24D94_TETTS/1-74	1.0
WARP780101	1	6	Q24D94_TETTS/1-74	7.0
WOLR790101	1	6	Q24D94_TETTS/1-74	-0.02
ZIMJ680101	1	6	Q24D94_TETTS/1-74	0.54
Sequence_size	1	6	Q23QY7_TETTS/1-67	7.0
BHAR880101	1	6	Q23QY7_TETTS/1-67	0.36
CASG920101	1	6	Q23QY7_TETTS/1-67	0.4
CHAM830107	1	6	Q23QY7_TETTS/1-67	0.0
CHOP780201	1	6	Q23QY7_TETTS/1-67	1.01
CHOP780202	1	6	Q23QY7_TETTS/1-67	1.1
CHOP780203	1	6	Q23QY7_TETTS/1-67	0.96
CIDH920105	1	6	Q23QY7_TETTS/1-67	0.26
DAYM780201	1	6	Q23QY7_TETTS/1-67	49.0
EISD860102	1	6	Q23QY7_TETTS/1-67	1.0
FASG760101	1	6	Q23QY7_TETTS/1-67	131.17
FAUJ880111	1	6	Q23QY7_TETTS/1-67	0.0
FAUJ880111	1	6	Q23QY7_TETTS/1-67	0.0
FAUJ880112	1	6	Q23QY7_TETTS/1-67	0.0
GOLD730101	1	6	Q23QY7_TETTS/1-67	0.59
GRAR740102	1	6	Q23QY7_TETTS/1-67	9.0
JANJ780101	1	6	Q23QY7_TETTS/1-67	27.6
JANJ780102	1	6	Q23QY7_TETTS/1-67	52.0
JANJ780103	1	6	Q23QY7_TETTS/1-67	16.0
JOND750101	1	6	Q23QY7_TETTS/1-67	0.87
JOND920102	1	6	Q23QY7_TETTS/1-67	54.0
KLEP840101	1	6	Q23QY7_TETTS/1-67	0.0
KRIW790101	1	6	Q23QY7_TETTS/1-67	5.66
KRIW790102	1	6	Q23QY7_TETTS/1-67	0.23
KYTJ820101	1	6	Q23QY7_TETTS/1-67	-0.4
MITS020101	1	6	Q23QY7_TETTS/1-67	0.0
PONP930101	1	6	Q23QY7_TETTS/1-67	0.22
RACS820114	1	6	Q23QY7_TETTS/1-67	22.18
RADA880108	1	6	Q23QY7_TETTS/1-67	0.49
TAKK010101	1	6	Q23QY7_TETTS/1-67	4.9
TAKK010101	1	6	Q23QY7_TETTS/1-67	4.9
VINM940101	1	6	Q23QY7_TETTS/1-67	0.95
WARP780101	1	6	Q23QY7_TETTS/1-67	7.99
WOLR790101	1	6	Q23QY7_TETTS/1-67	0.59
ZIMJ680101	1	6	Q23QY7_TETTS/1-67	1.1
Sequence_size	2	6	Q24D94_TETTS/1-74	6.0
BHAR880101	2	6	Q24D94_TETTS/1-74	0.48
CASG920101	2	6	Q24D94_TETTS/1-74	-0.8
CHAM830107	2	6	Q24D94_TETTS/1-74	1.0
CHOP780201	2	6	Q24D94_TETTS/1-74	0.85
CHOP780202	2	6	Q24D94_TETTS/1-74	0.89
CHOP780203	2	6	Q24D94_TETTS/1-74	1.21
CIDH920105	2	6	Q24D94_TETTS/1-74	-0.91
DAYM780201	2	6	Q24D94_TETTS/1-74	104.0
EISD860102	2	6	Q24D94_TETTS/1-74	1.6
FASG760101	2	6	Q24D94_TETTS/1-74	132.61
FAUJ880111	2	6	Q24D94_TETTS/1-74	0.0
FAUJ880111	2	6	Q24D94_TETTS/1-74	0.0
FAUJ880112	2	6	Q24D94_TETTS/1-74	0.0
GOLD730101	2	6	Q24D94_TETTS/1-74	0.64
GRAR740102	2	6	Q24D94_TETTS/1-74	11.6
JANJ780101	2	6	Q24D94_TETTS/1-74	60.35
JANJ780102	2	6	Q24D94_TETTS/1-74	20.5
JANJ780103	2	6	Q24D94_TETTS/1-74	49.5
JOND750101	2	6	Q24D94_TETTS/1-74	0.38
JOND920102	2	6	Q24D94_TETTS/1-74	85.0
KLEP840101	2	6	Q24D94_TETTS/1-74	0.0
KRIW790101	2	6	Q24D94_TETTS/1-74	6.15
KRIW790102	2	6	Q24D94_TETTS/1-74	0.32
KYTJ820101	2	6	Q24D94_TETTS/1-74	-3.5
MITS020101	2	6	Q24D94_TETTS/1-74	0.0
PONP930101	2	6	Q24D94_TETTS/1-74	-0.48
RACS820114	2	6	Q24D94_TETTS/1-74	18.98
RADA880108	2	6	Q24D94_TETTS/1-74	-0.6
TAKK010101	2	6	Q24D94_TETTS/1-74	3.6
TAKK010101	2	6	Q24D94_TETTS/1-74	3.6
VINM940101	2	6	Q24D94_TETTS/1-74	1.05
WARP780101	2	6	Q24D94_TETTS/1-74	5.63
WOLR790101	2	6	Q24D94_TETTS/1-74	-0.83
ZIMJ680101	2	6	Q24D94_TETTS/1-74	0.36
Sequence_size	2	6	Q23QY7_TETTS/1-67	9.0
BHAR880101	2	6	Q23QY7_TETTS/1-67	0.39
CASG920101	2	6	Q23QY7_TETTS/1-67	0.5
CHAM830107	2	6	Q23QY7_TETTS/1-67	0.0
CHOP780201	2	6	Q23QY7_TETTS/1-67	1.13
CHOP780202	2	6	Q23QY7_TETTS/1-67	1.19
CHOP780203	2	6	Q23QY7_TETTS/1-67	0.95
CIDH920105	2	6	Q23QY7_TETTS/1-67	0.77
DAYM780201	2	6	Q23QY7_TETTS/1-67	74.0
EISD860102	2	6	Q23QY7_TETTS/1-67	1.1
FASG760101	2	6	Q23QY7_TETTS/1-67	133.1
FAUJ880111	2	6	Q23QY7_TETTS/1-67	0.0
FAUJ880111	2	6	Q23QY7_TETTS/1-67	0.0
FAUJ880112	2	6	Q23QY7_TETTS/1-67	0.0
GOLD730101	2	6	Q23QY7_TETTS/1-67	1.0
GRAR740102	2	6	Q23QY7_TETTS/1-67	5.9
JANJ780101	2	6	Q23QY7_TETTS/1-67	27.6
JANJ780102	2	6	Q23QY7_TETTS/1-67	58.0
JANJ780103	2	6	Q23QY7_TETTS/1-67	16.0
JOND750101	2	6	Q23QY7_TETTS/1-67	1.52
JOND920102	2	6	Q23QY7_TETTS/1-67	77.0
KLEP840101	2	6	Q23QY7_TETTS/1-67	0.0
KRIW790101	2	6	Q23QY7_TETTS/1-67	3.93
KRIW790102	2	6	Q23QY7_TETTS/1-67	0.22
KYTJ820101	2	6	Q23QY7_TETTS/1-67	2.5
MITS020101	2	6	Q23QY7_TETTS/1-67	0.0
PONP930101	2	6	Q23QY7_TETTS/1-67	1.69
RACS820114	2	6	Q23QY7_TETTS/1-67	19.61
RADA880108	2	6	Q23QY7_TETTS/1-67	1.09
TAKK010101	2	6	Q23QY7_TETTS/1-67	4.9
TAKK010101	2	6	Q23QY7_TETTS/1-67	4.9
VINM940101	2	6	Q23QY7_TETTS/1-67	0.94
WARP780101	2	6	Q23QY7_TETTS/1-67	7.98
WOLR790101	2	6	Q23QY7_TETTS/1-67	0.59
ZIMJ680101	2	6	Q23QY7_TETTS/1-67	1.48
Sequence_size	3	6	Q24D94_TETTS/1-74	1.0
BHAR880101	3	6	Q24D94_TETTS/1-74	0.35
CASG920101	3	6	Q24D94_TETTS/1-74	1.9
CHAM830107	3	6	Q24D94_TETTS/1-74	0.0
CHOP780201	3	6	Q24D94_TETTS/1-74	0.7
CHOP780202	3	6	Q24D94_TETTS/1-74	1.19
CHOP780203	3	6	Q24D94_TETTS/1-74	0.96
CIDH920105	3	6	Q24D94_TETTS/1-74	0.77
DAYM780201	3	6	Q24D94_TETTS/1-74	20.0
EISD860102	3	6	Q24D94_TETTS/1-74	0.17
FASG760101	3	6	Q24D94_TETTS/1-74	121.15
FAUJ880111	3	6	Q24D94_TETTS/1-74	0.0
FAUJ880111	3	6	Q24D94_TETTS/1-74	0.0
FAUJ880112	3	6	Q24D94_TETTS/1-74	0.0
GOLD730101	3	6	Q24D94_TETTS/1-74	1.0
GRAR740102	3	6	Q24D94_TETTS/1-74	5.5
JANJ780101	3	6	Q24D94_TETTS/1-74	15.5
JANJ780102	3	6	Q24D94_TETTS/1-74	74.0
JANJ780103	3	6	Q24D94_TETTS/1-74	5.0
JOND750101	3	6	Q24D94_TETTS/1-74	1.52
JOND920102	3	6	Q24D94_TETTS/1-74	44.0
KLEP840101	3	6	Q24D94_TETTS/1-74	0.0
KRIW790101	3	6	Q24D94_TETTS/1-74	1.73
KRIW790102	3	6	Q24D94_TETTS/1-74	0.11
KYTJ820101	3	6	Q24D94_TETTS/1-74	2.5
MITS020101	3	6	Q24D94_TETTS/1-74	0.0
PONP930101	3	6	Q24D94_TETTS/1-74	2.1
RACS820114	3	6	Q24D94_TETTS/1-74	30.57
RADA880108	3	6	Q24D94_TETTS/1-74	1.36
TAKK010101	3	6	Q24D94_TETTS/1-74	3.0
TAKK010101	3	6	Q24D94_TETTS/1-74	3.0
VINM940101	3	6	Q24D94_TETTS/1-74	0.91
WARP780101	3	6	Q24D94_TETTS/1-74	8.89
WOLR790101	3	6	Q24D94_TETTS/1-74	0.59
ZIMJ680101	3	6	Q24D94_TETTS/1-74	1.48
Sequence_size	3	6	Q23QY7_TETTS/1-67	1.0
BHAR880101	3	6	Q23QY7_TETTS/1-67	0.35
CASG920101	3	6	Q23QY7_TETTS/1-67	1.9
CHAM830107	3	6	Q23QY7_TETTS/1-67	0.0
CHOP780201	3	6	Q23QY7_TETTS/1-67	0.7
CHOP780202	3	6	Q23QY7_TETTS/1-67	1.19
CHOP780203	3	6	Q23QY7_TETTS/1-67	0.96
CIDH920105	3	6	Q23QY7_TETTS/1-67	0.77
DAYM780201	3	6	Q23QY7_TETTS/1-67	20.0
EISD860102	3	6	Q23QY7_TETTS/1-67	0.17
FASG760101	3	6	Q23QY7_TETTS/1-67	121.15
FAUJ880111	3	6	Q23QY7_TETTS/1-67	0.0
FAUJ880111	3	6	Q23QY7_TETTS/1-67	0.0
FAUJ880112	3	6	Q23QY7_TETTS/1-67	0.0
GOLD730101	3	6	Q23QY7_TETTS/1-67	1.0
GRAR740102	3	6	Q23QY7_TETTS/1-67	5.5
JANJ780101	3	6	Q23QY7_TETTS/1-67	15.5
JANJ780102	3	6	Q23QY7_TETTS/1-67	74.0
JANJ780103	3	6	Q23QY7_TETTS/1-67	5.0
JOND750101	3	6	Q23QY7_TETTS/1-67	1.52
JOND920102	3	6	Q23QY7_TETTS/1-67	44.0
KLEP840101	3	6	Q23QY7_TETTS/1-67	0.0
KRIW790101	3	6	Q23QY7_TETTS/1-67	1.73
KRIW790102	3	6	Q23QY7_TETTS/1-67	0.11
KYTJ820101	3	6	Q23QY7_TETTS/1-67	2.5
MITS020101	3	6	Q23QY7_TETTS/1-67	0.0
PONP930101	3	6	Q23QY7_TETTS/1-67	2.1
RACS820114	3	6	Q23QY7_TETTS/1-67	30.57
RADA880108	3	6	Q23QY7_TETTS/1-67	1.36
TAKK010101	3	6	Q23QY7_TETTS/1-67	3.0
TAKK010101	3	6	Q23QY7_TETTS/1-67	3.0
VINM940101	3	6	Q23QY7_TETTS/1-67	0.91
WARP780101	3	6	Q23QY7_TETTS/1-67	8.89
WOLR790101	3	6	Q23QY7_TETTS/1-67	0.59
ZIMJ680101	3	6	Q23QY7_TETTS/1-67	1.48
Sequence_size	4	6	Q24D94_TETTS/1-74	6.0
BHAR880101	4	6	Q24D94_TETTS/1-74	0.49
CASG920101	4	6	Q24D94_TETTS/1-74	-0.6
CHAM830107	4	6	Q24D94_TETTS/1-74	0.0
CHOP780201	4	6	Q24D94_TETTS/1-74	0.69
CHOP780202	4	6	Q24D94_TETTS/1-74	0.82
CHOP780203	4	6	Q24D94_TETTS/1-74	1.32
CIDH920105	4	6	Q24D94_TETTS/1-74	-0.41
DAYM780201	4	6	Q24D94_TETTS/1-74	56.0
EISD860102	4	6	Q24D94_TETTS/1-74	0.74
FASG760101	4	6	Q24D94_TETTS/1-74	126.64
FAUJ880111	4	6	Q24D94_TETTS/1-74	0.0
FAUJ880111	4	6	Q24D94_TETTS/1-74	0.0
FAUJ880112	4	6	Q24D94_TETTS/1-74	0.0
GOLD730101	4	6	Q24D94_TETTS/1-74	0.88
GRAR740102	4	6	Q24D94_TETTS/1-74	9.75
JANJ780101	4	6	Q24D94_TETTS/1-74	55.8
JANJ780102	4	6	Q24D94_TETTS/1-74	23.5
JANJ780103	4	6	Q24D94_TETTS/1-74	47.0
JOND750101	4	6	Q24D94_TETTS/1-74	1.19
JOND920102	4	6	Q24D94_TETTS/1-74	65.0
KLEP840101	4	6	Q24D94_TETTS/1-74	0.0
KRIW790101	4	6	Q24D94_TETTS/1-74	6.39
KRIW790102	4	6	Q24D94_TETTS/1-74	0.33
KYTJ820101	4	6	Q24D94_TETTS/1-74	-2.55
MITS020101	4	6	Q24D94_TETTS/1-74	0.0
PONP930101	4	6	Q24D94_TETTS/1-74	-0.24
RACS820114	4	6	Q24D94_TETTS/1-74	24.2
RADA880108	4	6	Q24D94_TETTS/1-74	-0.44
TAKK010101	4	6	Q24D94_TETTS/1-74	5.45
TAKK010101	4	6	Q24D94_TETTS/1-74	5.45
VINM940101	4	6	Q24D94_TETTS/1-74	1.04
WARP780101	4	6	Q24D94_TETTS/1-74	6.98
WOLR790101	4	6	Q24D94_TETTS/1-74	-0.13
ZIMJ680101	4	6	Q24D94_TETTS/1-74	1.16
Sequence_size	4	6	Q23QY7_TETTS/1-67	5.0
BHAR880101	4	6	Q23QY7_TETTS/1-67	0.49
CASG920101	4	6	Q23QY7_TETTS/1-67	-0.4
CHAM830107	4	6	Q23QY7_TETTS/1-67	0.0
CHOP780201	4	6	Q23QY7_TETTS/1-67	0.77
CHOP780202	4	6	Q23QY7_TETTS/1-67	1.1
CHOP780203	4	6	Q23QY7_TETTS/1-67	0.98
CIDH920105	4	6	Q23QY7_TETTS/1-67	-0.8
DAYM780201	4	6	Q23QY7_TETTS/1-67	93.0
EISD860102	4	6	Q23QY7_TETTS/1-67	0.73
FASG760101	4	6	Q23QY7_TETTS/1-67	119.12
FAUJ880111	4	6	Q23QY7_TETTS/1-67	0.0
FAUJ880111	4	6	Q23QY7_TETTS/1-67	0.0
FAUJ880112	4	6	Q23QY7_TETTS/1-67	0.0
GOLD730101	4	6	Q23QY7_TETTS/1-67	0.45
GRAR740102	4	6	Q23QY7_TETTS/1-67	9.0
JANJ780101	4	6	Q23QY7_TETTS/1-67	42.0
JANJ780102	4	6	Q23QY7_TETTS/1-67	35.0
JANJ780103	4	6	Q23QY7_TETTS/1-67	32.0
JOND750101	4	6	Q23QY7_TETTS/1-67	0.07
JOND920102	4	6	Q23QY7_TETTS/1-67	84.0
KLEP840101	4	6	Q23QY7_TETTS/1-67	0.0
KRIW790101	4	6	Q23QY7_TETTS/1-67	5.37
KRIW790102	4	6	Q23QY7_TETTS/1-67	0.27
KYTJ820101	4	6	Q23QY7_TETTS/1-67	-0.7
MITS020101	4	6	Q23QY7_TETTS/1-67	0.0
PONP930101	4	6	Q23QY7_TETTS/1-67	-0.08
RACS820114	4	6	Q23QY7_TETTS/1-67	22.18
RADA880108	4	6	Q23QY7_TETTS/1-67	-0.41
TAKK010101	4	6	Q23QY7_TETTS/1-67	2.6
TAKK010101	4	6	Q23QY7_TETTS/1-67	2.6
VINM940101	4	6	Q23QY7_TETTS/1-67	1.03
WARP780101	4	6	Q23QY7_TETTS/1-67	7.08
WOLR790101	4	6	Q23QY7_TETTS/1-67	-0.02
ZIMJ680101	4	6	Q23QY7_TETTS/1-67	0.14
Sequence_size	5	6	Q24D94_TETTS/1-74	10.0
BHAR880101	5	6	Q24D94_TETTS/1-74	0.44
CASG920101	5	6	Q24D94_TETTS/1-74	0.2
CHAM830107	5	6	Q24D94_TETTS/1-74	0.0
CHOP780201	5	6	Q24D94_TETTS/1-74	1.08
CHOP780202	5	6	Q24D94_TETTS/1-74	1.15
CHOP780203	5	6	Q24D94_TETTS/1-74	0.95
CIDH920105	5	6	Q24D94_TETTS/1-74	-0.02
DAYM780201	5	6	Q24D94_TETTS/1-74	61.5
EISD860102	5	6	Q24D94_TETTS/1-74	0.86
FASG760101	5	6	Q24D94_TETTS/1-74	126.16
FAUJ880111	5	6	Q24D94_TETTS/1-74	0.0
FAUJ880111	5	6	Q24D94_TETTS/1-74	0.0
FAUJ880112	5	6	Q24D94_TETTS/1-74	0.0
GOLD730101	5	6	Q24D94_TETTS/1-74	0.79
GRAR740102	5	6	Q24D94_TETTS/1-74	7.45
JANJ780101	5	6	Q24D94_TETTS/1-74	26.55
JANJ780102	5	6	Q24D94_TETTS/1-74	55.0
JANJ780103	5	6	Q24D94_TETTS/1-74	15.0
JOND750101	5	6	Q24D94_TETTS/1-74	1.09
JOND920102	5	6	Q24D94_TETTS/1-74	65.5
KLEP840101	5	6	Q24D94_TETTS/1-74	0.0
KRIW790101	5	6	Q24D94_TETTS/1-74	4.65
KRIW790102	5	6	Q24D94_TETTS/1-74	0.24
KYTJ820101	5	6	Q24D94_TETTS/1-74	1.05
MITS020101	5	6	Q24D94_TETTS/1-74	0.0
PONP930101	5	6	Q24D94_TETTS/1-74	0.84
RACS820114	5	6	Q24D94_TETTS/1-74	20.74
RADA880108	5	6	Q24D94_TETTS/1-74	0.34
TAKK010101	5	6	Q24D94_TETTS/1-74	3.7
TAKK010101	5	6	Q24D94_TETTS/1-74	3.7
VINM940101	5	6	Q24D94_TETTS/1-74	0.98
WARP780101	5	6	Q24D94_TETTS/1-74	7.99
WOLR790101	5	6	Q24D94_TETTS/1-74	0.59
ZIMJ680101	5	6	Q24D94_TETTS/1-74	1.06
Sequence_size	5	6	Q23QY7_TETTS/1-67	8.0
BHAR880101	5	6	Q23QY7_TETTS/1-67	0.38
CASG920101	5	6	Q23QY7_TETTS/1-67	0.6
CHAM830107	5	6	Q23QY7_TETTS/1-67	0.0
CHOP780201	5	6	Q23QY7_TETTS/1-67	0.85
