AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	25	ITR1_SPIOL/1-35	7.0
BHAR880101	1	25	ITR1_SPIOL/1-35	0.51
CASG920101	1	25	ITR1_SPIOL/1-35	-0.1
CHAM830107	1	25	ITR1_SPIOL/1-35	0.0
CHOP780201	1	25	ITR1_SPIOL/1-35	0.77
CHOP780202	1	25	ITR1_SPIOL/1-35	0.75
CHOP780203	1	25	ITR1_SPIOL/1-35	1.43
CIDH920105	1	25	ITR1_SPIOL/1-35	-0.09
DAYM780201	1	25	ITR1_SPIOL/1-35	96.0
EISD860102	1	25	ITR1_SPIOL/1-35	0.18
FASG760101	1	25	ITR1_SPIOL/1-35	105.09
FAUJ880111	1	25	ITR1_SPIOL/1-35	0.0
FAUJ880111	1	25	ITR1_SPIOL/1-35	0.0
FAUJ880112	1	25	ITR1_SPIOL/1-35	0.0
GOLD730101	1	25	ITR1_SPIOL/1-35	0.75
GRAR740102	1	25	ITR1_SPIOL/1-35	8.1
JANJ780101	1	25	ITR1_SPIOL/1-35	27.8
JANJ780102	1	25	ITR1_SPIOL/1-35	51.0
JANJ780103	1	25	ITR1_SPIOL/1-35	15.0
JOND750101	1	25	ITR1_SPIOL/1-35	0.87
JOND920102	1	25	ITR1_SPIOL/1-35	100.0
KLEP840101	1	25	ITR1_SPIOL/1-35	0.0
KRIW790101	1	25	ITR1_SPIOL/1-35	5.37
KRIW790102	1	25	ITR1_SPIOL/1-35	0.27
KYTJ820101	1	25	ITR1_SPIOL/1-35	-0.4
MITS020101	1	25	ITR1_SPIOL/1-35	0.0
PONP930101	1	25	ITR1_SPIOL/1-35	0.0
RACS820114	1	25	ITR1_SPIOL/1-35	20.28
RADA880108	1	25	ITR1_SPIOL/1-35	-0.06
TAKK010101	1	25	ITR1_SPIOL/1-35	3.0
TAKK010101	1	25	ITR1_SPIOL/1-35	3.0
VINM940101	1	25	ITR1_SPIOL/1-35	1.03
WARP780101	1	25	ITR1_SPIOL/1-35	7.99
WOLR790101	1	25	ITR1_SPIOL/1-35	0.59
ZIMJ680101	1	25	ITR1_SPIOL/1-35	0.83
Sequence_size	1	25	ITR2_SPIOL/1-36	7.0
BHAR880101	1	25	ITR2_SPIOL/1-36	0.51
CASG920101	1	25	ITR2_SPIOL/1-36	-0.1
