AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	16	K7J5W2_NASVI/1-375	7.0
BHAR880101	1	16	K7J5W2_NASVI/1-375	0.44
CASG920101	1	16	K7J5W2_NASVI/1-375	0.2
CHAM830107	1	16	K7J5W2_NASVI/1-375	0.0
CHOP780201	1	16	K7J5W2_NASVI/1-375	0.83
CHOP780202	1	16	K7J5W2_NASVI/1-375	0.83
CHOP780203	1	16	K7J5W2_NASVI/1-375	0.96
CIDH920105	1	16	K7J5W2_NASVI/1-375	0.02
DAYM780201	1	16	K7J5W2_NASVI/1-375	96.0
EISD860102	1	16	K7J5W2_NASVI/1-375	0.17
FASG760101	1	16	K7J5W2_NASVI/1-375	115.13
FAUJ880111	1	16	K7J5W2_NASVI/1-375	0.0
FAUJ880111	1	16	K7J5W2_NASVI/1-375	0.0
FAUJ880112	1	16	K7J5W2_NASVI/1-375	0.0
GOLD730101	1	16	K7J5W2_NASVI/1-375	0.75
GRAR740102	1	16	K7J5W2_NASVI/1-375	8.1
JANJ780101	1	16	K7J5W2_NASVI/1-375	27.8
JANJ780102	1	16	K7J5W2_NASVI/1-375	51.0
JANJ780103	1	16	K7J5W2_NASVI/1-375	15.0
JOND750101	1	16	K7J5W2_NASVI/1-375	0.87
JOND920102	1	16	K7J5W2_NASVI/1-375	100.0
KLEP840101	1	16	K7J5W2_NASVI/1-375	0.0
KRIW790101	1	16	K7J5W2_NASVI/1-375	4.32
KRIW790102	1	16	K7J5W2_NASVI/1-375	0.28
KYTJ820101	1	16	K7J5W2_NASVI/1-375	1.8
MITS020101	1	16	K7J5W2_NASVI/1-375	0.0
PONP930101	1	16	K7J5W2_NASVI/1-375	0.85
RACS820114	1	16	K7J5W2_NASVI/1-375	21.09
RADA880108	1	16	K7J5W2_NASVI/1-375	-0.06
TAKK010101	1	16	K7J5W2_NASVI/1-375	9.8
TAKK010101	1	16	K7J5W2_NASVI/1-375	9.8
VINM940101	1	16	K7J5W2_NASVI/1-375	0.98
WARP780101	1	16	K7J5W2_NASVI/1-375	8.72
WOLR790101	1	16	K7J5W2_NASVI/1-375	1.12
ZIMJ680101	1	16	K7J5W2_NASVI/1-375	0.83
Sequence_size	1	16	E2B985_HARSA/1-68	7.0
BHAR880101	1	16	E2B985_HARSA/1-68	0.36
CASG920101	1	16	E2B985_HARSA/1-68	0.2
CHAM830107	1	16	E2B985_HARSA/1-68	0.0
CHOP780201	1	16	E2B985_HARSA/1-68	0.7
CHOP780202	1	16	E2B985_HARSA/1-68	0.83
CHOP780203	1	16	E2B985_HARSA/1-68	0.96
CIDH920105	1	16	E2B985_HARSA/1-68	0.02
DAYM780201	1	16	E2B985_HARSA/1-68	56.0
EISD860102	1	16	E2B985_HARSA/1-68	0.18
FASG760101	1	16	E2B985_HARSA/1-68	115.13
FAUJ880111	1	16	E2B985_HARSA/1-68	0.0
FAUJ880111	1	16	E2B985_HARSA/1-68	0.0
FAUJ880112	1	16	E2B985_HARSA/1-68	0.0
GOLD730101	1	16	E2B985_HARSA/1-68	1.3
GRAR740102	1	16	E2B985_HARSA/1-68	8.0
JANJ780101	1	16	E2B985_HARSA/1-68	33.5
JANJ780102	1	16	E2B985_HARSA/1-68	52.0
JANJ780103	1	16	E2B985_HARSA/1-68	20.0
JOND750101	1	16	E2B985_HARSA/1-68	1.67
JOND920102	1	16	E2B985_HARSA/1-68	58.0
KLEP840101	1	16	E2B985_HARSA/1-68	0.0
KRIW790101	1	16	E2B985_HARSA/1-68	4.32
KRIW790102	1	16	E2B985_HARSA/1-68	0.28
KYTJ820101	1	16	E2B985_HARSA/1-68	1.8
MITS020101	1	16	E2B985_HARSA/1-68	0.0
PONP930101	1	16	E2B985_HARSA/1-68	0.85
RACS820114	1	16	E2B985_HARSA/1-68	30.57
RADA880108	1	16	E2B985_HARSA/1-68	0.0
