AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	14	GUR_GYMSY	7.0
BHAR880101	1	14	GUR_GYMSY	0.47
CASG920101	1	14	GUR_GYMSY	-1.3
CHAM830107	1	14	GUR_GYMSY	0.0
CHOP780201	1	14	GUR_GYMSY	1.16
CHOP780202	1	14	GUR_GYMSY	0.74
CHOP780203	1	14	GUR_GYMSY	0.96
CIDH920105	1	14	GUR_GYMSY	-0.41
DAYM780201	1	14	GUR_GYMSY	56.0
EISD860102	1	14	GUR_GYMSY	1.9
FASG760101	1	14	GUR_GYMSY	133.1
FAUJ880111	1	14	GUR_GYMSY	0.0
FAUJ880111	1	14	GUR_GYMSY	0.0
FAUJ880112	1	14	GUR_GYMSY	0.0
GOLD730101	1	14	GUR_GYMSY	1.5
GRAR740102	1	14	GUR_GYMSY	11.3
JANJ780101	1	14	GUR_GYMSY	60.6
JANJ780102	1	14	GUR_GYMSY	19.0
JANJ780103	1	14	GUR_GYMSY	50.0
JOND750101	1	14	GUR_GYMSY	1.64
JOND920102	1	14	GUR_GYMSY	72.0
KLEP840101	1	14	GUR_GYMSY	0.0
KRIW790101	1	14	GUR_GYMSY	6.04
KRIW790102	1	14	GUR_GYMSY	0.33
KYTJ820101	1	14	GUR_GYMSY	-3.5
MITS020101	1	14	GUR_GYMSY	0.0
PONP930101	1	14	GUR_GYMSY	-0.79
RACS820114	1	14	GUR_GYMSY	18.19
RADA880108	1	14	GUR_GYMSY	-0.77
TAKK010101	1	14	GUR_GYMSY	10.5
TAKK010101	1	14	GUR_GYMSY	10.5
VINM940101	1	14	GUR_GYMSY	1.07
WARP780101	1	14	GUR_GYMSY	5.76
WOLR790101	1	14	GUR_GYMSY	-0.8
ZIMJ680101	1	14	GUR_GYMSY	1.6
Sequence_size	2	14	GUR_GYMSY	7.0
BHAR880101	2	14	GUR_GYMSY	0.42
CASG920101	2	14	GUR_GYMSY	0.5
CHAM830107	2	14	GUR_GYMSY	0.0
CHOP780201	2	14	GUR_GYMSY	0.7
CHOP780202	2	14	GUR_GYMSY	1.3
CHOP780203	2	14	GUR_GYMSY	1.14
CIDH920105	2	14	GUR_GYMSY	1.11
DAYM780201	2	14	GUR_GYMSY	41.0
EISD860102	2	14	GUR_GYMSY	1.2
FASG760101	2	14	GUR_GYMSY	131.17
FAUJ880111	2	14	GUR_GYMSY	0.0
FAUJ880111	2	14	GUR_GYMSY	0.0
FAUJ880112	2	14	GUR_GYMSY	0.0
GOLD730101	2	14	GUR_GYMSY	2.6
GRAR740102	2	14	GUR_GYMSY	6.2
JANJ780101	2	14	GUR_GYMSY	51.5
JANJ780102	2	14	GUR_GYMSY	25.0
JANJ780103	2	14	GUR_GYMSY	41.0
JOND750101	2	14	GUR_GYMSY	2.67
JOND920102	2	14	GUR_GYMSY	54.0
KLEP840101	2	14	GUR_GYMSY	0.0
KRIW790101	2	14	GUR_GYMSY	3.58
KRIW790102	2	14	GUR_GYMSY	0.25
KYTJ820101	2	14	GUR_GYMSY	-1.3
MITS020101	2	14	GUR_GYMSY	0.0
PONP930101	2	14	GUR_GYMSY	1.37
RACS820114	2	14	GUR_GYMSY	26.36
RADA880108	2	14	GUR_GYMSY	0.33
