AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	13	G2Y5W0_BOTF4/1-138	7.0
BHAR880101	1	13	G2Y5W0_BOTF4/1-138	0.5
CASG920101	1	13	G2Y5W0_BOTF4/1-138	-0.7
CHAM830107	1	13	G2Y5W0_BOTF4/1-138	0.0
CHOP780201	1	13	G2Y5W0_BOTF4/1-138	0.77
CHOP780202	1	13	G2Y5W0_BOTF4/1-138	0.75
CHOP780203	1	13	G2Y5W0_BOTF4/1-138	0.96
CIDH920105	1	13	G2Y5W0_BOTF4/1-138	-0.8
DAYM780201	1	13	G2Y5W0_BOTF4/1-138	56.0
EISD860102	1	13	G2Y5W0_BOTF4/1-138	0.73
FASG760101	1	13	G2Y5W0_BOTF4/1-138	121.15
FAUJ880111	1	13	G2Y5W0_BOTF4/1-138	0.0
FAUJ880111	1	13	G2Y5W0_BOTF4/1-138	0.0
FAUJ880112	1	13	G2Y5W0_BOTF4/1-138	0.0
GOLD730101	1	13	G2Y5W0_BOTF4/1-138	0.59
GRAR740102	1	13	G2Y5W0_BOTF4/1-138	9.0
JANJ780101	1	13	G2Y5W0_BOTF4/1-138	42.0
JANJ780102	1	13	G2Y5W0_BOTF4/1-138	35.0
JANJ780103	1	13	G2Y5W0_BOTF4/1-138	32.0
JOND750101	1	13	G2Y5W0_BOTF4/1-138	0.67
JOND920102	1	13	G2Y5W0_BOTF4/1-138	58.0
KLEP840101	1	13	G2Y5W0_BOTF4/1-138	0.0
KRIW790101	1	13	G2Y5W0_BOTF4/1-138	6.09
KRIW790102	1	13	G2Y5W0_BOTF4/1-138	0.28
KYTJ820101	1	13	G2Y5W0_BOTF4/1-138	-0.8
MITS020101	1	13	G2Y5W0_BOTF4/1-138	0.0
PONP930101	1	13	G2Y5W0_BOTF4/1-138	-0.42
RACS820114	1	13	G2Y5W0_BOTF4/1-138	22.18
RADA880108	1	13	G2Y5W0_BOTF4/1-138	-0.41
TAKK010101	1	13	G2Y5W0_BOTF4/1-138	3.0
TAKK010101	1	13	G2Y5W0_BOTF4/1-138	3.0
VINM940101	1	13	G2Y5W0_BOTF4/1-138	1.04
WARP780101	1	13	G2Y5W0_BOTF4/1-138	7.79
WOLR790101	1	13	G2Y5W0_BOTF4/1-138	0.54
ZIMJ680101	1	13	G2Y5W0_BOTF4/1-138	0.65
Sequence_size	1	13	A0A0J5PTL9_ASPFM/1-54	7.0
BHAR880101	1	13	A0A0J5PTL9_ASPFM/1-54	0.49
CASG920101	1	13	A0A0J5PTL9_ASPFM/1-54	-0.7
CHAM830107	1	13	A0A0J5PTL9_ASPFM/1-54	0.0
CHOP780201	1	13	A0A0J5PTL9_ASPFM/1-54	0.7
CHOP780202	1	13	A0A0J5PTL9_ASPFM/1-54	1.1
CHOP780203	1	13	A0A0J5PTL9_ASPFM/1-54	1.14
CIDH920105	1	13	A0A0J5PTL9_ASPFM/1-54	-0.8
DAYM780201	1	13	A0A0J5PTL9_ASPFM/1-54	56.0
EISD860102	1	13	A0A0J5PTL9_ASPFM/1-54	0.73
