AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	5	A0A1S4BQ42_TOBAC/1-93	4.0
BHAR880101	1	5	A0A1S4BQ42_TOBAC/1-93	0.49
CASG920101	1	5	A0A1S4BQ42_TOBAC/1-93	-0.55
CHAM830107	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
CHOP780201	1	5	A0A1S4BQ42_TOBAC/1-93	0.64
CHOP780202	1	5	A0A1S4BQ42_TOBAC/1-93	0.74
CHOP780203	1	5	A0A1S4BQ42_TOBAC/1-93	1.38
CIDH920105	1	5	A0A1S4BQ42_TOBAC/1-93	-0.25
DAYM780201	1	5	A0A1S4BQ42_TOBAC/1-93	52.5
EISD860102	1	5	A0A1S4BQ42_TOBAC/1-93	0.17
FASG760101	1	5	A0A1S4BQ42_TOBAC/1-93	118.14
FAUJ880111	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
FAUJ880111	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
FAUJ880112	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
GOLD730101	1	5	A0A1S4BQ42_TOBAC/1-93	1.25
GRAR740102	1	5	A0A1S4BQ42_TOBAC/1-93	8.5
JANJ780101	1	5	A0A1S4BQ42_TOBAC/1-93	38.0
JANJ780102	1	5	A0A1S4BQ42_TOBAC/1-93	38.5
JANJ780103	1	5	A0A1S4BQ42_TOBAC/1-93	27.5
JOND750101	1	5	A0A1S4BQ42_TOBAC/1-93	1.58
JOND920102	1	5	A0A1S4BQ42_TOBAC/1-93	54.0
KLEP840101	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
KRIW790101	1	5	A0A1S4BQ42_TOBAC/1-93	6.64
KRIW790102	1	5	A0A1S4BQ42_TOBAC/1-93	0.37
KYTJ820101	1	5	A0A1S4BQ42_TOBAC/1-93	-1.0
MITS020101	1	5	A0A1S4BQ42_TOBAC/1-93	0.0
PONP930101	1	5	A0A1S4BQ42_TOBAC/1-93	-0.57
RACS820114	1	5	A0A1S4BQ42_TOBAC/1-93	33.86
RADA880108	1	5	A0A1S4BQ42_TOBAC/1-93	-0.2
TAKK010101	1	5	A0A1S4BQ42_TOBAC/1-93	6.75
TAKK010101	1	5	A0A1S4BQ42_TOBAC/1-93	6.75
VINM940101	1	5	A0A1S4BQ42_TOBAC/1-93	1.04
WARP780101	1	5	A0A1S4BQ42_TOBAC/1-93	7.89
WOLR790101	1	5	A0A1S4BQ42_TOBAC/1-93	0.56
ZIMJ680101	1	5	A0A1S4BQ42_TOBAC/1-93	1.54
Sequence_size	1	5	K4CBJ5_SOLLC/1-82	4.0
BHAR880101	1	5	K4CBJ5_SOLLC/1-82	0.49
CASG920101	1	5	K4CBJ5_SOLLC/1-82	-0.55
CHAM830107	1	5	K4CBJ5_SOLLC/1-82	0.0
CHOP780201	1	5	K4CBJ5_SOLLC/1-82	0.64
CHOP780202	1	5	K4CBJ5_SOLLC/1-82	0.74
CHOP780203	1	5	K4CBJ5_SOLLC/1-82	1.38
CIDH920105	1	5	K4CBJ5_SOLLC/1-82	-0.25
DAYM780201	1	5	K4CBJ5_SOLLC/1-82	52.5
EISD860102	1	5	K4CBJ5_SOLLC/1-82	0.17
FASG760101	1	5	K4CBJ5_SOLLC/1-82	118.14
FAUJ880111	1	5	K4CBJ5_SOLLC/1-82	0.0
