AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	2	B7GEM1_PHATC/1-169	7.0
BHAR880101	1	2	B7GEM1_PHATC/1-169	0.5
CASG920101	1	2	B7GEM1_PHATC/1-169	-0.4
CHAM830107	1	2	B7GEM1_PHATC/1-169	0.0
CHOP780201	1	2	B7GEM1_PHATC/1-169	0.83
CHOP780202	1	2	B7GEM1_PHATC/1-169	0.83
CHOP780203	1	2	B7GEM1_PHATC/1-169	0.98
CIDH920105	1	2	B7GEM1_PHATC/1-169	-0.77
DAYM780201	1	2	B7GEM1_PHATC/1-169	97.0
EISD860102	1	2	B7GEM1_PHATC/1-169	0.73
FASG760101	1	2	B7GEM1_PHATC/1-169	119.12
FAUJ880111	1	2	B7GEM1_PHATC/1-169	0.0
FAUJ880111	1	2	B7GEM1_PHATC/1-169	0.0
FAUJ880112	1	2	B7GEM1_PHATC/1-169	0.0
GOLD730101	1	2	B7GEM1_PHATC/1-169	0.45
GRAR740102	1	2	B7GEM1_PHATC/1-169	9.0
JANJ780101	1	2	B7GEM1_PHATC/1-169	42.0
JANJ780102	1	2	B7GEM1_PHATC/1-169	35.0
JANJ780103	1	2	B7GEM1_PHATC/1-169	32.0
JOND750101	1	2	B7GEM1_PHATC/1-169	0.67
JOND920102	1	2	B7GEM1_PHATC/1-169	83.0
KLEP840101	1	2	B7GEM1_PHATC/1-169	0.0
KRIW790101	1	2	B7GEM1_PHATC/1-169	5.37
KRIW790102	1	2	B7GEM1_PHATC/1-169	0.28
KYTJ820101	1	2	B7GEM1_PHATC/1-169	-0.7
MITS020101	1	2	B7GEM1_PHATC/1-169	0.0
PONP930101	1	2	B7GEM1_PHATC/1-169	0.0
RACS820114	1	2	B7GEM1_PHATC/1-169	18.56
RADA880108	1	2	B7GEM1_PHATC/1-169	-0.41
TAKK010101	1	2	B7GEM1_PHATC/1-169	4.4
TAKK010101	1	2	B7GEM1_PHATC/1-169	4.4
VINM940101	1	2	B7GEM1_PHATC/1-169	1.01
WARP780101	1	2	B7GEM1_PHATC/1-169	7.08
WOLR790101	1	2	B7GEM1_PHATC/1-169	-0.02
ZIMJ680101	1	2	B7GEM1_PHATC/1-169	0.65
Sequence_size	1	2	B7GCC9_PHATC/1-162	7.0
BHAR880101	1	2	B7GCC9_PHATC/1-162	0.5
CASG920101	1	2	B7GCC9_PHATC/1-162	-0.1
CHAM830107	1	2	B7GCC9_PHATC/1-162	0.0
CHOP780201	1	2	B7GCC9_PHATC/1-162	1.13
CHOP780202	1	2	B7GCC9_PHATC/1-162	0.75
CHOP780203	1	2	B7GCC9_PHATC/1-162	0.95
CIDH920105	1	2	B7GCC9_PHATC/1-162	-0.8
DAYM780201	1	2	B7GCC9_PHATC/1-162	49.0
EISD860102	1	2	B7GCC9_PHATC/1-162	1.0
FASG760101	1	2	B7GCC9_PHATC/1-162	131.17
FAUJ880111	1	2	B7GCC9_PHATC/1-162	0.0
FAUJ880111	1	2	B7GCC9_PHATC/1-162	0.0
FAUJ880112	1	2	B7GCC9_PHATC/1-162	0.0
GOLD730101	1	2	B7GCC9_PHATC/1-162	0.0
GRAR740102	1	2	B7GCC9_PHATC/1-162	9.0
JANJ780101	1	2	B7GCC9_PHATC/1-162	27.6
JANJ780102	1	2	B7GCC9_PHATC/1-162	52.0
JANJ780103	1	2	B7GCC9_PHATC/1-162	16.0
JOND750101	1	2	B7GCC9_PHATC/1-162	0.67
