AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	20	A0A1W7RAU1_9SCOR/1-74	7.0
BHAR880101	1	20	A0A1W7RAU1_9SCOR/1-74	0.46
CASG920101	1	20	A0A1W7RAU1_9SCOR/1-74	0.4
CHAM830107	1	20	A0A1W7RAU1_9SCOR/1-74	0.0
CHOP780201	1	20	A0A1W7RAU1_9SCOR/1-74	1.08
CHOP780202	1	20	A0A1W7RAU1_9SCOR/1-74	1.1
CHOP780203	1	20	A0A1W7RAU1_9SCOR/1-74	0.96
CIDH920105	1	20	A0A1W7RAU1_9SCOR/1-74	0.26
DAYM780201	1	20	A0A1W7RAU1_9SCOR/1-74	65.0
EISD860102	1	20	A0A1W7RAU1_9SCOR/1-74	1.2
FASG760101	1	20	A0A1W7RAU1_9SCOR/1-74	146.15
FAUJ880111	1	20	A0A1W7RAU1_9SCOR/1-74	0.0
FAUJ880111	1	20	A0A1W7RAU1_9SCOR/1-74	0.0
FAUJ880112	1	20	A0A1W7RAU1_9SCOR/1-74	0.0
GOLD730101	1	20	A0A1W7RAU1_9SCOR/1-74	1.0
GRAR740102	1	20	A0A1W7RAU1_9SCOR/1-74	10.4
JANJ780101	1	20	A0A1W7RAU1_9SCOR/1-74	50.7
JANJ780102	1	20	A0A1W7RAU1_9SCOR/1-74	34.0
JANJ780103	1	20	A0A1W7RAU1_9SCOR/1-74	34.0
JOND750101	1	20	A0A1W7RAU1_9SCOR/1-74	1.52
JOND920102	1	20	A0A1W7RAU1_9SCOR/1-74	83.0
KLEP840101	1	20	A0A1W7RAU1_9SCOR/1-74	0.0
KRIW790101	1	20	A0A1W7RAU1_9SCOR/1-74	5.66
KRIW790102	1	20	A0A1W7RAU1_9SCOR/1-74	0.23
KYTJ820101	1	20	A0A1W7RAU1_9SCOR/1-74	-3.2
MITS020101	1	20	A0A1W7RAU1_9SCOR/1-74	1.25
PONP930101	1	20	A0A1W7RAU1_9SCOR/1-74	0.22
RACS820114	1	20	A0A1W7RAU1_9SCOR/1-74	20.28
RADA880108	1	20	A0A1W7RAU1_9SCOR/1-74	0.49
TAKK010101	1	20	A0A1W7RAU1_9SCOR/1-74	10.5
TAKK010101	1	20	A0A1W7RAU1_9SCOR/1-74	10.5
VINM940101	1	20	A0A1W7RAU1_9SCOR/1-74	0.95
WARP780101	1	20	A0A1W7RAU1_9SCOR/1-74	7.49
WOLR790101	1	20	A0A1W7RAU1_9SCOR/1-74	-0.78
ZIMJ680101	1	20	A0A1W7RAU1_9SCOR/1-74	1.48
Sequence_size	1	20	L0GBR1_9SCOR/1-68	7.0
BHAR880101	1	20	L0GBR1_9SCOR/1-68	0.36
CASG920101	1	20	L0GBR1_9SCOR/1-68	0.5
CHAM830107	1	20	L0GBR1_9SCOR/1-68	0.0
CHOP780201	1	20	L0GBR1_9SCOR/1-68	1.16
CHOP780202	1	20	L0GBR1_9SCOR/1-68	1.19
CHOP780203	1	20	L0GBR1_9SCOR/1-68	0.96
CIDH920105	1	20	L0GBR1_9SCOR/1-68	0.77
DAYM780201	1	20	L0GBR1_9SCOR/1-68	40.0
EISD860102	1	20	L0GBR1_9SCOR/1-68	1.0
FASG760101	1	20	L0GBR1_9SCOR/1-68	131.17
FAUJ880111	1	20	L0GBR1_9SCOR/1-68	0.0
FAUJ880111	1	20	L0GBR1_9SCOR/1-68	0.0
FAUJ880112	1	20	L0GBR1_9SCOR/1-68	0.0
GOLD730101	1	20	L0GBR1_9SCOR/1-68	1.5
GRAR740102	1	20	L0GBR1_9SCOR/1-68	5.5
JANJ780101	1	20	L0GBR1_9SCOR/1-68	27.6
JANJ780102	1	20	L0GBR1_9SCOR/1-68	60.0
JANJ780103	1	20	L0GBR1_9SCOR/1-68	16.0
JOND750101	1	20	L0GBR1_9SCOR/1-68	1.64
JOND920102	1	20	L0GBR1_9SCOR/1-68	54.0
KLEP840101	1	20	L0GBR1_9SCOR/1-68	0.0
KRIW790101	1	20	L0GBR1_9SCOR/1-68	3.93
KRIW790102	1	20	L0GBR1_9SCOR/1-68	0.16
KYTJ820101	1	20	L0GBR1_9SCOR/1-68	2.5
MITS020101	1	20	L0GBR1_9SCOR/1-68	0.0
PONP930101	1	20	L0GBR1_9SCOR/1-68	1.99
RACS820114	1	20	L0GBR1_9SCOR/1-68	14.3
RADA880108	1	20	L0GBR1_9SCOR/1-68	1.21
TAKK010101	1	20	L0GBR1_9SCOR/1-68	10.5
TAKK010101	1	20	L0GBR1_9SCOR/1-68	10.5
VINM940101	1	20	L0GBR1_9SCOR/1-68	0.94
WARP780101	1	20	L0GBR1_9SCOR/1-68	8.79
WOLR790101	1	20	L0GBR1_9SCOR/1-68	0.59
ZIMJ680101	1	20	L0GBR1_9SCOR/1-68	1.6
Sequence_size	1	20	F1CIZ6_HOTJU/1-64	7.0
BHAR880101	1	20	F1CIZ6_HOTJU/1-64	0.47
CASG920101	1	20	F1CIZ6_HOTJU/1-64	-0.5
CHAM830107	1	20	F1CIZ6_HOTJU/1-64	0.0
CHOP780201	1	20	F1CIZ6_HOTJU/1-64	0.98
CHOP780202	1	20	F1CIZ6_HOTJU/1-64	0.89
CHOP780203	1	20	F1CIZ6_HOTJU/1-64	1.19
CIDH920105	1	20	F1CIZ6_HOTJU/1-64	-0.41
DAYM780201	1	20	F1CIZ6_HOTJU/1-64	56.0
EISD860102	1	20	F1CIZ6_HOTJU/1-64	1.3
FASG760101	1	20	F1CIZ6_HOTJU/1-64	132.12
FAUJ880111	1	20	F1CIZ6_HOTJU/1-64	0.0
FAUJ880111	1	20	F1CIZ6_HOTJU/1-64	0.0
FAUJ880112	1	20	F1CIZ6_HOTJU/1-64	0.0
GOLD730101	1	20	F1CIZ6_HOTJU/1-64	1.0
GRAR740102	1	20	F1CIZ6_HOTJU/1-64	10.5
JANJ780101	1	20	F1CIZ6_HOTJU/1-64	60.1
JANJ780102	1	20	F1CIZ6_HOTJU/1-64	22.0
JANJ780103	1	20	F1CIZ6_HOTJU/1-64	49.0
JOND750101	1	20	F1CIZ6_HOTJU/1-64	1.52
JOND920102	1	20	F1CIZ6_HOTJU/1-64	72.0
KLEP840101	1	20	F1CIZ6_HOTJU/1-64	0.0
KRIW790101	1	20	F1CIZ6_HOTJU/1-64	6.24
KRIW790102	1	20	F1CIZ6_HOTJU/1-64	0.31
KYTJ820101	1	20	F1CIZ6_HOTJU/1-64	-3.5
MITS020101	1	20	F1CIZ6_HOTJU/1-64	0.0
PONP930101	1	20	F1CIZ6_HOTJU/1-64	0.0
RACS820114	1	20	F1CIZ6_HOTJU/1-64	14.3
RADA880108	1	20	F1CIZ6_HOTJU/1-64	-0.48
TAKK010101	1	20	F1CIZ6_HOTJU/1-64	7.3
TAKK010101	1	20	F1CIZ6_HOTJU/1-64	7.3
VINM940101	1	20	F1CIZ6_HOTJU/1-64	1.03
WARP780101	1	20	F1CIZ6_HOTJU/1-64	6.18
WOLR790101	1	20	F1CIZ6_HOTJU/1-64	-0.8
ZIMJ680101	1	20	F1CIZ6_HOTJU/1-64	1.48
Sequence_size	1	20	A0A0K0LBY9_9SCOR/1-64	7.0
BHAR880101	1	20	A0A0K0LBY9_9SCOR/1-64	0.46
CASG920101	1	20	A0A0K0LBY9_9SCOR/1-64	-0.5
CHAM830107	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
CHOP780201	1	20	A0A0K0LBY9_9SCOR/1-64	1.0
CHOP780202	1	20	A0A0K0LBY9_9SCOR/1-64	0.89
CHOP780203	1	20	A0A0K0LBY9_9SCOR/1-64	1.19
CIDH920105	1	20	A0A0K0LBY9_9SCOR/1-64	-0.41
DAYM780201	1	20	A0A0K0LBY9_9SCOR/1-64	56.0
EISD860102	1	20	A0A0K0LBY9_9SCOR/1-64	1.3
FASG760101	1	20	A0A0K0LBY9_9SCOR/1-64	132.12
FAUJ880111	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
FAUJ880111	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
FAUJ880112	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
GOLD730101	1	20	A0A0K0LBY9_9SCOR/1-64	1.0
GRAR740102	1	20	A0A0K0LBY9_9SCOR/1-64	11.3
JANJ780101	1	20	A0A0K0LBY9_9SCOR/1-64	60.1
JANJ780102	1	20	A0A0K0LBY9_9SCOR/1-64	22.0
JANJ780103	1	20	A0A0K0LBY9_9SCOR/1-64	49.0
JOND750101	1	20	A0A0K0LBY9_9SCOR/1-64	1.52
JOND920102	1	20	A0A0K0LBY9_9SCOR/1-64	72.0
KLEP840101	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
KRIW790101	1	20	A0A0K0LBY9_9SCOR/1-64	6.24
KRIW790102	1	20	A0A0K0LBY9_9SCOR/1-64	0.31
KYTJ820101	1	20	A0A0K0LBY9_9SCOR/1-64	-3.5
MITS020101	1	20	A0A0K0LBY9_9SCOR/1-64	0.0
PONP930101	1	20	A0A0K0LBY9_9SCOR/1-64	-0.48
RACS820114	1	20	A0A0K0LBY9_9SCOR/1-64	14.07
RADA880108	1	20	A0A0K0LBY9_9SCOR/1-64	-0.48
TAKK010101	1	20	A0A0K0LBY9_9SCOR/1-64	10.5
TAKK010101	1	20	A0A0K0LBY9_9SCOR/1-64	10.5
VINM940101	1	20	A0A0K0LBY9_9SCOR/1-64	1.05
WARP780101	1	20	A0A0K0LBY9_9SCOR/1-64	5.63
WOLR790101	1	20	A0A0K0LBY9_9SCOR/1-64	-0.8
ZIMJ680101	1	20	A0A0K0LBY9_9SCOR/1-64	1.48
Sequence_size	1	20	R4H555_MESEU/1-64	7.0
BHAR880101	1	20	R4H555_MESEU/1-64	0.46
CASG920101	1	20	R4H555_MESEU/1-64	-0.5
CHAM830107	1	20	R4H555_MESEU/1-64	0.0
CHOP780201	1	20	R4H555_MESEU/1-64	0.98
CHOP780202	1	20	R4H555_MESEU/1-64	0.89
CHOP780203	1	20	R4H555_MESEU/1-64	1.19
CIDH920105	1	20	R4H555_MESEU/1-64	-0.41
DAYM780201	1	20	R4H555_MESEU/1-64	56.0
EISD860102	1	20	R4H555_MESEU/1-64	1.3
FASG760101	1	20	R4H555_MESEU/1-64	132.12
