AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	1	IAAI_AMAHP	7.0
BHAR880101	1	1	IAAI_AMAHP	0.46
Sequence_size	2	1	IAAI_AMAHP	9.0
BHAR880101	2	1	IAAI_AMAHP	0.51
Sequence_size	3	1	IAAI_AMAHP	1.0
BHAR880101	3	1	IAAI_AMAHP	0.35
Sequence_size	4	1	IAAI_AMAHP	5.0
BHAR880101	4	1	IAAI_AMAHP	0.44
Sequence_size	5	1	IAAI_AMAHP	9.0
BHAR880101	5	1	IAAI_AMAHP	0.44
Sequence_size	1	2	B7GEM1_PHATC/1-169	7.0
BHAR880101	1	2	B7GEM1_PHATC/1-169	0.5
Sequence_size	1	2	B7GCC9_PHATC/1-162	7.0
BHAR880101	1	2	B7GCC9_PHATC/1-162	0.5
Sequence_size	2	2	B7GEM1_PHATC/1-169	8.0
BHAR880101	2	2	B7GEM1_PHATC/1-169	0.44
Sequence_size	2	2	B7GCC9_PHATC/1-162	6.0
BHAR880101	2	2	B7GCC9_PHATC/1-162	0.42
Sequence_size	3	2	B7GEM1_PHATC/1-169	1.0
BHAR880101	3	2	B7GEM1_PHATC/1-169	0.35
Sequence_size	3	2	B7GCC9_PHATC/1-162	1.0
BHAR880101	3	2	B7GCC9_PHATC/1-162	0.35
Sequence_size	4	2	B7GEM1_PHATC/1-169	5.0
BHAR880101	4	2	B7GEM1_PHATC/1-169	0.36
Sequence_size	4	2	B7GCC9_PHATC/1-162	5.0
BHAR880101	4	2	B7GCC9_PHATC/1-162	0.51
Sequence_size	5	2	B7GEM1_PHATC/1-169	38.0
BHAR880101	5	2	B7GEM1_PHATC/1-169	0.47
Sequence_size	5	2	B7GCC9_PHATC/1-162	17.0
BHAR880101	5	2	B7GCC9_PHATC/1-162	0.51
Sequence_size	1	3	A0A1N6YRQ9_9FLAO/1-50	6.0
BHAR880101	1	3	A0A1N6YRQ9_9FLAO/1-50	0.46
Sequence_size	1	3	D7W803_9FLAO/1-49	6.0
BHAR880101	1	3	D7W803_9FLAO/1-49	0.48
Sequence_size	1	3	B5YI56_THEYD/1-80	7.0
BHAR880101	1	3	B5YI56_THEYD/1-80	0.44
Sequence_size	1	3	D6TQA4_9CHLR/1-78	7.0
BHAR880101	1	3	D6TQA4_9CHLR/1-78	0.47
Sequence_size	1	3	D6TQA3_9CHLR/1-77	6.0
BHAR880101	1	3	D6TQA3_9CHLR/1-77	0.44
Sequence_size	1	3	C6E8L6_GEOSM/1-78	7.0
BHAR880101	1	3	C6E8L6_GEOSM/1-78	0.5
Sequence_size	1	3	B5EFE3_GEOBB/1-77	7.0
BHAR880101	1	3	B5EFE3_GEOBB/1-77	0.47
Sequence_size	1	3	E8WJ75_GEOS8/1-100	7.0
BHAR880101	1	3	E8WJ75_GEOS8/1-100	0.5
Sequence_size	1	3	A6G0L6_9DELT/1-152	6.0
BHAR880101	1	3	A6G0L6_9DELT/1-152	0.51
Sequence_size	1	3	E4RW62_LEAB4/1-62	7.0
BHAR880101	1	3	E4RW62_LEAB4/1-62	0.46
Sequence_size	1	3	D7W804_9FLAO/1-53	6.0
BHAR880101	1	3	D7W804_9FLAO/1-53	0.51
Sequence_size	1	3	D7VU77_9FLAO/1-50	6.0
BHAR880101	1	3	D7VU77_9FLAO/1-50	0.46
Sequence_size	1	3	D7W802_9FLAO/1-48	6.0
BHAR880101	1	3	D7W802_9FLAO/1-48	0.43
Sequence_size	2	3	A0A1N6YRQ9_9FLAO/1-50	5.0
BHAR880101	2	3	A0A1N6YRQ9_9FLAO/1-50	0.36
Sequence_size	2	3	D7W803_9FLAO/1-49	5.0
BHAR880101	2	3	D7W803_9FLAO/1-49	0.42
Sequence_size	2	3	B5YI56_THEYD/1-80	6.0
BHAR880101	2	3	B5YI56_THEYD/1-80	0.5
Sequence_size	2	3	D6TQA4_9CHLR/1-78	6.0
BHAR880101	2	3	D6TQA4_9CHLR/1-78	0.45
Sequence_size	2	3	D6TQA3_9CHLR/1-77	6.0
BHAR880101	2	3	D6TQA3_9CHLR/1-77	0.46
Sequence_size	2	3	C6E8L6_GEOSM/1-78	7.0
BHAR880101	2	3	C6E8L6_GEOSM/1-78	0.46
Sequence_size	2	3	B5EFE3_GEOBB/1-77	7.0
BHAR880101	2	3	B5EFE3_GEOBB/1-77	0.46
Sequence_size	2	3	E8WJ75_GEOS8/1-100	7.0
BHAR880101	2	3	E8WJ75_GEOS8/1-100	0.46
Sequence_size	2	3	A6G0L6_9DELT/1-152	5.0
BHAR880101	2	3	A6G0L6_9DELT/1-152	0.39
Sequence_size	2	3	E4RW62_LEAB4/1-62	8.0
BHAR880101	2	3	E4RW62_LEAB4/1-62	0.45
Sequence_size	2	3	D7W804_9FLAO/1-53	5.0
BHAR880101	2	3	D7W804_9FLAO/1-53	0.46
Sequence_size	2	3	D7VU77_9FLAO/1-50	5.0
BHAR880101	2	3	D7VU77_9FLAO/1-50	0.46
Sequence_size	2	3	D7W802_9FLAO/1-48	5.0
BHAR880101	2	3	D7W802_9FLAO/1-48	0.51
Sequence_size	3	3	A0A1N6YRQ9_9FLAO/1-50	1.0
BHAR880101	3	3	A0A1N6YRQ9_9FLAO/1-50	0.35
Sequence_size	3	3	D7W803_9FLAO/1-49	1.0
BHAR880101	3	3	D7W803_9FLAO/1-49	0.35
Sequence_size	3	3	B5YI56_THEYD/1-80	1.0
BHAR880101	3	3	B5YI56_THEYD/1-80	0.35
Sequence_size	3	3	D6TQA4_9CHLR/1-78	1.0
BHAR880101	3	3	D6TQA4_9CHLR/1-78	0.35
Sequence_size	3	3	D6TQA3_9CHLR/1-77	1.0
BHAR880101	3	3	D6TQA3_9CHLR/1-77	0.35
Sequence_size	3	3	C6E8L6_GEOSM/1-78	1.0
BHAR880101	3	3	C6E8L6_GEOSM/1-78	0.35
Sequence_size	3	3	B5EFE3_GEOBB/1-77	1.0
BHAR880101	3	3	B5EFE3_GEOBB/1-77	0.35
Sequence_size	3	3	E8WJ75_GEOS8/1-100	1.0
BHAR880101	3	3	E8WJ75_GEOS8/1-100	0.35
Sequence_size	3	3	A6G0L6_9DELT/1-152	1.0
BHAR880101	3	3	A6G0L6_9DELT/1-152	0.35
Sequence_size	3	3	E4RW62_LEAB4/1-62	1.0
BHAR880101	3	3	E4RW62_LEAB4/1-62	0.35
Sequence_size	3	3	D7W804_9FLAO/1-53	1.0
BHAR880101	3	3	D7W804_9FLAO/1-53	0.35
Sequence_size	3	3	D7VU77_9FLAO/1-50	1.0
BHAR880101	3	3	D7VU77_9FLAO/1-50	0.35
Sequence_size	3	3	D7W802_9FLAO/1-48	1.0
BHAR880101	3	3	D7W802_9FLAO/1-48	0.35
Sequence_size	4	3	A0A1N6YRQ9_9FLAO/1-50	6.0
BHAR880101	4	3	A0A1N6YRQ9_9FLAO/1-50	0.45
Sequence_size	4	3	D7W803_9FLAO/1-49	4.0
BHAR880101	4	3	D7W803_9FLAO/1-49	0.48
Sequence_size	4	3	B5YI56_THEYD/1-80	4.0
BHAR880101	4	3	B5YI56_THEYD/1-80	0.52
Sequence_size	4	3	D6TQA4_9CHLR/1-78	4.0
BHAR880101	4	3	D6TQA4_9CHLR/1-78	0.49
Sequence_size	4	3	D6TQA3_9CHLR/1-77	4.0
BHAR880101	4	3	D6TQA3_9CHLR/1-77	0.43
Sequence_size	4	3	C6E8L6_GEOSM/1-78	5.0
BHAR880101	4	3	C6E8L6_GEOSM/1-78	0.51
Sequence_size	4	3	B5EFE3_GEOBB/1-77	5.0
BHAR880101	4	3	B5EFE3_GEOBB/1-77	0.51
Sequence_size	4	3	E8WJ75_GEOS8/1-100	5.0
BHAR880101	4	3	E8WJ75_GEOS8/1-100	0.51
Sequence_size	4	3	A6G0L6_9DELT/1-152	5.0
BHAR880101	4	3	A6G0L6_9DELT/1-152	0.36
Sequence_size	4	3	E4RW62_LEAB4/1-62	5.0
BHAR880101	4	3	E4RW62_LEAB4/1-62	0.49
Sequence_size	4	3	D7W804_9FLAO/1-53	5.0
BHAR880101	4	3	D7W804_9FLAO/1-53	0.39
Sequence_size	4	3	D7VU77_9FLAO/1-50	6.0
BHAR880101	4	3	D7VU77_9FLAO/1-50	0.45
Sequence_size	4	3	D7W802_9FLAO/1-48	4.0
BHAR880101	4	3	D7W802_9FLAO/1-48	0.4
Sequence_size	5	3	A0A1N6YRQ9_9FLAO/1-50	9.0
BHAR880101	5	3	A0A1N6YRQ9_9FLAO/1-50	0.47
Sequence_size	5	3	D7W803_9FLAO/1-49	6.0
BHAR880101	5	3	D7W803_9FLAO/1-49	0.36
Sequence_size	5	3	B5YI56_THEYD/1-80	6.0
BHAR880101	5	3	B5YI56_THEYD/1-80	0.42
Sequence_size	5	3	D6TQA4_9CHLR/1-78	12.0
BHAR880101	5	3	D6TQA4_9CHLR/1-78	0.39
Sequence_size	5	3	D6TQA3_9CHLR/1-77	12.0
BHAR880101	5	3	D6TQA3_9CHLR/1-77	0.44
Sequence_size	5	3	C6E8L6_GEOSM/1-78	9.0
BHAR880101	5	3	C6E8L6_GEOSM/1-78	0.46
Sequence_size	5	3	B5EFE3_GEOBB/1-77	9.0
BHAR880101	5	3	B5EFE3_GEOBB/1-77	0.46
Sequence_size	5	3	E8WJ75_GEOS8/1-100	9.0
BHAR880101	5	3	E8WJ75_GEOS8/1-100	0.47
Sequence_size	5	3	A6G0L6_9DELT/1-152	10.0
BHAR880101	5	3	A6G0L6_9DELT/1-152	0.45
Sequence_size	5	3	E4RW62_LEAB4/1-62	6.0
BHAR880101	5	3	E4RW62_LEAB4/1-62	0.43
Sequence_size	5	3	D7W804_9FLAO/1-53	9.0
BHAR880101	5	3	D7W804_9FLAO/1-53	0.44
Sequence_size	5	3	D7VU77_9FLAO/1-50	9.0
