AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	1	IAAI_AMAHP	7.0
BHAR880101	1	1	IAAI_AMAHP	0.46
CASG920101	1	1	IAAI_AMAHP	-0.5
CHAM830107	1	1	IAAI_AMAHP	0.0
CHOP780201	1	1	IAAI_AMAHP	0.98
CHOP780202	1	1	IAAI_AMAHP	0.93
CHOP780203	1	1	IAAI_AMAHP	1.01
CIDH920105	1	1	IAAI_AMAHP	-0.09
DAYM780201	1	1	IAAI_AMAHP	56.0
EISD860102	1	1	IAAI_AMAHP	1.3
FASG760101	1	1	IAAI_AMAHP	132.12
FAUJ880111	1	1	IAAI_AMAHP	0.0
FAUJ880111	1	1	IAAI_AMAHP	0.0
FAUJ880112	1	1	IAAI_AMAHP	0.0
GOLD730101	1	1	IAAI_AMAHP	1.5
GRAR740102	1	1	IAAI_AMAHP	8.0
JANJ780101	1	1	IAAI_AMAHP	51.5
JANJ780102	1	1	IAAI_AMAHP	25.0
JANJ780103	1	1	IAAI_AMAHP	45.0
JOND750101	1	1	IAAI_AMAHP	1.64
JOND920102	1	1	IAAI_AMAHP	72.0
KLEP840101	1	1	IAAI_AMAHP	0.0
KRIW790101	1	1	IAAI_AMAHP	6.24
KRIW790102	1	1	IAAI_AMAHP	0.31
KYTJ820101	1	1	IAAI_AMAHP	-1.6
MITS020101	1	1	IAAI_AMAHP	0.0
PONP930101	1	1	IAAI_AMAHP	0.2
RACS820114	1	1	IAAI_AMAHP	19.78
RADA880108	1	1	IAAI_AMAHP	0.0
TAKK010101	1	1	IAAI_AMAHP	10.5
TAKK010101	1	1	IAAI_AMAHP	10.5
VINM940101	1	1	IAAI_AMAHP	1.01
WARP780101	1	1	IAAI_AMAHP	7.79
WOLR790101	1	1	IAAI_AMAHP	-0.19
ZIMJ680101	1	1	IAAI_AMAHP	1.48
Sequence_size	2	1	IAAI_AMAHP	9.0
BHAR880101	2	1	IAAI_AMAHP	0.51
CASG920101	2	1	IAAI_AMAHP	-0.1
CHAM830107	2	1	IAAI_AMAHP	0.0
CHOP780201	2	1	IAAI_AMAHP	0.7
CHOP780202	2	1	IAAI_AMAHP	0.75
CHOP780203	2	1	IAAI_AMAHP	1.52
CIDH920105	2	1	IAAI_AMAHP	-0.09
DAYM780201	2	1	IAAI_AMAHP	56.0
EISD860102	2	1	IAAI_AMAHP	0.18
FASG760101	2	1	IAAI_AMAHP	117.15
FAUJ880111	2	1	IAAI_AMAHP	0.0
FAUJ880111	2	1	IAAI_AMAHP	0.0
FAUJ880112	2	1	IAAI_AMAHP	0.0
GOLD730101	2	1	IAAI_AMAHP	1.3
GRAR740102	2	1	IAAI_AMAHP	8.0
JANJ780101	2	1	IAAI_AMAHP	33.5
JANJ780102	2	1	IAAI_AMAHP	52.0
JANJ780103	2	1	IAAI_AMAHP	20.0
JOND750101	2	1	IAAI_AMAHP	1.64
JOND920102	2	1	IAAI_AMAHP	58.0
KLEP840101	2	1	IAAI_AMAHP	0.0
KRIW790101	2	1	IAAI_AMAHP	6.09
KRIW790102	2	1	IAAI_AMAHP	0.28
KYTJ820101	2	1	IAAI_AMAHP	-0.4
MITS020101	2	1	IAAI_AMAHP	0.0
PONP930101	2	1	IAAI_AMAHP	0.0
RACS820114	2	1	IAAI_AMAHP	30.57
RADA880108	2	1	IAAI_AMAHP	0.0
TAKK010101	2	1	IAAI_AMAHP	10.5
TAKK010101	2	1	IAAI_AMAHP	10.5
VINM940101	2	1	IAAI_AMAHP	1.03
WARP780101	2	1	IAAI_AMAHP	7.99
WOLR790101	2	1	IAAI_AMAHP	0.55
ZIMJ680101	2	1	IAAI_AMAHP	1.48
Sequence_size	3	1	IAAI_AMAHP	1.0
BHAR880101	3	1	IAAI_AMAHP	0.35
CASG920101	3	1	IAAI_AMAHP	1.9
CHAM830107	3	1	IAAI_AMAHP	0.0
CHOP780201	3	1	IAAI_AMAHP	0.7
CHOP780202	3	1	IAAI_AMAHP	1.19
CHOP780203	3	1	IAAI_AMAHP	0.96
CIDH920105	3	1	IAAI_AMAHP	0.77
DAYM780201	3	1	IAAI_AMAHP	20.0
EISD860102	3	1	IAAI_AMAHP	0.17
FASG760101	3	1	IAAI_AMAHP	121.15
FAUJ880111	3	1	IAAI_AMAHP	0.0
FAUJ880111	3	1	IAAI_AMAHP	0.0
FAUJ880112	3	1	IAAI_AMAHP	0.0
GOLD730101	3	1	IAAI_AMAHP	1.0
GRAR740102	3	1	IAAI_AMAHP	5.5
JANJ780101	3	1	IAAI_AMAHP	15.5
JANJ780102	3	1	IAAI_AMAHP	74.0
JANJ780103	3	1	IAAI_AMAHP	5.0
JOND750101	3	1	IAAI_AMAHP	1.52
JOND920102	3	1	IAAI_AMAHP	44.0
KLEP840101	3	1	IAAI_AMAHP	0.0
KRIW790101	3	1	IAAI_AMAHP	1.73
KRIW790102	3	1	IAAI_AMAHP	0.11
KYTJ820101	3	1	IAAI_AMAHP	2.5
MITS020101	3	1	IAAI_AMAHP	0.0
PONP930101	3	1	IAAI_AMAHP	2.1
RACS820114	3	1	IAAI_AMAHP	30.57
RADA880108	3	1	IAAI_AMAHP	1.36
TAKK010101	3	1	IAAI_AMAHP	3.0
TAKK010101	3	1	IAAI_AMAHP	3.0
VINM940101	3	1	IAAI_AMAHP	0.91
WARP780101	3	1	IAAI_AMAHP	8.89
WOLR790101	3	1	IAAI_AMAHP	0.59
ZIMJ680101	3	1	IAAI_AMAHP	1.48
Sequence_size	4	1	IAAI_AMAHP	5.0
BHAR880101	4	1	IAAI_AMAHP	0.44
CASG920101	4	1	IAAI_AMAHP	-0.4
CHAM830107	4	1	IAAI_AMAHP	0.0
CHOP780201	4	1	IAAI_AMAHP	0.7
CHOP780202	4	1	IAAI_AMAHP	1.19
CHOP780203	4	1	IAAI_AMAHP	0.98
CIDH920105	4	1	IAAI_AMAHP	-0.09
DAYM780201	4	1	IAAI_AMAHP	56.0
EISD860102	4	1	IAAI_AMAHP	1.5
FASG760101	4	1	IAAI_AMAHP	121.15
FAUJ880111	4	1	IAAI_AMAHP	0.0
FAUJ880111	4	1	IAAI_AMAHP	0.0
FAUJ880112	4	1	IAAI_AMAHP	0.0
GOLD730101	4	1	IAAI_AMAHP	1.0
GRAR740102	4	1	IAAI_AMAHP	8.0
JANJ780101	4	1	IAAI_AMAHP	51.5
JANJ780102	4	1	IAAI_AMAHP	25.0
JANJ780103	4	1	IAAI_AMAHP	41.0
JOND750101	4	1	IAAI_AMAHP	1.52
JOND920102	4	1	IAAI_AMAHP	58.0
KLEP840101	4	1	IAAI_AMAHP	0.0
KRIW790101	4	1	IAAI_AMAHP	5.16
KRIW790102	4	1	IAAI_AMAHP	0.26
KYTJ820101	4	1	IAAI_AMAHP	-1.3
MITS020101	4	1	IAAI_AMAHP	0.0
PONP930101	4	1	IAAI_AMAHP	-0.08
RACS820114	4	1	IAAI_AMAHP	26.36
RADA880108	4	1	IAAI_AMAHP	0.0
TAKK010101	4	1	IAAI_AMAHP	6.9
TAKK010101	4	1	IAAI_AMAHP	6.9
VINM940101	4	1	IAAI_AMAHP	1.0
WARP780101	4	1	IAAI_AMAHP	7.0
WOLR790101	4	1	IAAI_AMAHP	-0.02
ZIMJ680101	4	1	IAAI_AMAHP	1.48
Sequence_size	5	1	IAAI_AMAHP	9.0
BHAR880101	5	1	IAAI_AMAHP	0.44
CASG920101	5	1	IAAI_AMAHP	-0.1
CHAM830107	5	1	IAAI_AMAHP	0.0
CHOP780201	5	1	IAAI_AMAHP	0.7
CHOP780202	5	1	IAAI_AMAHP	1.19
CHOP780203	5	1	IAAI_AMAHP	1.14
CIDH920105	5	1	IAAI_AMAHP	-0.77
DAYM780201	5	1	IAAI_AMAHP	49.0
EISD860102	5	1	IAAI_AMAHP	1.3
FASG760101	5	1	IAAI_AMAHP	121.15
FAUJ880111	5	1	IAAI_AMAHP	0.0
FAUJ880111	5	1	IAAI_AMAHP	0.0
FAUJ880112	5	1	IAAI_AMAHP	0.0
GOLD730101	5	1	IAAI_AMAHP	0.69
GRAR740102	5	1	IAAI_AMAHP	8.6
JANJ780101	5	1	IAAI_AMAHP	45.0
JANJ780102	5	1	IAAI_AMAHP	30.0
JANJ780103	5	1	IAAI_AMAHP	32.0
JOND750101	5	1	IAAI_AMAHP	0.66
JOND920102	5	1	IAAI_AMAHP	50.0
KLEP840101	5	1	IAAI_AMAHP	0.0
KRIW790101	5	1	IAAI_AMAHP	5.16
KRIW790102	5	1	IAAI_AMAHP	0.26
KYTJ820101	5	1	IAAI_AMAHP	-0.8
MITS020101	5	1	IAAI_AMAHP	0.0
PONP930101	5	1	IAAI_AMAHP	0.0
RACS820114	5	1	IAAI_AMAHP	26.36
RADA880108	5	1	IAAI_AMAHP	-0.27
TAKK010101	5	1	IAAI_AMAHP	3.6
TAKK010101	5	1	IAAI_AMAHP	3.6
VINM940101	5	1	IAAI_AMAHP	1.0
WARP780101	5	1	IAAI_AMAHP	7.0
WOLR790101	5	1	IAAI_AMAHP	-0.05
ZIMJ680101	5	1	IAAI_AMAHP	0.64
