AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	22	ASTAE_ASTSM	7.0
BHAR880101	1	22	ASTAE_ASTSM	0.36
CASG920101	1	22	ASTAE_ASTSM	0.5
CHAM830107	1	22	ASTAE_ASTSM	0.0
CHOP780201	1	22	ASTAE_ASTSM	1.01
CHOP780202	1	22	ASTAE_ASTSM	1.19
CHOP780203	1	22	ASTAE_ASTSM	0.96
CIDH920105	1	22	ASTAE_ASTSM	0.77
DAYM780201	1	22	ASTAE_ASTSM	41.0
EISD860102	1	22	ASTAE_ASTSM	1.0
FASG760101	1	22	ASTAE_ASTSM	131.17
FAUJ880111	1	22	ASTAE_ASTSM	0.0
FAUJ880111	1	22	ASTAE_ASTSM	0.0
FAUJ880112	1	22	ASTAE_ASTSM	0.0
GOLD730101	1	22	ASTAE_ASTSM	1.0
GRAR740102	1	22	ASTAE_ASTSM	5.5
JANJ780101	1	22	ASTAE_ASTSM	25.5
JANJ780102	1	22	ASTAE_ASTSM	58.0
JANJ780103	1	22	ASTAE_ASTSM	10.0
JOND750101	1	22	ASTAE_ASTSM	1.52
JOND920102	1	22	ASTAE_ASTSM	51.0
KLEP840101	1	22	ASTAE_ASTSM	0.0
KRIW790101	1	22	ASTAE_ASTSM	3.93
KRIW790102	1	22	ASTAE_ASTSM	0.16
KYTJ820101	1	22	ASTAE_ASTSM	2.5
MITS020101	1	22	ASTAE_ASTSM	0.0
PONP930101	1	22	ASTAE_ASTSM	1.69
RACS820114	1	22	ASTAE_ASTSM	19.78
RADA880108	1	22	ASTAE_ASTSM	1.21
TAKK010101	1	22	ASTAE_ASTSM	4.9
TAKK010101	1	22	ASTAE_ASTSM	4.9
VINM940101	1	22	ASTAE_ASTSM	0.94
WARP780101	1	22	ASTAE_ASTSM	7.99
WOLR790101	1	22	ASTAE_ASTSM	1.18
ZIMJ680101	1	22	ASTAE_ASTSM	1.48
Sequence_size	2	22	ASTAE_ASTSM	8.0
BHAR880101	2	22	ASTAE_ASTSM	0.4
CASG920101	2	22	ASTAE_ASTSM	0.05
CHAM830107	2	22	ASTAE_ASTSM	0.0
CHOP780201	2	22	ASTAE_ASTSM	0.92
CHOP780202	2	22	ASTAE_ASTSM	1.19
CHOP780203	2	22	ASTAE_ASTSM	0.97
CIDH920105	2	22	ASTAE_ASTSM	-0.38
DAYM780201	2	22	ASTAE_ASTSM	73.0
EISD860102	2	22	ASTAE_ASTSM	1.0
FASG760101	2	22	ASTAE_ASTSM	120.14
FAUJ880111	2	22	ASTAE_ASTSM	0.0
FAUJ880111	2	22	ASTAE_ASTSM	0.0
FAUJ880112	2	22	ASTAE_ASTSM	0.0
GOLD730101	2	22	ASTAE_ASTSM	0.6
GRAR740102	2	22	ASTAE_ASTSM	8.35
JANJ780101	2	22	ASTAE_ASTSM	27.7
JANJ780102	2	22	ASTAE_ASTSM	51.5
JANJ780103	2	22	ASTAE_ASTSM	16.0
JOND750101	2	22	ASTAE_ASTSM	0.77
JOND920102	2	22	ASTAE_ASTSM	70.0
KLEP840101	2	22	ASTAE_ASTSM	0.0
KRIW790101	2	22	ASTAE_ASTSM	4.74
KRIW790102	2	22	ASTAE_ASTSM	0.26
KYTJ820101	2	22	ASTAE_ASTSM	0.7
MITS020101	2	22	ASTAE_ASTSM	0.0
PONP930101	2	22	ASTAE_ASTSM	0.42
RACS820114	2	22	ASTAE_ASTSM	20.44
RADA880108	2	22	ASTAE_ASTSM	-0.17
TAKK010101	2	22	ASTAE_ASTSM	6.9
TAKK010101	2	22	ASTAE_ASTSM	6.9
VINM940101	2	22	ASTAE_ASTSM	0.99
WARP780101	2	22	ASTAE_ASTSM	8.39
WOLR790101	2	22	ASTAE_ASTSM	0.85
ZIMJ680101	2	22	ASTAE_ASTSM	0.73
Sequence_size	3	22	ASTAE_ASTSM	1.0
BHAR880101	3	22	ASTAE_ASTSM	0.35
CASG920101	3	22	ASTAE_ASTSM	1.9
CHAM830107	3	22	ASTAE_ASTSM	0.0
CHOP780201	3	22	ASTAE_ASTSM	0.7
CHOP780202	3	22	ASTAE_ASTSM	1.19
CHOP780203	3	22	ASTAE_ASTSM	0.96
CIDH920105	3	22	ASTAE_ASTSM	0.77
DAYM780201	3	22	ASTAE_ASTSM	20.0
EISD860102	3	22	ASTAE_ASTSM	0.17
FASG760101	3	22	ASTAE_ASTSM	121.15
FAUJ880111	3	22	ASTAE_ASTSM	0.0
FAUJ880111	3	22	ASTAE_ASTSM	0.0
FAUJ880112	3	22	ASTAE_ASTSM	0.0
GOLD730101	3	22	ASTAE_ASTSM	1.0
GRAR740102	3	22	ASTAE_ASTSM	5.5
JANJ780101	3	22	ASTAE_ASTSM	15.5
JANJ780102	3	22	ASTAE_ASTSM	74.0
JANJ780103	3	22	ASTAE_ASTSM	5.0
JOND750101	3	22	ASTAE_ASTSM	1.52
JOND920102	3	22	ASTAE_ASTSM	44.0
KLEP840101	3	22	ASTAE_ASTSM	0.0
KRIW790101	3	22	ASTAE_ASTSM	1.73
KRIW790102	3	22	ASTAE_ASTSM	0.11
KYTJ820101	3	22	ASTAE_ASTSM	2.5
MITS020101	3	22	ASTAE_ASTSM	0.0
PONP930101	3	22	ASTAE_ASTSM	2.1
RACS820114	3	22	ASTAE_ASTSM	30.57
RADA880108	3	22	ASTAE_ASTSM	1.36
TAKK010101	3	22	ASTAE_ASTSM	3.0
TAKK010101	3	22	ASTAE_ASTSM	3.0
VINM940101	3	22	ASTAE_ASTSM	0.91
