AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	29	S5N9H8_NPVCF/1-53	7.0
BHAR880101	1	29	S5N9H8_NPVCF/1-53	0.44
CASG920101	1	29	S5N9H8_NPVCF/1-53	-0.1
CHAM830107	1	29	S5N9H8_NPVCF/1-53	0.0
CHOP780201	1	29	S5N9H8_NPVCF/1-53	0.83
CHOP780202	1	29	S5N9H8_NPVCF/1-53	0.83
CHOP780203	1	29	S5N9H8_NPVCF/1-53	0.96
CIDH920105	1	29	S5N9H8_NPVCF/1-53	-0.77
DAYM780201	1	29	S5N9H8_NPVCF/1-53	97.0
EISD860102	1	29	S5N9H8_NPVCF/1-53	0.48
FASG760101	1	29	S5N9H8_NPVCF/1-53	117.15
FAUJ880111	1	29	S5N9H8_NPVCF/1-53	0.0
FAUJ880111	1	29	S5N9H8_NPVCF/1-53	0.0
FAUJ880112	1	29	S5N9H8_NPVCF/1-53	0.0
GOLD730101	1	29	S5N9H8_NPVCF/1-53	0.45
GRAR740102	1	29	S5N9H8_NPVCF/1-53	8.6
JANJ780101	1	29	S5N9H8_NPVCF/1-53	27.8
JANJ780102	1	29	S5N9H8_NPVCF/1-53	51.0
JANJ780103	1	29	S5N9H8_NPVCF/1-53	15.0
JOND750101	1	29	S5N9H8_NPVCF/1-53	0.67
JOND920102	1	29	S5N9H8_NPVCF/1-53	98.0
KLEP840101	1	29	S5N9H8_NPVCF/1-53	0.0
KRIW790101	1	29	S5N9H8_NPVCF/1-53	5.16
KRIW790102	1	29	S5N9H8_NPVCF/1-53	0.27
KYTJ820101	1	29	S5N9H8_NPVCF/1-53	-0.4
MITS020101	1	29	S5N9H8_NPVCF/1-53	0.0
PONP930101	1	29	S5N9H8_NPVCF/1-53	0.0
RACS820114	1	29	S5N9H8_NPVCF/1-53	21.09
RADA880108	1	29	S5N9H8_NPVCF/1-53	-0.27
TAKK010101	1	29	S5N9H8_NPVCF/1-53	4.4
TAKK010101	1	29	S5N9H8_NPVCF/1-53	4.4
VINM940101	1	29	S5N9H8_NPVCF/1-53	1.0
WARP780101	1	29	S5N9H8_NPVCF/1-53	7.99
WOLR790101	1	29	S5N9H8_NPVCF/1-53	0.59
ZIMJ680101	1	29	S5N9H8_NPVCF/1-53	0.65
Sequence_size	1	29	S5N3Y0_9ABAC/1-53	7.0
BHAR880101	1	29	S5N3Y0_9ABAC/1-53	0.39
CASG920101	1	29	S5N3Y0_9ABAC/1-53	0.2
CHAM830107	1	29	S5N3Y0_9ABAC/1-53	0.0
CHOP780201	1	29	S5N3Y0_9ABAC/1-53	1.06
CHOP780202	1	29	S5N3Y0_9ABAC/1-53	0.83
CHOP780203	1	29	S5N3Y0_9ABAC/1-53	0.95
CIDH920105	1	29	S5N3Y0_9ABAC/1-53	0.02
DAYM780201	1	29	S5N3Y0_9ABAC/1-53	97.0
EISD860102	1	29	S5N3Y0_9ABAC/1-53	0.17
FASG760101	1	29	S5N3Y0_9ABAC/1-53	117.15
FAUJ880111	1	29	S5N3Y0_9ABAC/1-53	0.0
FAUJ880111	1	29	S5N3Y0_9ABAC/1-53	0.0
FAUJ880112	1	29	S5N3Y0_9ABAC/1-53	0.0
GOLD730101	1	29	S5N3Y0_9ABAC/1-53	0.75
GRAR740102	1	29	S5N3Y0_9ABAC/1-53	8.1
JANJ780101	1	29	S5N3Y0_9ABAC/1-53	27.8
JANJ780102	1	29	S5N3Y0_9ABAC/1-53	51.0
JANJ780103	1	29	S5N3Y0_9ABAC/1-53	15.0
JOND750101	1	29	S5N3Y0_9ABAC/1-53	0.87
JOND920102	1	29	S5N3Y0_9ABAC/1-53	98.0
KLEP840101	1	29	S5N3Y0_9ABAC/1-53	0.0
KRIW790101	1	29	S5N3Y0_9ABAC/1-53	4.32
KRIW790102	1	29	S5N3Y0_9ABAC/1-53	0.28
KYTJ820101	1	29	S5N3Y0_9ABAC/1-53	1.8
MITS020101	1	29	S5N3Y0_9ABAC/1-53	0.0
PONP930101	1	29	S5N3Y0_9ABAC/1-53	0.85
RACS820114	1	29	S5N3Y0_9ABAC/1-53	21.09
RADA880108	1	29	S5N3Y0_9ABAC/1-53	-0.06
TAKK010101	1	29	S5N3Y0_9ABAC/1-53	6.9
TAKK010101	1	29	S5N3Y0_9ABAC/1-53	6.9
VINM940101	1	29	S5N3Y0_9ABAC/1-53	0.98
WARP780101	1	29	S5N3Y0_9ABAC/1-53	8.88
WOLR790101	1	29	S5N3Y0_9ABAC/1-53	1.12
ZIMJ680101	1	29	S5N3Y0_9ABAC/1-53	0.83
Sequence_size	1	29	V9XTF3_9ABAC/1-53	7.0
BHAR880101	1	29	V9XTF3_9ABAC/1-53	0.44
CASG920101	1	29	V9XTF3_9ABAC/1-53	-0.1
CHAM830107	1	29	V9XTF3_9ABAC/1-53	0.0
CHOP780201	1	29	V9XTF3_9ABAC/1-53	0.83
CHOP780202	1	29	V9XTF3_9ABAC/1-53	0.83
CHOP780203	1	29	V9XTF3_9ABAC/1-53	0.96
CIDH920105	1	29	V9XTF3_9ABAC/1-53	-0.77
DAYM780201	1	29	V9XTF3_9ABAC/1-53	97.0
EISD860102	1	29	V9XTF3_9ABAC/1-53	0.48
FASG760101	1	29	V9XTF3_9ABAC/1-53	117.15
FAUJ880111	1	29	V9XTF3_9ABAC/1-53	0.0
FAUJ880111	1	29	V9XTF3_9ABAC/1-53	0.0
FAUJ880112	1	29	V9XTF3_9ABAC/1-53	0.0
GOLD730101	1	29	V9XTF3_9ABAC/1-53	0.45
GRAR740102	1	29	V9XTF3_9ABAC/1-53	8.6
JANJ780101	1	29	V9XTF3_9ABAC/1-53	27.8
JANJ780102	1	29	V9XTF3_9ABAC/1-53	51.0
JANJ780103	1	29	V9XTF3_9ABAC/1-53	15.0
JOND750101	1	29	V9XTF3_9ABAC/1-53	0.67
JOND920102	1	29	V9XTF3_9ABAC/1-53	98.0
KLEP840101	1	29	V9XTF3_9ABAC/1-53	0.0
KRIW790101	1	29	V9XTF3_9ABAC/1-53	5.16
KRIW790102	1	29	V9XTF3_9ABAC/1-53	0.27
KYTJ820101	1	29	V9XTF3_9ABAC/1-53	-0.4
MITS020101	1	29	V9XTF3_9ABAC/1-53	0.0
PONP930101	1	29	V9XTF3_9ABAC/1-53	0.0
RACS820114	1	29	V9XTF3_9ABAC/1-53	21.09
RADA880108	1	29	V9XTF3_9ABAC/1-53	-0.27
TAKK010101	1	29	V9XTF3_9ABAC/1-53	4.4
TAKK010101	1	29	V9XTF3_9ABAC/1-53	4.4
VINM940101	1	29	V9XTF3_9ABAC/1-53	1.0
WARP780101	1	29	V9XTF3_9ABAC/1-53	7.99
WOLR790101	1	29	V9XTF3_9ABAC/1-53	0.59
ZIMJ680101	1	29	V9XTF3_9ABAC/1-53	0.65
Sequence_size	1	29	L0CJK2_9ABAC/1-53	7.0
BHAR880101	1	29	L0CJK2_9ABAC/1-53	0.39
CASG920101	1	29	L0CJK2_9ABAC/1-53	0.2
CHAM830107	1	29	L0CJK2_9ABAC/1-53	0.0
CHOP780201	1	29	L0CJK2_9ABAC/1-53	1.06
CHOP780202	1	29	L0CJK2_9ABAC/1-53	0.83
CHOP780203	1	29	L0CJK2_9ABAC/1-53	0.95
CIDH920105	1	29	L0CJK2_9ABAC/1-53	0.02
DAYM780201	1	29	L0CJK2_9ABAC/1-53	97.0
EISD860102	1	29	L0CJK2_9ABAC/1-53	0.17
FASG760101	1	29	L0CJK2_9ABAC/1-53	117.15
FAUJ880111	1	29	L0CJK2_9ABAC/1-53	0.0
FAUJ880111	1	29	L0CJK2_9ABAC/1-53	0.0
FAUJ880112	1	29	L0CJK2_9ABAC/1-53	0.0
GOLD730101	1	29	L0CJK2_9ABAC/1-53	0.75
GRAR740102	1	29	L0CJK2_9ABAC/1-53	8.1
JANJ780101	1	29	L0CJK2_9ABAC/1-53	27.8
