AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	4	IOB1_ISYOB/1-36	7.0
BHAR880101	1	4	IOB1_ISYOB/1-36	0.51
CASG920101	1	4	IOB1_ISYOB/1-36	-0.7
CHAM830107	1	4	IOB1_ISYOB/1-36	0.0
CHOP780201	1	4	IOB1_ISYOB/1-36	0.77
CHOP780202	1	4	IOB1_ISYOB/1-36	0.75
CHOP780203	1	4	IOB1_ISYOB/1-36	1.19
CIDH920105	1	4	IOB1_ISYOB/1-36	-0.41
DAYM780201	1	4	IOB1_ISYOB/1-36	56.0
EISD860102	1	4	IOB1_ISYOB/1-36	0.73
FASG760101	1	4	IOB1_ISYOB/1-36	121.15
FAUJ880111	1	4	IOB1_ISYOB/1-36	0.0
FAUJ880111	1	4	IOB1_ISYOB/1-36	0.0
FAUJ880112	1	4	IOB1_ISYOB/1-36	0.0
GOLD730101	1	4	IOB1_ISYOB/1-36	1.0
GRAR740102	1	4	IOB1_ISYOB/1-36	9.0
JANJ780101	1	4	IOB1_ISYOB/1-36	42.0
JANJ780102	1	4	IOB1_ISYOB/1-36	35.0
JANJ780103	1	4	IOB1_ISYOB/1-36	32.0
JOND750101	1	4	IOB1_ISYOB/1-36	1.52
JOND920102	1	4	IOB1_ISYOB/1-36	58.0
KLEP840101	1	4	IOB1_ISYOB/1-36	0.0
KRIW790101	1	4	IOB1_ISYOB/1-36	6.09
KRIW790102	1	4	IOB1_ISYOB/1-36	0.28
KYTJ820101	1	4	IOB1_ISYOB/1-36	-0.8
MITS020101	1	4	IOB1_ISYOB/1-36	0.0
PONP930101	1	4	IOB1_ISYOB/1-36	0.0
RACS820114	1	4	IOB1_ISYOB/1-36	18.56
RADA880108	1	4	IOB1_ISYOB/1-36	-0.41
TAKK010101	1	4	IOB1_ISYOB/1-36	7.3
TAKK010101	1	4	IOB1_ISYOB/1-36	7.3
VINM940101	1	4	IOB1_ISYOB/1-36	1.03
WARP780101	1	4	IOB1_ISYOB/1-36	7.79
WOLR790101	1	4	IOB1_ISYOB/1-36	0.54
ZIMJ680101	1	4	IOB1_ISYOB/1-36	1.48
Sequence_size	1	4	ADO1_AGRDO/1-35	7.0
BHAR880101	1	4	ADO1_AGRDO/1-35	0.51
CASG920101	1	4	ADO1_AGRDO/1-35	-0.7
CHAM830107	1	4	ADO1_AGRDO/1-35	0.0
CHOP780201	1	4	ADO1_AGRDO/1-35	0.77
CHOP780202	1	4	ADO1_AGRDO/1-35	0.75
CHOP780203	1	4	ADO1_AGRDO/1-35	1.19
CIDH920105	1	4	ADO1_AGRDO/1-35	-0.41
DAYM780201	1	4	ADO1_AGRDO/1-35	56.0
EISD860102	1	4	ADO1_AGRDO/1-35	0.73
FASG760101	1	4	ADO1_AGRDO/1-35	121.15
FAUJ880111	1	4	ADO1_AGRDO/1-35	0.0
FAUJ880111	1	4	ADO1_AGRDO/1-35	0.0
FAUJ880112	1	4	ADO1_AGRDO/1-35	0.0
GOLD730101	1	4	ADO1_AGRDO/1-35	1.0
GRAR740102	1	4	ADO1_AGRDO/1-35	9.0
JANJ780101	1	4	ADO1_AGRDO/1-35	42.0
JANJ780102	1	4	ADO1_AGRDO/1-35	35.0
JANJ780103	1	4	ADO1_AGRDO/1-35	32.0
JOND750101	1	4	ADO1_AGRDO/1-35	1.52
JOND920102	1	4	ADO1_AGRDO/1-35	58.0
KLEP840101	1	4	ADO1_AGRDO/1-35	0.0
KRIW790101	1	4	ADO1_AGRDO/1-35	6.09
KRIW790102	1	4	ADO1_AGRDO/1-35	0.28
KYTJ820101	1	4	ADO1_AGRDO/1-35	-0.8
MITS020101	1	4	ADO1_AGRDO/1-35	0.0
PONP930101	1	4	ADO1_AGRDO/1-35	0.0
RACS820114	1	4	ADO1_AGRDO/1-35	18.56
RADA880108	1	4	ADO1_AGRDO/1-35	-0.41
TAKK010101	1	4	ADO1_AGRDO/1-35	7.3
TAKK010101	1	4	ADO1_AGRDO/1-35	7.3
VINM940101	1	4	ADO1_AGRDO/1-35	1.03
WARP780101	1	4	ADO1_AGRDO/1-35	7.79
WOLR790101	1	4	ADO1_AGRDO/1-35	0.54
ZIMJ680101	1	4	ADO1_AGRDO/1-35	1.48
Sequence_size	1	4	PTU1_PEITU/1-34	7.0
BHAR880101	1	4	PTU1_PEITU/1-34	0.46
CASG920101	1	4	PTU1_PEITU/1-34	0.2
CHAM830107	1	4	PTU1_PEITU/1-34	0.0
CHOP780201	1	4	PTU1_PEITU/1-34	0.7
CHOP780202	1	4	PTU1_PEITU/1-34	0.83
CHOP780203	1	4	PTU1_PEITU/1-34	0.96
CIDH920105	1	4	PTU1_PEITU/1-34	0.02
DAYM780201	1	4	PTU1_PEITU/1-34	56.0
EISD860102	1	4	PTU1_PEITU/1-34	0.17
FASG760101	1	4	PTU1_PEITU/1-34	115.13
FAUJ880111	1	4	PTU1_PEITU/1-34	0.0
FAUJ880111	1	4	PTU1_PEITU/1-34	0.0
FAUJ880112	1	4	PTU1_PEITU/1-34	0.0
GOLD730101	1	4	PTU1_PEITU/1-34	1.0
GRAR740102	1	4	PTU1_PEITU/1-34	8.0
JANJ780101	1	4	PTU1_PEITU/1-34	27.8
JANJ780102	1	4	PTU1_PEITU/1-34	51.0
JANJ780103	1	4	PTU1_PEITU/1-34	15.0
JOND750101	1	4	PTU1_PEITU/1-34	1.52
JOND920102	1	4	PTU1_PEITU/1-34	58.0
KLEP840101	1	4	PTU1_PEITU/1-34	0.0
KRIW790101	1	4	PTU1_PEITU/1-34	4.32
KRIW790102	1	4	PTU1_PEITU/1-34	0.28
KYTJ820101	1	4	PTU1_PEITU/1-34	1.8
MITS020101	1	4	PTU1_PEITU/1-34	0.0
PONP930101	1	4	PTU1_PEITU/1-34	0.85
RACS820114	1	4	PTU1_PEITU/1-34	30.57
RADA880108	1	4	PTU1_PEITU/1-34	0.0
TAKK010101	1	4	PTU1_PEITU/1-34	9.8
TAKK010101	1	4	PTU1_PEITU/1-34	9.8
VINM940101	1	4	PTU1_PEITU/1-34	0.98
WARP780101	1	4	PTU1_PEITU/1-34	8.72
WOLR790101	1	4	PTU1_PEITU/1-34	1.12
ZIMJ680101	1	4	PTU1_PEITU/1-34	1.48
Sequence_size	2	4	IOB1_ISYOB/1-36	7.0
BHAR880101	2	4	IOB1_ISYOB/1-36	0.47
CASG920101	2	4	IOB1_ISYOB/1-36	-0.5
CHAM830107	2	4	IOB1_ISYOB/1-36	0.0
CHOP780201	2	4	IOB1_ISYOB/1-36	1.11
CHOP780202	2	4	IOB1_ISYOB/1-36	0.89
CHOP780203	2	4	IOB1_ISYOB/1-36	0.96
CIDH920105	2	4	IOB1_ISYOB/1-36	-0.77
DAYM780201	2	4	IOB1_ISYOB/1-36	56.0
