AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	24	J7IN40_9ROSI/1-330	7.0
BHAR880101	1	24	J7IN40_9ROSI/1-330	0.47
CASG920101	1	24	J7IN40_9ROSI/1-330	-0.7
CHAM830107	1	24	J7IN40_9ROSI/1-330	0.0
CHOP780201	1	24	J7IN40_9ROSI/1-330	1.08
CHOP780202	1	24	J7IN40_9ROSI/1-330	0.93
CHOP780203	1	24	J7IN40_9ROSI/1-330	1.01
CIDH920105	1	24	J7IN40_9ROSI/1-330	-0.09
DAYM780201	1	24	J7IN40_9ROSI/1-330	56.0
EISD860102	1	24	J7IN40_9ROSI/1-330	1.2
FASG760101	1	24	J7IN40_9ROSI/1-330	131.17
FAUJ880111	1	24	J7IN40_9ROSI/1-330	0.0
FAUJ880111	1	24	J7IN40_9ROSI/1-330	0.0
FAUJ880112	1	24	J7IN40_9ROSI/1-330	0.0
GOLD730101	1	24	J7IN40_9ROSI/1-330	1.5
GRAR740102	1	24	J7IN40_9ROSI/1-330	8.0
JANJ780101	1	24	J7IN40_9ROSI/1-330	51.5
JANJ780102	1	24	J7IN40_9ROSI/1-330	25.0
JANJ780103	1	24	J7IN40_9ROSI/1-330	45.0
JOND750101	1	24	J7IN40_9ROSI/1-330	1.64
JOND920102	1	24	J7IN40_9ROSI/1-330	72.0
KLEP840101	1	24	J7IN40_9ROSI/1-330	0.0
KRIW790101	1	24	J7IN40_9ROSI/1-330	6.55
KRIW790102	1	24	J7IN40_9ROSI/1-330	0.34
KYTJ820101	1	24	J7IN40_9ROSI/1-330	-1.6
MITS020101	1	24	J7IN40_9ROSI/1-330	0.0
PONP930101	1	24	J7IN40_9ROSI/1-330	0.2
RACS820114	1	24	J7IN40_9ROSI/1-330	17.82
RADA880108	1	24	J7IN40_9ROSI/1-330	0.0
TAKK010101	1	24	J7IN40_9ROSI/1-330	10.5
TAKK010101	1	24	J7IN40_9ROSI/1-330	10.5
VINM940101	1	24	J7IN40_9ROSI/1-330	1.01
WARP780101	1	24	J7IN40_9ROSI/1-330	7.79
WOLR790101	1	24	J7IN40_9ROSI/1-330	0.54
ZIMJ680101	1	24	J7IN40_9ROSI/1-330	1.6
Sequence_size	1	24	J3RCD6_MOMCO/1-281	7.0
BHAR880101	1	24	J3RCD6_MOMCO/1-281	0.47
CASG920101	1	24	J3RCD6_MOMCO/1-281	-0.7
CHAM830107	1	24	J3RCD6_MOMCO/1-281	0.0
CHOP780201	1	24	J3RCD6_MOMCO/1-281	1.08
CHOP780202	1	24	J3RCD6_MOMCO/1-281	0.93
CHOP780203	1	24	J3RCD6_MOMCO/1-281	1.01
CIDH920105	1	24	J3RCD6_MOMCO/1-281	-0.09
DAYM780201	1	24	J3RCD6_MOMCO/1-281	56.0
EISD860102	1	24	J3RCD6_MOMCO/1-281	1.2
FASG760101	1	24	J3RCD6_MOMCO/1-281	131.17
FAUJ880111	1	24	J3RCD6_MOMCO/1-281	0.0
FAUJ880111	1	24	J3RCD6_MOMCO/1-281	0.0
FAUJ880112	1	24	J3RCD6_MOMCO/1-281	0.0
GOLD730101	1	24	J3RCD6_MOMCO/1-281	1.5
GRAR740102	1	24	J3RCD6_MOMCO/1-281	8.0
JANJ780101	1	24	J3RCD6_MOMCO/1-281	51.5
JANJ780102	1	24	J3RCD6_MOMCO/1-281	25.0
JANJ780103	1	24	J3RCD6_MOMCO/1-281	45.0
JOND750101	1	24	J3RCD6_MOMCO/1-281	1.64
JOND920102	1	24	J3RCD6_MOMCO/1-281	72.0
KLEP840101	1	24	J3RCD6_MOMCO/1-281	0.0
KRIW790101	1	24	J3RCD6_MOMCO/1-281	6.55
KRIW790102	1	24	J3RCD6_MOMCO/1-281	0.34
KYTJ820101	1	24	J3RCD6_MOMCO/1-281	-1.6
MITS020101	1	24	J3RCD6_MOMCO/1-281	0.0
PONP930101	1	24	J3RCD6_MOMCO/1-281	0.2
RACS820114	1	24	J3RCD6_MOMCO/1-281	17.82
RADA880108	1	24	J3RCD6_MOMCO/1-281	0.0
TAKK010101	1	24	J3RCD6_MOMCO/1-281	10.5
TAKK010101	1	24	J3RCD6_MOMCO/1-281	10.5
VINM940101	1	24	J3RCD6_MOMCO/1-281	1.01
WARP780101	1	24	J3RCD6_MOMCO/1-281	7.79
WOLR790101	1	24	J3RCD6_MOMCO/1-281	0.54
ZIMJ680101	1	24	J3RCD6_MOMCO/1-281	1.6
Sequence_size	1	24	A0A0A7HIS7_9ROSI/1-283	7.0
BHAR880101	1	24	A0A0A7HIS7_9ROSI/1-283	0.47
CASG920101	1	24	A0A0A7HIS7_9ROSI/1-283	-0.7
CHAM830107	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
CHOP780201	1	24	A0A0A7HIS7_9ROSI/1-283	1.08
CHOP780202	1	24	A0A0A7HIS7_9ROSI/1-283	0.93
CHOP780203	1	24	A0A0A7HIS7_9ROSI/1-283	1.01
CIDH920105	1	24	A0A0A7HIS7_9ROSI/1-283	-0.09
DAYM780201	1	24	A0A0A7HIS7_9ROSI/1-283	56.0
EISD860102	1	24	A0A0A7HIS7_9ROSI/1-283	1.2
FASG760101	1	24	A0A0A7HIS7_9ROSI/1-283	131.17
FAUJ880111	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
FAUJ880111	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
FAUJ880112	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
GOLD730101	1	24	A0A0A7HIS7_9ROSI/1-283	1.5
GRAR740102	1	24	A0A0A7HIS7_9ROSI/1-283	8.0
JANJ780101	1	24	A0A0A7HIS7_9ROSI/1-283	51.5
JANJ780102	1	24	A0A0A7HIS7_9ROSI/1-283	25.0
JANJ780103	1	24	A0A0A7HIS7_9ROSI/1-283	45.0
JOND750101	1	24	A0A0A7HIS7_9ROSI/1-283	1.64
JOND920102	1	24	A0A0A7HIS7_9ROSI/1-283	72.0
KLEP840101	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
KRIW790101	1	24	A0A0A7HIS7_9ROSI/1-283	6.55
KRIW790102	1	24	A0A0A7HIS7_9ROSI/1-283	0.34
KYTJ820101	1	24	A0A0A7HIS7_9ROSI/1-283	-1.6
MITS020101	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
PONP930101	1	24	A0A0A7HIS7_9ROSI/1-283	0.2
RACS820114	1	24	A0A0A7HIS7_9ROSI/1-283	17.82
RADA880108	1	24	A0A0A7HIS7_9ROSI/1-283	0.0
TAKK010101	1	24	A0A0A7HIS7_9ROSI/1-283	10.5
TAKK010101	1	24	A0A0A7HIS7_9ROSI/1-283	10.5
VINM940101	1	24	A0A0A7HIS7_9ROSI/1-283	1.01
WARP780101	1	24	A0A0A7HIS7_9ROSI/1-283	7.79
WOLR790101	1	24	A0A0A7HIS7_9ROSI/1-283	0.54
ZIMJ680101	1	24	A0A0A7HIS7_9ROSI/1-283	1.6
