AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	11	M8BAF2_AEGTA/1-92	5.0
BHAR880101	1	11	M8BAF2_AEGTA/1-92	0.44
CASG920101	1	11	M8BAF2_AEGTA/1-92	-0.1
CHAM830107	1	11	M8BAF2_AEGTA/1-92	0.0
CHOP780201	1	11	M8BAF2_AEGTA/1-92	0.83
CHOP780202	1	11	M8BAF2_AEGTA/1-92	1.19
CHOP780203	1	11	M8BAF2_AEGTA/1-92	0.96
CIDH920105	1	11	M8BAF2_AEGTA/1-92	-0.77
DAYM780201	1	11	M8BAF2_AEGTA/1-92	49.0
EISD860102	1	11	M8BAF2_AEGTA/1-92	1.5
FASG760101	1	11	M8BAF2_AEGTA/1-92	121.15
FAUJ880111	1	11	M8BAF2_AEGTA/1-92	0.0
FAUJ880111	1	11	M8BAF2_AEGTA/1-92	0.0
FAUJ880112	1	11	M8BAF2_AEGTA/1-92	0.0
GOLD730101	1	11	M8BAF2_AEGTA/1-92	0.45
GRAR740102	1	11	M8BAF2_AEGTA/1-92	8.6
JANJ780101	1	11	M8BAF2_AEGTA/1-92	34.7
JANJ780102	1	11	M8BAF2_AEGTA/1-92	49.0
JANJ780103	1	11	M8BAF2_AEGTA/1-92	17.0
JOND750101	1	11	M8BAF2_AEGTA/1-92	0.67
JOND920102	1	11	M8BAF2_AEGTA/1-92	50.0
KLEP840101	1	11	M8BAF2_AEGTA/1-92	0.0
KRIW790101	1	11	M8BAF2_AEGTA/1-92	5.16
KRIW790102	1	11	M8BAF2_AEGTA/1-92	0.26
KYTJ820101	1	11	M8BAF2_AEGTA/1-92	-0.7
MITS020101	1	11	M8BAF2_AEGTA/1-92	0.0
PONP930101	1	11	M8BAF2_AEGTA/1-92	0.0
RACS820114	1	11	M8BAF2_AEGTA/1-92	21.09
RADA880108	1	11	M8BAF2_AEGTA/1-92	-0.27
TAKK010101	1	11	M8BAF2_AEGTA/1-92	4.4
TAKK010101	1	11	M8BAF2_AEGTA/1-92	4.4
VINM940101	1	11	M8BAF2_AEGTA/1-92	1.0
WARP780101	1	11	M8BAF2_AEGTA/1-92	7.99
WOLR790101	1	11	M8BAF2_AEGTA/1-92	-0.02
