AAindex	Loop	Family	Sequence_name	Value
Sequence_size	1	19	G7KM68_MEDTR/1-147	4.0
BHAR880101	1	19	G7KM68_MEDTR/1-147	0.36
CASG920101	1	19	G7KM68_MEDTR/1-147	0.35
CHAM830107	1	19	G7KM68_MEDTR/1-147	0.0
CHOP780201	1	19	G7KM68_MEDTR/1-147	0.99
CHOP780202	1	19	G7KM68_MEDTR/1-147	1.01
CHOP780203	1	19	G7KM68_MEDTR/1-147	0.85
CIDH920105	1	19	G7KM68_MEDTR/1-147	0.4
DAYM780201	1	19	G7KM68_MEDTR/1-147	70.0
EISD860102	1	19	G7KM68_MEDTR/1-147	0.45
FASG760101	1	19	G7KM68_MEDTR/1-147	113.12
FAUJ880111	1	19	G7KM68_MEDTR/1-147	0.0
FAUJ880111	1	19	G7KM68_MEDTR/1-147	0.0
FAUJ880112	1	19	G7KM68_MEDTR/1-147	0.0
GOLD730101	1	19	G7KM68_MEDTR/1-147	0.88
GRAR740102	1	19	G7KM68_MEDTR/1-147	6.8
JANJ780101	1	19	G7KM68_MEDTR/1-147	27.7
JANJ780102	1	19	G7KM68_MEDTR/1-147	55.5
JANJ780103	1	19	G7KM68_MEDTR/1-147	15.5
JOND750101	1	19	G7KM68_MEDTR/1-147	1.2
JOND920102	1	19	G7KM68_MEDTR/1-147	77.0
KLEP840101	1	19	G7KM68_MEDTR/1-147	0.0
KRIW790101	1	19	G7KM68_MEDTR/1-147	4.12
KRIW790102	1	19	G7KM68_MEDTR/1-147	0.22
KYTJ820101	1	19	G7KM68_MEDTR/1-147	2.15
MITS020101	1	19	G7KM68_MEDTR/1-147	0.0
PONP930101	1	19	G7KM68_MEDTR/1-147	1.42
RACS820114	1	19	G7KM68_MEDTR/1-147	16.54
RADA880108	1	19	G7KM68_MEDTR/1-147	0.57
TAKK010101	1	19	G7KM68_MEDTR/1-147	6.4
TAKK010101	1	19	G7KM68_MEDTR/1-147	6.4
VINM940101	1	19	G7KM68_MEDTR/1-147	0.96
WARP780101	1	19	G7KM68_MEDTR/1-147	8.84
WOLR790101	1	19	G7KM68_MEDTR/1-147	0.85
ZIMJ680101	1	19	G7KM68_MEDTR/1-147	1.16
Sequence_size	1	19	I3SW97_MEDTR/1-134	5.0
BHAR880101	1	19	I3SW97_MEDTR/1-134	0.39
CASG920101	1	19	I3SW97_MEDTR/1-134	0.2
CHAM830107	1	19	I3SW97_MEDTR/1-134	0.0
CHOP780201	1	19	I3SW97_MEDTR/1-134	0.77
CHOP780202	1	19	I3SW97_MEDTR/1-134	0.83
CHOP780203	1	19	I3SW97_MEDTR/1-134	0.96
CIDH920105	1	19	I3SW97_MEDTR/1-134	0.02
DAYM780201	1	19	I3SW97_MEDTR/1-134	74.0
EISD860102	1	19	I3SW97_MEDTR/1-134	0.17
FASG760101	1	19	I3SW97_MEDTR/1-134	105.09
FAUJ880111	1	19	I3SW97_MEDTR/1-134	0.0
FAUJ880111	1	19	I3SW97_MEDTR/1-134	0.0
FAUJ880112	1	19	I3SW97_MEDTR/1-134	0.0
GOLD730101	1	19	I3SW97_MEDTR/1-134	0.75
GRAR740102	1	19	I3SW97_MEDTR/1-134	8.1
JANJ780101	1	19	I3SW97_MEDTR/1-134	24.5
JANJ780102	1	19	I3SW97_MEDTR/1-134	52.0
JANJ780103	1	19	I3SW97_MEDTR/1-134	14.0
JOND750101	1	19	I3SW97_MEDTR/1-134	0.87
JOND920102	1	19	I3SW97_MEDTR/1-134	98.0
KLEP840101	1	19	I3SW97_MEDTR/1-134	0.0
KRIW790101	1	19	I3SW97_MEDTR/1-134	4.32
KRIW790102	1	19	I3SW97_MEDTR/1-134	0.27
KYTJ820101	1	19	I3SW97_MEDTR/1-134	1.8
MITS020101	1	19	I3SW97_MEDTR/1-134	0.0
PONP930101	1	19	I3SW97_MEDTR/1-134	0.85
RACS820114	1	19	I3SW97_MEDTR/1-134	21.87
RADA880108	1	19	I3SW97_MEDTR/1-134	-0.06
TAKK010101	1	19	I3SW97_MEDTR/1-134	3.0
TAKK010101	1	19	I3SW97_MEDTR/1-134	3.0
VINM940101	1	19	I3SW97_MEDTR/1-134	0.98
